"Residential electricity consumption, per person (kWh)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.219415209167,464.424003617892,426.609435996911,434.805633232939,442.038569901099,468.270081792666,487.849418946883,514.019080737509,536.827566979049,561.726232064548,536.910636817686,538.830835441345,559.151083143323,586.998818366443,587.078960130042,578.6206938063,557.565987250961,584.126497338373,614.907287211113
Belgium,164.96547972847,187.033158044033,217.321936561659,243.281494328403,269.077997224298,304.454618388882,336.731544626517,365.576177470831,409.049819599992,458.850666306033,510.581834028513,562.520465236495,629.934875529143,780.864263123306,853.262755175167,947.20358557602,1036.88011211905,1125.25087051253,1218.87302969572,1290.03007359818,1331.83980176301,1366.00443343754,1391.23845928844,1441.17775419257,1486.37142248333,1572.78107159522,1619.87415684763,1711.62087698324,1725.62419465803,1782.82639529058,1847.40112605587,1989.16560739196,2015.66852704591,2091.51266391722,2110.24655943931,2177.44757967119,2282.47685071934,2248.78499325525,2289.53128648932,2294.55044743106,2313.24595673767,2370.8853803155,2514.13316563179,2519.71040064181,2565.43000399294,2509.71704841617,2189.60817576378,2103.48909656122,1920.96221521997
Benin,,,,,,,,,,,,1.85957458359533,2.17319649005018,2.46842657311838,2.74544775169424,2.67105976922859,2.92234961373491,1.8941206659666,25.4665803617444,12.2235019813414,13.6479480519028,15.5393310194255,8.51426693134864,17.8754168957376,15.7990770856208,16.8286894091004,16.7912000749385,18.1474333779161,18.4861474682643,18.119803369235,17.5392235842139,16.984452082851,16.2625311868247,18.9899582296106,20.0496814587856,20.880624846384,14.2734927440846,16.9827203070187,16.80655741063,24.2435064344826,24.2953914656145,25.3528042994134,33.5950304243612,28.4947901950754,30.2537347563742,36.872465147411,36.7612970409048,37.3907674299365,38.2229433578852
Bolivia,,,,,,,,,,,,42.4348887597863,41.6205710541163,41.6748523426561,43.7921788734509,45.5893190425687,48.2355464689056,50.7993832726082,55.5375625741889,61.3966635135361,65.988780618154,71.4256592700313,70.5522574077172,73.9139343476544,79.8869511695762,84.9361821148842,92.2145315202728,100.07699018691,106.016631111332,108.689236642232,109.848029328101,112.179706584759,116.363249698881,121.487473238944,131.804361038492,140.469729747463,143.743402496014,152.239979056797,159.418082197785,165.114888533141,170.528026573053,168.816146761934,171.372113219281,173.211149250044,177.699596385026,185.856902393013,194.048836773113,201.041713089112,213.061613682625
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681.461066278812,619.070437716855,578.109794307489,502.74331127864,637.634129400317,682.254702126742,736.450586740456,885.10522872193,977.235915469899,976.517946887489,907.619424516232,908.393568641301,908.1159624873,910.801476533761,887.956192840053,920.153301189438,915.484154616517,903.682208023465,927.119497375994
Botswana,,,,,,,,,,,,,,,,,,,,,,31.0402830364347,34.0145741677977,34.7814034453225,38.3687765056555,38.9354732867304,38.5742474442433,37.3595706681121,48.8247062417886,58.753283880674,62.5289104596789,67.6110849933477,72.2601283764358,89.4984012256188,104.4024839116,110.4501533413,115.739093886085,123.677024163443,111.205674302693,119.630847872685,128.206741589814,206.102065091853,225.145971992465,251.846281627148,327.651600049047,345.159869887173,349.488722327213,416.149020426067,454.795705303917
Brazil,,,,,,,,,,,,93.9449047557584,98.510333661252,105.779735075008,113.276166739947,121.410813222248,133.39604033252,149.903697581059,161.758085977107,175.139405287302,189.228536263059,198.972151850083,209.950804393501,225.498237876615,229.758865687794,237.72160875835,255.235141099005,268.549215815666,278.095157910333,294.383841246463,322.170589967056,332.523346657865,332.579014380766,338.475423360154,347.602904617896,388.843537252741,415.889794009505,439.547759929993,464.401400599874,469.178286887449,475.686189766837,415.088998288315,404.443287448576,418.368490405158,426.89120281182,447.083582765406,456.328449969916,478.380343497278,498.165305235568
Brunei,,,,,,,,,,,,519.779389698509,501.857102473498,482.280085417097,470.283311258278,454.560340026757,439.364829915979,424.676944789972,410.478497109827,396.943414999525,529.195767195767,700.220918835664,812.306535384122,946.065077563375,1004.79076885521,994.66167154826,975.181100702268,1266.3895273988,1288.31360057943,1289.38045044362,1293.94403730846,1279.01698905885,1311.88640158421,1378.11828377025,1450.95815084486,1553.17893972599,1587.50936789226,1709.69304414105,1602.79770109935,1520.12742454686,1555.08758056461,1391.18832077706,1108.7838061203,1270.83061061497,1295.23297677488,1058.30342060527,817.131908792865,874.647396839935,3067.49890103189
Bulgaria,,,,,,,,,,,,331.229852882862,376.341603507381,423.113064533023,474.001752557541,526.19672041668,593.136791997567,629.076060057597,663.053977261432,738.819254960711,774.038587314927,789.368800130696,899.837136297868,954.12559240536,1057.95398907582,1068.22176774316,969.615616875977,1052.91399045782,1106.29711006148,1132.89995889903,1177.85612098365,1186.324251331,1154.91051689518,1187.27265469081,1174.11370189272,1327.30413523275,1407.67441250647,1225.35444021782,1322.40291809577,1281.70907792212,1261.08342334426,1260.30381152939,1214.8158780986,1227.22539761022,1166.74781886022,1214.38986012602,1260.15063300172,1280.60487858702,1380.86928851973
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.20528896818412,10.5717480679059,13.4116056726653,15.4037414032414,13.4839026274661,17.0891916117277,18.828992311907,20.3491376419377,20.4441462719818,24.4140076547654,28.0183051272044,34.0804400008731,43.3849774035375,51.5813195796782
Cameroon,,,,,,,,,,,,6.4055832660383,10.256754423996,11.005533951603,11.5727316015112,12.6326824462576,13.9901167252182,15.3296519476147,17.305786342465,19.4090005347164,20.4697125071788,21.3901422709273,25.0833422424429,26.156018724339,26.5965858982363,30.6149606555004,28.8921767752913,30.6158607811558,29.7193806803325,29.204911731801,26.9180735833156,26.3196491389002,27.2765329038962,27.1622500186317,22.4183989867796,21.4043542690966,23.1830891820745,24.6596019994352,27.165262830595,26.8685709204631,25.4088203153632,24.8484013156112,28.69319550021,30.4603249531757,32.9440131906209,30.4973636889565,46.3155724606766,43.9719233853101,59.5512449813566
Canada,902.292563571054,1005.81681426277,1004.40237779201,1037.52141166853,1154.73771289641,1270.96102436617,1469.12547895943,1534.15493554755,1633.68741102298,1794.1903452119,1969.13725737571,2231.49700995169,2152.46617334919,2303.16943283317,2592.63173287519,2763.53958947314,3011.57632231317,3219.80589837118,3283.99985771521,3303.8993825406,3449.8936385113,3504.44594779116,3606.60735341383,3766.46469989747,3910.27425861224,3999.27804067598,4163.00811561682,4204.3823056381,4485.83786903044,4743.63382993721,4672.60043252035,4602.43013201696,4636.80098327337,4579.17996639356,4541.85547823848,4444.23109867105,4511.610371181,4438.52388531149,4222.97818754586,4306.26060280546,4420.30990951911,4439.81607141246,4471.99162705297,4595.77479670407,4645.18768714312,4603.35280422299,4441.57706659538,4578.79212369903,4772.37064777813
Chile,,,,,,,,,,,,89.3214614470114,108.380441355226,119.05178275242,118.712852343026,124.393920446309,122.4313324094,135.687445971822,145.474669982954,152.735276652865,161.020992240834,169.322134911451,170.395505850383,154.474958810526,138.16619032743,165.44366848901,190.085629176237,200.704415520894,198.26050733566,191.64521135585,329.970960773201,340.371982691185,364.686731608369,390.039321101246,419.002182847788,443.712434573522,488.971725900486,360.203562633763,387.535225317837,398.99315563415,407.967332851595,450.714479952002,462.235780935283,468.715290425085,495.161236851187,518.461719831759,529.777008729087,546.745100827824,532.515177206975
China,,,,,,,,,,,,5.7541817252305,6.183032168254,6.61388502619226,6.55640846337535,7.47410520572461,7.63338674202335,8.28169458002766,9.38396069716001,10.176185489239,10.7231128119156,11.8750247771067,12.048783291895,13.4199476589191,15.3476852892243,11.6572204673466,13.8571418929686,14.9745362465234,17.6497546363116,20.1260910919412,42.3619536903676,47.2460286066842,54.9469256719057,62.5592033705577,72.7555454068726,83.4756883110416,93.075762572379,101.89423953824,106.667290156087,118.225046829537,132.440309905001,144.636636505877,156.340226148079,173.738190561937,190.234542741921,216.8014816635,248.100871149344,274.771254654803,331.376632032295
Colombia,,,,,,,,,,,,153.488479000121,158.748236805485,141.902828923946,132.137054488566,170.138021297596,184.188732911284,188.641676083106,216.108226032404,239.681889733289,257.844572569846,256.458478195803,285.162124895244,290.583288874248,303.865606230249,314.123380998198,325.315221662886,340.80918749997,348.34434083155,371.925417107731,382.495599703201,387.914057295335,350.386063143924,378.672661066174,396.067249461389,403.260114700075,398.924776100284,391.197560241788,315.576352146849,297.187132403476,280.504464396518,358.682134162729,351.285427190012,363.993629409655,373.305441935299,378.470459718344,387.838165431702,398.420695697591,404.591365372499
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,28.5626703738356,30.2159256852211,29.2940850546399,31.6704653156816,29.8564106498988,31.8783026268563,31.0042306632455,33.8440238568877,43.1149636981058,49.6181252684978,49.4373727394946,48.202607291742,46.1425051619121,41.7644822493227,24.5026432365254,29.1221475521026,31.4175256117738,35.1698839809408,23.623930524735,22.7473381772848,21.372484345357,21.1758082064753,20.769978227978,21.1544198897823,23.6866275682102,22.7491008550483,22.1781206638111,23.1639167135551,25.4461982151253,25.7104298908787,41.9956980588951,31.8135429142948,30.7092435483984
"Congo, Rep.",,,,,,,,,,,,28.340350775084,29.0997703769906,31.245293162508,33.2354313606824,35.7787564716938,38.8183154678539,37.7483148085366,37.9628979456279,38.7405202714791,40.0309795968351,24.9552134534295,58.0472802981854,39.393256103625,78.0649638470287,46.8897737383125,119.440111563969,83.8290582555551,68.5864343539287,65.5825873138746,62.2672045113964,72.7822426166072,68.5034035913399,57.4965598722922,54.8984677909095,56.2677697695589,59.7230229650478,47.8495737334551,36.1366706954119,22.5570287169986,37.719478185304,40.7680806321621,42.6657574287392,42.4975443770337,44.2679470650636,49.699847512776,51.8687934086628,56.0537229549993,56.3724503102233
Costa Rica,,,,,,,,,,,,368.002358823411,394.120185568314,404.625226997378,429.515936973686,446.459604936784,474.077499430087,466.775997803133,486.319982010311,457.219780910328,527.687214782674,557.521267050866,599.852134598433,595.05094908379,614.712445803648,644.640881637396,680.226902245263,720.178212029312,724.932717552839,496.115988932912,515.755111613964,520.888614714664,523.853138267297,552.455846933158,579.361778899821,580.815010169083,591.985026604112,602.420966730119,634.470096523685,652.925773698434,677.648084196501,691.871286333602,716.960140643881,734.457754077676,740.179921329597,761.807476918947,781.685712890536,794.795233731764,798.340599644843
Cote d'Ivoire,,,,,,,,,,,,13.4821587964327,15.8139142671175,19.5252779293076,19.6358863093488,23.9559411945389,26.2237363549542,30.9724898499566,35.7193188559034,47.8922078390893,54.6928450992926,55.1951221811578,60.2815060706622,60.9066535274417,47.733715244281,47.2752325448215,46.8215530711382,46.3790795325904,45.9514426515918,45.5471315782645,44.6603809520948,43.9034541787804,43.7734521627397,43.4644953652811,42.9298020121693,42.9002989183779,46.0436253192132,63.3918331690479,57.6775766550284,59.2182427780725,60.3447707108999,58.0257072362446,56.1853033146563,55.5053527718548,59.7347992557864,55.7967087600676,61.3539831535177,69.3497172023352,70.387444443114
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,990.563437108989,982.637248793728,900.916094368218,924.361407076936,933.181803370155,1027.83135480086,1097.41234713924,1167.69559881159,1191.79087347956,1302.75285972203,1299.08230877182,1252.50345677399,1328.95450589375,1266.18602648107,1350.51587226579,1408.86903723923,1450.84266106962,1422.81474333409,1494.41026836435
Cuba,,,,,,,,,,,,117.55795896593,125.937757180444,129.559369672677,133.752675937788,141.143760534093,148.73857992002,165.788065575256,183.030124056106,203.432027311628,219.350102947537,210.293741489244,227.740341828934,237.155343997469,248.985459161261,266.154755920878,285.324447717579,284.430659505486,296.549107009802,311.572675089429,313.576101493884,304.964702342713,279.90929810524,272.851713289371,302.969954385639,300.509206279053,306.185562394094,331.025401331348,343.69720629899,360.174128325236,381.413701639972,401.331431160214,435.90283921821,454.692790187857,443.010537667954,448.229771377858,491.530826280307,537.103491490356,528.787349748965
Cyprus,,,,,,,,,,,,248.511971603743,284.260003193358,310.830509544092,276.310067114094,222.808321048321,233.92114934848,262.413536096257,286.241198003328,289.260452817716,299.562913256956,310.785822948697,330.028960435688,360.938651471985,365.747960618847,392.469828518461,415.459384615385,473.242584167425,545.100712568332,606.746130640084,659.105421744216,680.329842947027,830.083573099953,905.86939463755,928.95719585223,1035.39149576916,1115.7509453069,1121.5795559667,1207.44678975778,1263.34279785377,1391.40477581317,1366.11000056365,1508.12869307741,1678.50884525119,1696.34112487386,1837.19691385956,1912.87528640152,2039.79347003071,2123.76286266534
Czech Rep.,,,,,,,,,,,,329.22796500959,367.531357741379,395.9518405824,423.903221505708,459.15366222669,498.449797296288,524.70027352128,575.356750006414,573.513469731483,600.182308285788,618.29532300942,644.350307423428,679.279720513117,729.284091605731,776.655214534941,806.34670878458,846.771979160939,860.266076983206,895.516301910844,933.577677861439,958.236364740841,1002.82673345934,1104.06475459002,1276.49201343831,1438.38792967339,1552.96413619443,1505.31323141217,1409.84189893468,1366.72497547769,1346.08721137653,1387.75439404079,1377.06079827072,1415.51929468553,1417.85693162855,1437.50132260692,1485.10600066143,1432.10508347848,1438.78041203959
Denmark,,,,,,,,,,,,,,1314.4903851381,1241.57752060979,1298.68836317836,1321.06045898392,1356.26449001153,1424.56048855002,1501.20825515947,1452.52781217042,1439.66090098899,1450.09986693527,1572.34654146992,1655.74217483737,1786.8980507426,1871.4307101564,1943.97250724787,1938.54343372747,1929.39167005839,1881.31241788975,1966.6534803987,1974.48494438539,1991.72917358115,2003.58671992467,1967.82278143306,2014.01676714984,1952.97411284558,1935.75303987522,1933.38196368738,1914.19194231816,1897.15435490249,1896.26350751569,1902.77800827491,1908.9435533211,1923.82848627708,1940.11389444326,1892.94726889681,1884.2993420087
Dominican Rep.,,,,,,,,,,,,169.373873701499,224.601782490593,235.231072936031,222.114958446784,246.45422728617,231.513083062108,254.439696009655,243.999879955252,284.467449440606,265.45737253274,269.275563027608,200.761657872219,201.992493062569,219.880257328971,264.560337359561,257.115405009733,278.024106211939,275.500827604453,241.330225336497,351.592334801476,377.266790755218,404.905780445346,381.84937222156,395.872410751375,374.18327851819,458.126223177854,454.390811121175,470.463250888438,473.896064499325,510.476771047534,333.35912458907,366.52630965645,505.498400150381,509.284663454264,466.071582208928,453.9152333018,468.343621661909,457.644842265195
Ecuador,,,,,,,,,,,,49.7083543888256,54.1483216009269,54.9056848459672,59.9270280075482,80.052848655456,84.8486579428724,96.1861366866762,106.83640628555,114.772542677252,130.697106331306,137.107257785763,144.542111082556,155.610821395814,151.514453769725,153.972945807746,152.59034028618,174.255820595112,172.175053567844,171.304894407698,181.268663920149,191.55849153936,198.763134287783,200.409928488391,216.579805868069,224.992327332636,247.947003370753,272.803408110885,280.281892081237,238.470918465317,223.467199735406,228.118263819908,239.571321129236,254.748241597383,267.441530304611,276.996327260191,287.558459082149,298.330474393123,314.826199681928
Egypt,,,,,,,,,,,,59.3952174333785,58.7624212391284,57.9297045406516,65.0376502986375,72.2679297007761,79.9889773932685,90.4404819086742,91.4696809714411,97.5750646218484,106.975601638262,115.07610037301,120.069388667625,144.760861719968,159.925284275612,176.846591973317,190.058388244876,205.059485715864,211.813394977751,223.626431129827,235.409473593103,243.322003914158,242.7619806257,250.090412541956,257.264008317959,265.81806575843,264.447393519154,270.967221225672,294.406172875866,315.997740503708,334.082222434885,357.121966433406,378.134243820353,399.208356365802,411.425342169699,437.465599329165,463.987526868652,501.818701939161,536.760450729528
El Salvador,,,,,,,,,,,,69.2784505981266,68.0699136854728,80.7221345382919,84.6119941598018,90.1621029190807,96.0712447275122,104.628521178559,114.890651744943,122.469526214742,84.1113407453333,84.8418526834657,89.404101524222,96.6741581185154,100.505637656718,102.283219502093,107.575279145497,114.018430488328,120.093079725629,123.638496650997,127.672939227637,136.36352872298,142.215150240329,156.280977267538,166.851992699344,180.514011382368,186.496955606203,198.706482423347,203.419550851079,227.2245020102,214.983038832898,214.221366916002,216.134102420314,204.352474561382,265.548984059454,228.977161886206,232.51210648252,234.058407236752,256.099151340679
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.815202102256,8.28151993564013,8.38813072960197,9.33057405354475,10.6992592351101,12.0761379280436,13.6276324385415,14.1313352287533,14.0043258692998,15.8268632605589,17.6707645647149,19.0184658439491,20.2038464713745,20.990415102841,19.6400747525483,20.3844425399743,20.288131093423
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592.081943667393,724.699800647239,804.742152723039,734.328823555443,865.552508117353,737.770770869728,864.405925928001,852.737147389431,963.076221366308,980.924234182115,1062.63711240837,1157.15691362594,1164.81103900974,1180.32202037133,1206.18220359196,1215.62015855736,1265.01529449164,1347.59705816194,1411.23053215612
Ethiopia,,,,,,,,,,,,3.18997867816589,2.8279040630383,2.70360379908181,2.70240281431619,2.6994291704467,2.77952338865807,2.83142322248737,3.15251535247141,3.53358390907067,4.19095528730807,4.23756546939836,4.46136882278528,4.61764785630099,4.89202376796216,5.30833126812524,5.20949602300157,4.65205084799764,5.7401340873705,5.62643011692506,6.4123057763357,7.2613963614659,7.77661942999805,8.17791055166807,8.75421307118898,9.36099849963136,9.57557387470496,9.5070172297124,8.4003614435181,7.88343053318178,8.03977712059962,5.95804607398024,8.69954738263821,9.25080699124272,9.9686313770254,10.5284575426217,13.0676951548077,14.6016665358155,15.0562359104808
Finland,160.991588405274,164.118158154532,193.736534116096,218.684600145601,238.141027106696,267.373193693232,297.595355815676,325.521744152519,379.407254214823,441.492712139513,580.612911818513,799.341795667246,930.624194848886,1076.47166005048,1095.15903170913,1173.52576144995,1370.21280395729,1436.45618330997,1553.55818208751,1627.47115552114,1685.823009979,1756.37092694862,1861.55828556145,1945.65788820638,2131.97973365496,2485.86951727565,2547.54345093104,2796.27729747519,2694.64075058732,2719.91729473459,2928.27230939323,3119.96068440097,3146.14789927235,3221.40818101873,3339.73849616716,3185.31408005322,3366.6130175712,3393.79783367346,3525.41781466929,3577.54439282549,3510.48309647012,3740.79760493052,3840.83184432083,3921.42289080116,3905.95812609119,3940.25702592275,4041.73230273053,4103.28004413511,4036.95399341322
France,165.411857674622,178.083100305268,199.148818860878,224.856397255689,264.983559371121,257.557169575293,282.138022116518,310.431303839093,343.134609284255,379.330674637062,417.012453974442,457.194496246466,514.474402690791,578.530790114462,629.467796887797,723.502797382492,814.236407627181,894.151005946222,1009.74232029288,1085.77384348997,1142.7579823427,1188.36210325896,1239.60544417769,1370.77296005238,1453.12930577926,1555.03963515473,1617.77207330748,1677.18180085961,1635.05958454732,1657.78849408308,1708.38403789847,1872.49825923722,1910.48880612305,1933.63463490913,1921.03396304758,1872.09118900937,2064.29145353646,2031.70369225082,2092.35483432029,2147.56703855841,2168.06399447317,2244.64072600046,2219.80578968373,2352.57951487931,2434.69411575125,2383.50030296996,2416.88267993882,2386.57318401132,2539.75327273322
Gabon,,,,,,,,,,,,165.45197337273,,156.996764308215,147.406514195372,135.947336066207,139.621896334858,155.754444927354,151.489840991832,156.398797744942,231.295357265992,369.67284365516,378.11530839371,485.56293329977,385.24527631404,468.50214391237,442.469934922058,444.197765326324,437.137233052304,217.844101788941,249.64679202938,241.75700708679,235.398782030538,230.161241896424,368.28204751041,377.273449689858,402.078196971921,413.85937884316,423.81901169357,436.142034516815,416.106173774812,425.902178413011,438.005593764046,440.962356703637,439.513453000332,450.484032569585,474.502654911973,494.97967855481,537.104738136131
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534.908152232305,495.093303587572,504.078457763904,562.451607567472,566.809338133877,919.783353201866,464.156202402154,531.069824035175,608.545744607347,573.855571824214,557.53879304841,542.851802002628,526.916300947665,568.993281780781,601.101981042598,633.157811357204,582.96788590216,601.915943661681,617.925551751831
Germany,168.654158382124,189.809906159948,217.806926546191,260.134687449304,282.249558537445,315.820491773467,350.690876446453,385.791529127872,432.150095422173,485.6605440991,744.318131620359,828.803884907543,920.37244162284,995.185828234551,1059.34084961,1131.46150421966,1224.19575116435,1287.8981647226,1391.23873476717,1431.16370128712,1469.21816553352,1488.01367978273,1510.62608914866,1559.05451977432,1635.35063286922,1707.4085044602,1729.65079020713,1799.79717723618,1745.5147223578,1733.4310287376,1726.85801635099,1527.50068776045,1523.92694839524,1554.44552002685,1529.8986051125,1557.78474906135,1638.4668985539,1595.34001170793,1590.99784852353,1599.81706657799,1588.11060639102,1628.86755583346,1657.84405083961,1688.4449570007,1703.68138476702,1714.46137205742,1717.07743798799,1700.52820720759,1693.89189801066
Ghana,,,,,,,,,,,,18.0938194252937,19.887865453939,22.3875461426879,30.3931499505822,40.0339288255665,47.9125778947344,51.5366243209279,52.7119621280942,54.4304337858029,54.0238824288761,57.094187291958,53.0781543494588,48.1546706438833,42.4873809856187,40.7643274245778,44.2146549485769,49.1332804586867,49.3636068843455,53.6957724392744,58.7788498640148,64.8574337204653,75.5108424252544,81.4566074084648,85.5751446975622,92.0416929295781,105.776487502385,80.2607734225896,64.944499715268,82.8940670852116,81.9164115633152,85.2688274202272,88.67451899933,89.7418023057494,93.6719358509265,90.5101213888643,93.9499826234968,91.6078405346871,97.2464921181312
Gibraltar,,,,,,,,,,,,895.897527767825,866.016693796973,849.510769857987,866.076685947837,851.101126655094,875.696390086207,899.815916955017,931.844720496894,922.832928954653,923.779974686142,942.898892293189,956.390956901851,974.088347826087,993.297864793928,1003.58502060563,1037.04887554078,1028.04352449139,1120.80683569127,1141.87649195641,1137.4690698556,1140.96861172566,1205.5060441703,,,,,,,,,,,,,,,,
