Youth (15-24) literacy rate (%). Total,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,98.8611650860239,,,,,,,,98.7426955068776,,,,,,,,,98.67001
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,70.2362204724409,,,,,,,,,64.9402486686136,,
Malawi,,,,,,,,,,,,,59.0176852722158,,,,,,,,,,,76.0075007402046,,,,,,,,,,,,72.1395643813808,
Malaysia,,,,,,87.9686351384465,,,,,,,,,,,95.5638811137976,,,,,,,,,97.2378015153939,,,,,,,,,,98.4187138102841,
Maldives,,,85.608975511525,,,,,,,,95.5361859482303,,,,,98.1996171460418,,,,,98.1701231008096,,,,,98.1701231008096,,,,,,99.3010066054189,,,,,
Mali,,19.6462275909716,,,,,,,,,,,,,,,,,,,,,,24.1866656742311,,,,,,,,38.8161205716805,,,,44.3017093410288,46.8878959668921
Malta,,,,,,,,,,,98.2137509927222,,,,,,,,,,96.0322749130991,,,,,,,,,,98.2650303791804,,,,,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,61.336645972944,,,,,,,,,,,68.95474
Mauritius,,,,,,,,,,,,,,,,91.1919926295339,,,,,,,,,,94.5389629964579,,,,,,,,,,,96.79975
Mexico,,,,,,91.9471965451472,,,,,,,,,,95.4182432119444,,,,,,,,,,96.6122788568952,,97.6045834329082,,97.5644405087615,97.6358426756218,97.8956591602578,98.1560897814403,98.3823025300584,98.524660888921,98.4345190665441,98.4617725213916
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,99.7293479877855,,,,,,,,,,,99.5250759878419,,,,,,,,,,,100
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,97.7101194328293,,,,,,,,,,,95.6741
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.3173
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,44.137939192272,,,,,,,,,,,,58.4348880844531,,,,,,,,,,70.4575928484324,,,,77.8629626360387,79.4736916803073,,81.5100678554521
Mozambique,,,,,,43.644363800414,,,,,,,,,,,,,,,,,46.9699998649696,,,,,,61.8928891991623,,,,,,67.149637302153,,
Myanmar,,,,,,,,,84.8970749352121,,,,,,,,,,,,,,,,,94.5863125638407,,,,,,,,,,,96.0959
Namibia,,,,,,,,,,,,,,,,,88.1124310893703,,,,,,,,,,92.3367141157737,,,,,,87.0954120880056,,,,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,,,,,,,30.0384482708788,,,,,,,,,,49.6037178385302,,,,,,,,,,70.0536225833686,,,,,,,,,,82.3536867421417
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands Antilles,,,,,,,,,,,,,,,,,,96.980579477703,,,,,,,,,,,,,,,,,,,98.47365
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,86.2225183945626,,,,87.00925049166,,,,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0018427501947,,,,36.5467791862567,,,,,,
Nigeria,,,,,,,,,,,,,,,,,71.1890641685793,,,,,,,,,,,,68.9937775079678,,,,,66.3835449412035,,,
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.2813300267647,,,,,97.6298215406401,,97.7437254949208,
Pakistan,,,,,,,34.783350746299,,,,,,,,,,,,,,,,,55.330521521943,,,,,,,65.0865814301232,69.1657992565056,,71.1129099958026,70.6762715022046,,
Palau,,,,,,94.2757785331927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,,,,,,96.1061987790721,,,,,,,,,,95.0867787809101,,,,,,,,,,96.0798491952245,,,,,,,,,,97.6385310289283,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,66.6789939337754,,,,,,,,,,,70.79891
Paraguay,,,,,,,,89.5878591613543,,,,,,,,,,95.6073391213865,,,,,,,,,,,,,,,98.7944612700758,97.9642372203163,98.4972896711634,98.6104486219914,
Peru,,,,,,,93.1198008287995,,,,,,,,,,,,95.3666310589636,,,,,,,,,,,96.7556253939089,97.1237598531369,97.7571257817096,97.3562161689607,,,,
Philippines,,,,,,91.7889868323156,,,,,,,,,,96.5780818659009,,,,,,,,,,95.0897481552929,,,95.0572108962072,,,,,97.7507983624308,,,
Poland,,,,99.7968306853758,,,,,,,,,,,,,,,,99.9992,,,,,,,,,,99.99986,,,,,,,99.99996
Portugal,,,,,,,97.9413522482908,,,,,,,,,,99.1994852458467,,,,,,,,,,,,,,,,,,,,99.74676
Puerto Rico,,,,,,93.7458602193863,,,,,,,,,,93.1668794550875,,,,,,,,,,,,,,88.69695,,,,,,,86.57244
Qatar,,,,,,,,,,,,89.542933777955,,,,,,,,,,,94.7907504610583,,,,,,,95.9207138505081,,,99.0601028407654,95.6869881710646,97.7592538303683,96.8201602395276,
Romania,,,,,,,,,,,,,,,,,,99.1074620278676,,,,,,,,,,97.7614877846788,,,,,,,,,97.19549
Russia,,,,,,,,,,,,,,,99.7196019651138,,,,,,,,,,,,,99.7246002807081,,,,,,,,99.7096024542062,
Rwanda,,,,52.2619273811558,,,,,,,,,,,,,74.8965415883477,,,,,,,,,77.6203328834908,,,,,,,,,,77.3446267252366,
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,,,,,,,,,,,,,,,,,99.0444444444445,,,,,,,,,,,,,99.38201,,,,,,,99.51053
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
