Male service workers (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
El Salvador,28.1000003814697,,,,,32.9000015258789,65,,53.7000007629394,52.4000015258789,,52.4000015258789,29.3999996185303,,34,35.7999992370606,34.4000015258789,37.4000015258789,38.2999992370606,40.4000015258789,41.9000015258789,41.5,42.7000007629394,44.9000015258789,44.9000015258789,45.4000015258789,44.7999992370606,
Equatorial Guinea,,,,23.2000007629395,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,30.3999996185303,31.2000007629394,33.7000007629394,36,41.2000007629394,44,46.2000007629394,46.4000015258789,46.5,47,49.2999992370606,48,47.7999992370606,49.5999984741211,49.7000007629394,47.7999992370606,48.7999992370606,47.7000007629394,45.4000015258789
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,63.7000007629394,10.5,60.5999984741211,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,53.2999992370606,,
Finland,41.0999984741211,40.7000007629394,41,42,43.2000007629394,44.2000007629394,44.5,45.9000015258789,46.9000015258789,47.0999984741211,46.0999984741211,47.9000015258789,49.0999984741211,49.9000015258789,50.5999984741211,49.7999992370606,50.5,50.9000015258789,51.2999992370606,51.2000007629394,51.5,52.5,52.9000015258789,53.5,54.7000007629394,54.5999984741211,54.7000007629394,55.2000007629394
France,47,47.7000007629394,48.5999984741211,49.5,50.5,51.5,52.2999992370606,53.0999984741211,53.7999992370606,54.2999992370606,54.7999992370606,55.2999992370606,56.0999984741211,57.4000015258789,,,,,,,,,,59,60.2000007629394,60.5,60.5,61.5999984741211
Gabon,,,,,,,,,,,,,,54.9000015258789,,,,,,,,,,,,,,
Gambia,,,,,,,,,,,,,,35,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,39.0999984741211,35.5999984741211,37.5999984741211,34.7000007629394,35,34.5,34.7000007629394,34.2000007629394,32.7999992370606,32.9000015258789
Germany,,,,,,,,,,,,43.9000015258789,44.5999984741211,45.7000007629394,47,48.4000015258789,49.2999992370606,49.9000015258789,50.2999992370606,50.5,51,51.5999984741211,52.2000007629394,52.9000015258789,53.4000015258789,55.5,55.7999992370606,56
East Germany,,,,,,,,,,,,39.5,43.7000007629394,44.2999992370606,45.0999984741211,,,,,,,,,,,,,
Ghana,,,,,,,,,,,,,23.1000003814697,,,,,,,26.5,,,,,,,,
Greece,,40.4000015258789,41.2000007629394,40.7000007629394,42.2000007629394,42.7999992370606,42.4000015258789,43.7000007629394,44.5999984741211,45.4000015258789,46.2000007629394,47.5,48.0999984741211,51.7000007629394,52.5999984741211,53.0999984741211,53.7000007629394,54.2999992370606,54,54.7999992370606,55.2000007629394,55.0999984741211,55.7999992370606,56.2000007629394,58.5,58.2999992370606,58.9000015258789,58.5999984741211
Grenada,,,,,,,,,40.2000007629394,,,,,,43.2000007629394,,45.4000015258789,,46.2999992370606,,,,,,,,,
Guatemala,,22,22,,,,,20.6000003814697,,,48.5,44.5999984741211,,,18.7000007629395,,,,27.7000007629395,,31.3999996185303,,27.3999996185303,,,,31.7999992370606,
Guinea,,,,,,,,,,,,,,,18,,,,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,41.7999992370606,,,,,39.0999984741211,,,,,
Haiti,10.5,10.6999998092651,13.1000003814697,13,,,,,12.8999996185303,,13.1000003814697,,,,,,,,,22.3999996185303,,,,,,,,
Honduras,,,,,,67.9000015258789,64,64.1999969482422,,,20.1000003814697,,29.2000007629394,51.0999984741211,27,27.2000007629395,27.3999996185303,28.1000003814697,30.2000007629394,29.6000003814697,,,,,,28.7000007629394,,
"Hong Kong, China",51.5,53,55,56.2000007629394,56.2000007629394,55.5,56,55.9000015258789,57.0999984741211,58.7000007629394,60.2000007629394,61,62.5,65.1999969482422,66.3000030517578,67.0999984741211,68,69,70.3000030517578,71.8000030517578,72.0999984741211,73.1999969482422,,75.5,77.4000015258789,77.5,77.9000015258789,78.4000015258789
Hungary,30.5,30.7000007629394,30.6000003814697,31,31.6000003814697,32.0999984741211,32.7999992370606,33.5,34.2000007629394,34.9000015258789,36,38.0999984741211,,,49.5999984741211,50.4000015258789,50,49.7999992370606,46.2999992370606,47.0999984741211,48.7999992370606,49,49,49.7000007629394,50.2000007629394,50.4000015258789,50.7000007629394,51.2999992370606
Iceland,,,,,,,,,,,,52,50,52.0999984741211,49.2999992370606,51.2999992370606,52.5999984741211,51.2999992370606,53.2000007629394,52.4000015258789,56,54.0999984741211,55.4000015258789,57.2999992370606,55.4000015258789,60.5,59.7999992370606,59.7000007629394
Indonesia,29.3999996185303,,29.7000007629394,,,30.6000003814697,37.7000007629394,37.9000015258789,31.3999996185303,30.2000007629394,29.7000007629394,30.7000007629394,31.2000007629394,33.0999984741211,34.2000007629394,36.2000007629394,37.0999984741211,38.5999984741211,38,37.5,,36.4000015258789,35.7999992370606,35.4000015258789,37.2999992370606,36.7999992370606,36,
Iran,,,,,,,,,,,,,,,,,44.0999984741211,,,,,,,,,46.2999992370606,,46.7000007629394
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,66.0999984741211,,,
Ireland,,,,43.7999992370606,45,46.5999984741211,46.4000015258789,47.5999984741211,47.0999984741211,46.2000007629394,45.5999984741211,46.5999984741211,47.5,48.2000007629394,47.4000015258789,47.7000007629394,49,48,49.2999992370606,49.4000015258789,49.7000007629394,49.7000007629394,50.5999984741211,51.2999992370606,51.2999992370606,50.5,51.0999984741211,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,72.9000015258789,,,,,73,
Israel,52.4000015258789,52.7000007629394,53.7000007629394,53.4000015258789,54.0999984741211,55.2999992370606,55.4000015258789,55.2999992370606,57,57.7000007629394,57.7000007629394,56.9000015258789,56.7000007629394,56.2000007629394,56.7999992370606,56,56.9000015258789,57.9000015258789,59.7999992370606,61,61.7999992370606,63,63.7000007629394,64.1999969482422,64.3000030517578,64.9000015258789,65,64.9000015258789
Italy,45.2000007629394,46.2000007629394,47.5,48.4000015258789,50.5,52,52.7000007629394,53.0999984741211,53.7999992370606,54.2999992370606,54.5,54.4000015258789,54.9000015258789,52.0999984741211,52.4000015258789,52.9000015258789,53.4000015258789,54,54,54.2000007629394,54.9000015258789,54.9000015258789,54.9000015258789,54.5999984741211,55.2000007629394,55,55.5,56.2999992370606
Jamaica,,,,,,,,,,,,,39,40.2999992370606,41.7999992370606,42.0999984741211,42.4000015258789,45.7999992370606,45.5999984741211,45.9000015258789,46.5999984741211,46.5,47.4000015258789,45.7999992370606,47,47.7999992370606,46.9000015258789,
