Female above 60 (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Belize,5.88235294117647,5.12820512820513,6.38297872340426,5.55555555555556,6.34920634920635,7.46268656716418,5.71428571428572,5.06329113924051,5.43478260869565,6.48148148148148,5.64516129032258,5.67375886524823,5.76923076923077,7.51445086705202,8.02139037433155,9.54773869346734,12.1495327102804,13.3928571428571,16.0337552742616,17.6954732510288,20.1581027667984
Benin,11.5981735159817,10.1679929266136,9.50792326939116,8.97927858787414,8.408617095205,7.81637717121588,7.30245231607629,6.6824644549763,6.22440622440622,5.87621696801113,5.84182144997004,5.90339892665474,5.87977182974989,5.81527936145952,5.96543702226653,6.29596940276552,6.80951754962534,7.39202657807309,8.14079032606348,9.06928337793636,10.1266984943078
Bhutan,3.75,4.16666666666667,3.7037037037037,4.7244094488189,4.79452054794521,4.09356725146199,4.87804878048781,4.76190476190476,5.57620817843866,6.4,6.47482014388489,7.14285714285714,7.18562874251497,7.73480662983425,8.71794871794872,9.66183574879227,10.8294930875576,12.6106194690265,14.6186440677966,17.4897119341564,20.9580838323353
Bolivia,5.95588235294118,5.88235294117647,5.85106382978724,5.85751978891821,5.86029067041725,5.91887417218543,5.85851142225497,6.03248259860789,6.4228367528992,6.71621980355721,7.03349282296651,7.29324940308227,7.85600636435959,8.53411807982343,9.4028826355525,10.4055582485054,11.6475095785441,13.2277460038129,14.8870056497175,16.7580158947657,18.946383206311
Bosnia and Herzegovina,6.9615663524293,6.26235992089651,6.58461538461538,7.16763005780347,8.36083608360836,9.08136482939633,9.21450151057402,10.3778096604495,12.2018348623853,14.7607934655776,17.9393305439331,19.1955193482688,20.8098411071246,23.4625322997416,26.5584075432163,29.82924226254,32.7312534209086,35.3672316384181,37.6981796829125,40.1714635639926,42.8203477141017
Botswana,7.981220657277,7.5,6.61764705882353,6.41025641025641,5.55555555555556,4.75059382422803,4.39121756487026,4.73773265651438,4.94186046511628,5.10855683269476,5.63866513233602,6.17551462621885,6.79513184584178,7.93499043977055,8.92531876138434,9.3124456048738,9.06040268456376,8.61788617886179,8.76085240726125,10.0306278713629,12.0267260579065
Brazil,5.33127435840871,5.49906553897811,5.78077460735137,5.83641011076399,6.06615352610776,6.32130856995163,6.46219990482286,6.68461324633144,7.27951531900194,7.91605888626028,8.8176193449509,9.70242640196827,11.0942019491449,13.0210250944676,15.3365307903851,18.0912163709478,20.6714973671182,23.2546762845885,26.2040975126666,29.3427665456601,31.9168197672871
Brunei,8.69565217391304,6.45161290322581,7.5,6.25,4.76190476190476,6.41025641025641,3.33333333333333,4.67289719626168,4.13223140495868,3.59712230215827,3.77358490566038,4.51977401129944,5.58375634517766,6.10328638497652,8.62068965517241,10.3174603174603,12.639405204461,15.034965034965,18.1518151815182,20,22.3564954682779
Bulgaria,11.0283981251723,11.6755319148936,12.4365482233503,13.9342265529842,15.7089024964673,17.0787545787546,16.7978412412863,18.7749667110519,20.867814806531,23.2410881801126,24.4276668290307,25.5084107456691,27.5755228505035,29.2851448312517,30.9255698983796,32.4015972618368,34.0678975580703,36.1881033945811,38.5919165580182,40.3005464480874,41.8788096091789
Burkina Faso,3.34878928387429,3.84980988593156,4.296875,4.51843043995244,4.72610096670247,4.7788182111721,4.78662053056517,4.65473145780051,4.45389435989257,4.27067082683307,4.11934226140024,4.04465062336909,3.86503067484663,3.82346745312829,4.02420020166835,4.37873646792697,4.8570196867366,5.42890262751159,6.11056095998136,6.88351788756388,7.7516333447954
Burundi,5.61622464898596,5.43245175125089,5.56647020301244,5.75539568345324,5.92430060340099,6.25325690463783,6.20625291647224,5.8051689860835,5.45829042224511,5.2149178255373,5.25052505250525,5.13907284768212,5.16129032258064,5.70771482333264,6.24284077892325,6.67372881355932,7.08505367464905,7.73772529521442,8.92830963201877,10.8333333333333,12.9715420251489
Cambodia,4.96551724137931,4.95867768595041,4.96871549503128,5.01955671447197,5.07789959607617,5.0761421319797,4.72114853672004,4.92530345471522,5.20094562647754,5.45670225385528,5.74642748555792,6.39673836637143,7.0703125,7.76547074404045,8.60971524288107,9.66966339117708,10.7245230799644,11.4764910958259,12.0061338625293,14.7303624067973,17.5726610268867
Cameroon,6.19235836627141,6.17729643000401,6.25909752547307,6.26427406199021,6.29875758451315,6.24525916561315,6.15989515072084,6.02796674225246,5.9473513162171,5.86236193712829,5.82694964209469,5.83491992384366,5.86231085279086,5.99927719551861,6.19133871233328,6.4384184214513,6.72321929332586,7.15730410386899,7.96044197545937,9.14055763150331,10.4910349337839
Canada,11.1554373522459,11.1383266726827,11.0607947469716,11.459824166837,12.2998611753818,13.4936424184759,14.7627559311017,16.3836163836164,17.3623541204267,17.8549706021491,18.4329417839164,19.4677785271936,21.5375621163402,23.9010989010989,26.6110363391655,29.1750920309016,30.5359201884995,31.4274582379584,32.1342013971392,32.7286259186901,33.1873745666849
Cape Verde,7.59493670886076,8.60215053763441,9.61538461538462,9.09090909090909,9.42028985507246,8.7248322147651,8.44155844155844,7.01754385964912,7.40740740740741,7.21153846153846,8.22510822510823,6.8,6.74157303370787,7.36842105263158,8.60927152317881,10.377358490566,12.0481927710843,13.953488372093,16.1473087818697,18.941504178273,22.2527472527473
Central African Rep.,8.46953937592868,7.7574047954866,7.47051114023591,7.15137067938022,7.09677419354839,7.01754385964912,6.75909878682842,6.7516879219805,6.70690811535882,6.47820965842167,6.44654088050314,6.45624103299857,6.36720453554296,6.51478816946443,6.76274944567627,7.0446735395189,7.29903536977492,7.71791767554479,8.31183720263686,9.21734387782929,10.4275286757039
