Male 15-19 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Bahamas,8.33333333333333,9.75609756097561,9.61538461538462,8.69565217391304,8.33333333333333,10.8695652173913,12.5,11.2068965517241,11.2903225806452,9.35251798561151,9.93377483443709,8.75,9.58083832335329,8.47457627118644,7.56756756756757,7.17948717948718,6.93069306930693,6.73076923076923,6.54205607476636,6.48148148148148,6.42201834862385
Bahrain,9.67741935483871,9.85915492957746,9.63855421686747,8.42105263157895,10.0840336134454,13.6054421768707,8.45771144278607,6.17283950617284,6.27177700348432,6.86567164179104,7.2,7.6555023923445,7.97413793103448,6.97211155378486,6.67903525046382,6.22837370242215,5.91133004926108,5.49450549450549,5.26315789473684,5.29411764705882,5.18731988472622
Bangladesh,9.81028883951461,9.82253564786113,9.0490155006284,9.20617075760415,10.3509403650666,10.3848219954095,10.4510971180503,10.5798228477135,11.0146058457311,11.5554257787887,11.5916008584293,10.9315712036344,10.2558550756017,9.77136143870589,9.14750037371602,8.14126167178632,7.7877265351606,7.52097057011516,7.17837597577576,6.75823275626672,6.35237966590121
Barbados,10.3092783505155,8.82352941176471,8.65384615384615,11.1111111111111,11.7117117117117,11.2068965517241,11.864406779661,10.7438016528926,10.3174603174603,8.13008130081301,8.13008130081301,8.26446280991736,7.14285714285714,6.25,5.51181102362205,5.46875,5.51181102362205,5.69105691056911,4.8780487804878,4.95867768595041,5.12820512820513
Belarus,11.1824817518248,10.8240022968705,6.98051948051948,7.67074413863405,9.59036144578313,10.7464756182112,9.74576271186441,7.82925782925783,7.61231281198003,7.81833264205724,8.75292118121946,8.97968101376448,7.00493938033229,5.57732196358608,5.51871151113216,5.94976834918313,5.95809139106286,5.71278825995807,5.34205505587354,5.02270147559591,5.00296033155713
Belgium,7.36124176857949,6.58861340679522,6.12472160356347,7.80340590644536,7.80487804878049,8.40828278602803,8.5,7.80661364587694,6.98969072164948,6.36658556366586,6.2362141568077,6.24018838304553,6.22137404580153,5.82050319188885,5.65410199556541,5.85339168490153,5.79945799457995,5.83692528735632,5.77817531305903,5.69948186528497,5.65768338390148
Belize,9.09090909090909,10.2564102564103,8.69565217391304,9.09090909090909,11.6666666666667,12.1212121212121,12.5,12.3456790123457,11.8279569892473,10,11.1111111111111,11.2676056338028,10.7594936708861,10.3448275862069,9.62566844919786,8.82352941176471,8.7962962962963,8.33333333333333,7.56302521008403,6.93877551020408,6.77290836653386
Benin,8.58638743455497,9.13654618473896,9.80392156862745,9.16030534351145,9.79498861047836,10.1138647019424,10.5110336817654,10.6965174129353,10.6247343816405,10.6353106353106,10.6261288380494,10.6420626895854,10.6428725005375,10.5888909530002,10.5954892098004,10.8208955223881,10.767453798768,10.4007412555015,9.94510135135135,9.51918406993686,9.16058065097827
Bhutan,10.3448275862069,9.9009900990099,9.73451327433628,10.077519379845,9.27152317880795,9.2896174863388,9.09090909090909,9.38775510204082,9.64285714285714,10.1167315175097,11.2280701754386,11.1436950146628,10.427807486631,8.80195599022005,8.37209302325582,7.57238307349666,7.72532188841202,7.66045548654244,7.08502024291498,6.32411067193676,6.03112840466926
Bolivia,10.2734663710273,10.1808439383791,9.87951807228916,10.3243243243243,10.3415103415103,10.4522184300341,10.4505868989019,10.5906313645621,10.8991825613079,10.4116222760291,10.4156597390043,10.6206293706294,10.951239008793,10.4689807976366,10.2047840302874,9.68107495548001,9.16769041769042,8.65158636897767,8.16095211107962,7.67960363336086,7.22745625841184
Bosnia and Herzegovina,12.4513618677043,11.7482517482517,8.18826563507414,10.2395209580838,11.4481969089868,11.4068441064639,10.966735966736,9.53316953316953,8.77522290004693,8.29207920792079,8.20685778527262,8.19131390874107,6.46766169154229,6.29877369007804,5.26315789473684,5.0201961915753,5.02067336089781,5,4.80101073910297,4.61741424802111,4.46735395189003
Botswana,11.6161616161616,11.1111111111111,10.3174603174603,9.89399293286219,11.7469879518072,11.6455696202532,11.018711018711,10.9154929577465,11.144578313253,11.7647058823529,12.1779859484778,11.8995633187773,11.0323886639676,10.0848256361923,9.24444444444444,9.51178451178451,9.42028985507246,9.1543832428239,8.70870870870871,8.23015294974508,7.86676116229624
Brazil,10.125116713352,10.2586206896552,9.53339584137665,10.0544188588674,10.7069821793748,11.0536654065673,11.3936776873125,10.460485560046,10.0436034775119,10.4542447354296,10.6866150146941,9.60339943342776,8.70921130596588,8.78897038902658,8.50185840966958,7.33700326853604,6.57230954917917,6.17923910399162,5.80948911246252,5.52672013191426,5.40627362055934
