Population growth (annual %),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Argentina,1.63670883528759,1.61377695900841,1.5917534101707,1.56446486805311,1.52918130119417,1.49178922376383,1.44879582958844,1.41740619110543,1.42027731656046,1.46653141224419,1.53946093915201,1.62433401280849,1.69168214953144,1.72051362020413,1.69800368399549,1.64145700770121,1.57497493853822,1.52258640596876,1.49009315451155,1.48619810602171,1.50149890739099,1.51881998170304,1.52705882021172,1.52926981632701,1.5224805836091,1.50863261655503,1.4935038573625,1.47814937817877,1.45824428097452,1.43328327763654,1.40453243247375,1.37259321757337,1.34001664936678,1.30925604768848,1.28160147234638,1.25531720304236,1.2316637089186,1.2050954181573,1.16832367490488,1.11836940791219,1.06077156909112,1.00066270994474,0.947783450094236,0.909119147294038,0.889494929759384,0.88389921926635,0.881997595035058,0.878198237305119,0.875629393700366,0.872871186286127,0.869608883862605,0.867702632553588
Armenia,3.55528978042172,3.51690204227289,3.45176249003758,3.35232738248187,3.21781521410759,3.06357478023576,2.89797610703843,2.74452869583379,2.62370042437816,2.54538319902833,2.49423054520762,2.45088946841659,2.39543277514341,2.32276071925592,2.22633905324657,2.11572506110785,2.00343708168111,1.90178849446464,1.8136003273355,1.74310196972549,1.68494989656611,1.58880452878134,1.48271416110755,1.44076991230779,1.48240748590848,1.55612199432101,1.70333431223034,1.76680530256996,1.53243195844179,0.915369280687287,0.055732592239107,-0.92519223038327,-1.78433577198332,-2.33334188556933,-2.39717356845828,-2.06854069559278,-1.59456531948782,-1.18437647797568,-0.824324323789412,-0.59606046092202,-0.471110157597691,-0.335010215783383,-0.154826054038884,-0.016760266641819,0.067220130157926,0.109063044479532,0.126796890027256,0.141177834411349,0.159460015054141,0.191172573248092,0.22965661502555,0.263682127253317
Aruba,3.13482974323948,2.23822558854898,1.41678663712285,0.834186816519544,0.585604290263391,0.578708354138077,0.611771521153897,0.583938220958292,0.577122866021519,0.575514127664493,0.578993221248384,0.629511382277117,0.687414684640191,0.647865898264626,0.473659818004453,0.214560481065127,-0.107222695293559,-0.368732590907129,-0.428308837448863,-0.213177084261708,0.19820291467621,0.780651852523078,1.27465492129313,1.39373386321866,0.999680432812224,0.313039035892255,-0.612693382750268,-1.30951861270387,-1.23843111215386,-0.070436957742455,1.82025436063998,3.93618078503351,5.48404131995588,6.08881843042332,5.61167742051291,4.53462798063422,3.3615581894803,2.48719948201803,1.93740506465401,1.84293367302312,2.04692871909162,2.29102084263597,2.38887263132289,2.38062958077396,2.21629010109836,1.9496523412111,1.68383071840374,1.46328044862175,1.24053442841877,1.02387077016015,0.818313767723234,0.605671775327568
Australia,2.26691139948571,1.9897399204451,2.44063924726327,1.91781635689775,1.96235429627742,1.95971677154296,2.28318423811779,1.26227680834008,1.76415854474674,2.09302287805115,1.97018875435657,3.38029332358144,1.83814614673626,1.52881681721862,2.53122009900521,1.23118581022716,1.00265819695326,1.12667260872226,1.16288518532127,1.08064220196996,1.2189426332245,1.58685246922765,1.6675356278297,1.25054818542781,1.13222177354599,1.36734598854747,1.63898876384997,1.52098653020582,1.63620655353759,1.692566673495,1.47997792256056,1.27457749765855,1.21862740855203,0.985609097722597,1.06211587837343,1.2154756905422,1.32226206216352,1.12966648924777,1.04607171872067,1.14681680362601,1.20219139373096,1.34835834227145,1.22056378534358,1.23399666342628,1.15935216218033,1.31978955436191,1.47522794532757,1.52042226074446,2.00142923683952,2.08614200114382,1.57331245466558,1.42832857191371
Austria,0.510799364664575,0.548472356417754,0.612895847822874,0.642362670652079,0.666548205291217,0.649729875576735,0.701396116235274,0.747425220117069,0.519254261579197,0.345331646244521,0.349218946276921,0.446245581370136,0.581190352265189,0.554041398958361,0.170205767697282,-0.265319410736808,-0.176672284747108,0.038390493901692,-0.080961041675265,-0.170463648025429,0.000105968279182,0.255018231368981,0.071717018034724,-0.161600981253917,-0.006294904092066,0.046950967908944,0.063548997469243,0.063284203908375,0.141570850318539,0.450513899730364,0.762001611316115,0.998418103144403,1.10055228652823,0.824627940995206,0.384869546678302,0.153106260702748,0.135019833748789,0.113316608322994,0.109728368100981,0.194563153264961,0.240466652446524,0.382799394483217,0.49198046425522,0.487133894826838,0.620413127334181,0.681267248299787,0.494797775098466,0.388028342260499,0.434411323947034,0.33946456785647,0.292401673539314,0.347783064700385
Azerbaijan,3.27139985961003,3.32982508826034,3.34691047277008,3.29267653885349,3.15614008652921,2.9677968111011,2.76859927885541,2.58886826992747,2.42909770773871,2.2987871376889,2.19089885437277,2.09008923524885,1.9897905197433,1.89743706466527,1.81285831090354,1.73731093339617,1.70591509546378,1.63783545447835,1.59069722863661,1.63033730852112,1.48683392990593,1.59282578788983,1.53642040093413,1.54413102746308,1.56637099270772,1.60221071474862,1.63596737662594,1.66768044022734,1.59750095119655,1.14984579934122,1.03904326157014,1.55235262742381,1.51507699837767,1.51915259880718,1.35173001134955,1.15169437426819,1.00984797957054,0.961484174713846,0.952327624863702,0.880730348080837,0.817577951157989,0.774883014438153,0.7461678830025,0.757613291371948,0.874957316098748,1.02226559239828,1.09858657441812,1.13385546615645,2.09985403259251,2.07614826384645,1.18978770786007,1.24758427552687
Bahamas,4.78935271822927,4.97344732567986,5.06285033051585,5.03266038226043,4.88051221375419,4.64265246632477,4.41068272257145,4.17716797165231,3.86918698834933,3.48061036581024,3.059915617265,2.62686921974547,2.2598225419278,2.02656801054244,1.96470402627485,2.02113516766969,2.10352086827573,2.1566320813891,2.19998635988921,2.21672831186826,2.21329757778974,2.22111354186416,2.23099917723001,2.19874961797141,2.11708589718766,2.004149310006,1.87359506252531,1.76146396852668,1.70106721784053,1.70798413443312,1.75546405454895,1.82490416592034,1.86710474709865,1.84174820883681,1.73040992322395,1.56631444249148,1.38541325769451,1.24017606489664,1.16099250030136,1.16909975532915,1.23827090652099,1.31998705907724,1.38130337656746,1.42859108630715,1.45232494781541,1.45690066364151,1.46344681728114,1.46879703378447,1.44903383968195,1.39789990682614,1.32672757161088,1.24600737027438
Bahrain,3.50070171257382,3.25495902448028,3.01372252680043,2.7907403667965,2.59789598104214,2.45433087344127,2.32477950659821,2.26888401594365,2.38383248640764,2.70215325318514,3.15821525479819,3.54873704399829,3.89654172736965,4.3771704378596,4.99540633146218,5.61442246397855,6.24420707078205,6.61901971673245,6.48122692261782,5.8045870062571,4.85890429177799,3.86798917665635,3.09897407327623,2.66845663932069,2.66976893760185,2.94511877898917,3.28324531382039,3.48888903448208,3.53257931958673,3.36371919935013,3.06877820771266,2.76014544652782,2.53545165085462,2.40796838309088,2.40655731851813,2.48836179897505,2.79475641514738,3.09503255560962,3.03139827191936,2.50868970703917,1.80690756958621,0.674163541507828,-0.06850488365182,0.790240795568557,3.73013939055519,7.60042786434699,11.2868062555244,13.1812381062027,12.8203733700299,10.5608689132738,7.5924010734775,4.77391766457439
Bangladesh,2.87830993400299,2.81322782509676,2.76705835961827,2.78662506949103,2.88912692713272,3.02263448376985,3.21703119271865,3.33122393038328,3.19077227575573,2.74235663473026,2.12569264589565,1.43719629948777,0.898739499468807,0.686355608357378,0.915730696741328,1.44800304319383,2.06372345707251,2.55107965479302,2.86803147539567,2.94873717501382,2.87083661860875,2.76357884018894,2.70521118884909,2.66897632985859,2.67222800701473,2.69648604155095,2.7171927310649,2.7088534241067,2.66663277396366,2.58399893550076,2.47625238581399,2.35919934068732,2.25410478995121,2.17165978596285,2.11998064012738,2.08821099619584,2.05699688296749,2.01552858437685,1.96867712533918,1.91380120919952,1.85158570317757,1.79888405960722,1.74440783613894,1.660670463142,1.54002469297002,1.40000262362366,1.24803353164368,1.11998815682287,1.05136452958274,1.06106991869059,1.12402996553858,1.20430103283924
Barbados,0.252885215199533,0.321363583629719,0.394773647439119,0.431773299150234,0.409872547580282,0.347436940192496,0.272081291317436,0.224830995196081,0.224326639168746,0.287802723144094,0.393071372237053,0.521703236229501,0.625124129868718,0.662409967959467,0.608969796218955,0.495023241977712,0.356382026587495,0.245112560454298,0.186369230664998,0.20658079932322,0.279736224292553,0.369098855979477,0.436742115721065,0.480485227116623,0.485690529064532,0.462906336754849,0.436513220796935,0.417859996372704,0.39632662631833,0.374654890216202,0.352449461429078,0.327016442175769,0.301062382351693,0.286413169650714,0.286737454381329,0.296168093108479,0.311189612317146,0.321541863014749,0.32126333350978,0.306740069191944,0.281880662584142,0.254245493057283,0.231282865828006,0.214046109050335,0.20692117681597,0.205754536461025,0.206438820279793,0.20490904199273,0.206694471139733,0.209201258100866,0.212789025520626,0.217083132307066
Belarus,0.977389037200403,0.889131306828916,0.971087408911748,1.01618816764826,1.02576992549068,1.00123251743328,0.999586684036839,1.01992944587986,1.006837356551,0.961629916171802,0.88550188625702,0.832542374435887,0.801903490816236,0.740577026749332,0.649396239173963,0.528950626875085,0.468634335391905,0.55102393017135,0.653046307455514,0.617511997063943,0.613722176785582,0.692401833803646,0.677411969851571,0.683013978680928,0.678380526672082,0.653761402146531,0.67939112065357,0.6748065272214,0.286405787303483,0.295421171100175,0.186649681389178,0.049060489474131,0.215580667634297,0.224883972052545,-0.117267669480058,-0.32319697020678,-0.334086955668395,-0.424126465893162,-0.475577999015538,-0.338241447172441,-0.299401402366337,-0.347830040141064,-0.454984055440504,-0.51549916853234,-0.50256778134196,-0.498754119629345,-0.44177638993583,-0.313875067944898,-1.03606397142761,-0.994304073185525,-0.178975675505685,-0.17929657284391
Belgium,0.657711496610821,0.332205945818093,0.398054786807546,0.747606930682632,0.94647753571233,0.908137001686598,0.675463567135343,0.556645554862671,0.393391107738732,0.283169669202288,0.098613691502767,0.182247071467749,0.391585907459382,0.314658765693604,0.314633664597999,0.288978161128393,0.178674447005659,0.123479645392964,0.093299959813025,0.089882551263234,0.110211165985901,-0.002637154340226,-0.027176883483947,-0.007944470690621,-0.001501707786783,0.029786422643661,0.035648850783236,0.085252140812505,0.317926245358661,0.363247985870165,0.298235706313592,0.371593165668169,0.405713495856337,0.390638517826929,0.308197073686726,0.209436838020324,0.1953931762382,0.241991884983082,0.213527650670943,0.229189103029716,0.242517956221334,0.343951157623668,0.448268894821562,0.418641508069053,0.432788248129175,0.550055708089009,0.659558214980699,0.734330830765919,0.789976845480149,0.804599572619861,0.915465802645554,1.02462639902574
Belize,3.09312073707322,3.45003705281742,3.57365893122317,3.54304009955025,3.30643477873366,2.95871975994614,2.66296809956192,2.40186498958964,2.14226304138896,1.8890313947686,1.66133100327796,1.44738409662442,1.21917287175177,1.17500651806218,1.39401063225695,1.76601745555868,2.10622457365585,2.45407364955151,2.6821751477135,2.72692342018421,2.66383434416634,2.63139940734726,2.60472388855394,2.01887701520116,3.13310954906519,2.57041539336784,2.49567303989386,2.77795623540078,2.59169418997043,1.87333290203171,3.11685608526773,2.61111423559059,2.54466640553171,2.97051525393308,2.88481525171556,2.57324123425984,2.50868328465955,3.54019248168284,3.62899991150696,1.91035697881245,2.71877163693998,2.95821215962211,3.0241539024009,3.15483577349261,3.19998542037937,3.20361658382583,3.23231991244153,3.30075030144073,3.34627181096453,3.38808539555343,3.39315632301321,3.39402319062204
Benin,1.1971052396983,1.29258649761342,1.38261664764282,1.46488558676205,1.53850883454672,1.60622814655625,1.66975377641746,1.73447666339885,1.80569698315938,1.88604940598986,1.97179004689794,2.05643675137429,2.1361208454607,2.21241887615119,2.28409116256363,2.35137597347935,2.41512577986749,2.47530791394189,2.531007218086,2.58195605462582,2.62831167771781,2.68067996397551,2.73024901142577,2.75891006197858,2.76247636658419,2.75472746395178,2.72441182786169,2.71169196927751,2.76976849082178,2.91536149704003,3.10531038726438,3.31618832510229,3.47078954338044,3.50509589942006,3.39420821501036,3.19909111097831,2.97837972134239,2.8131728613003,2.74443199073587,2.80001349125958,2.93209776256177,3.07486631343347,3.17242934600717,3.21933251194564,3.2002954174851,3.13724567021148,3.06948159934949,3.01401419200944,2.95623697528565,2.89906620895536,2.84371432642453,2.78605865019524
Bermuda,1.35092075877883,2.44728549743322,2.38882136671967,2.33308552903692,2.48459970185897,2.42436100800662,1.78046235099212,1.94180846316963,1.90481937686317,1.86921318325596,1.83491375102488,-0.729930202097891,-0.735297384123918,-0.740744081040508,-0.746272073064425,-0.751883193954101,0.376648255778775,0.375234938175315,0.373832187469516,0.372439885594891,0.371057916237452,0.738010683189057,0.732603962975298,0.727275887012233,0.722024751784335,0.716848902623504,1.59436493909898,1.56934335556906,1.54509501806654,1.52158462770361,1.49877900196664,0.82304986171184,0,0,0.490597845925582,0.6504087558727,0.139319525982559,0.139319525982564,0.139319525982556,0.139319525982562,0.139319525982555,0.644122383252821,0.479999999999992,0.318471337579629,0.476190476190474,0.473933649289116,0.31446540880502,0.313479623824464,0.312500000000004,0.31152647975079,-0.25310559006213,0.720768404502081
Bhutan,2.6272116198352,2.62333463250388,2.63774833988903,2.67260250104453,2.72799899948087,2.80030376805396,2.86430410961076,2.93611575409684,3.053274492675,3.22261370226275,3.41392864992006,3.59500529113847,3.72794617391319,3.79244614373659,3.77952173040336,3.70871448658041,3.63629294414708,3.55963604455932,3.43207622737328,3.25022010679474,3.04113529210144,2.75186525603203,2.48662751248353,2.40327517372229,2.55196889411426,2.81052817774216,3.20734190548919,3.4373180468941,3.15222272849992,2.23741710022106,0.961275131314326,-0.49414637901806,-1.70423767913579,-2.30715875150634,-1.98207209052084,-0.927644917346241,0.37435818270024,1.46710477244869,2.29909380812505,2.7139574453246,2.82007861323624,2.89640297447144,3.01076109484488,2.99212458251336,2.83703275619238,2.59568861089364,2.30719378313737,2.03929717347987,1.83926263674225,1.73880798864532,1.70537022199051,1.68381810071959
Bolivia,2.2109477368309,2.21864339586039,2.22703958220616,2.23842521530294,2.25398398912591,2.27253475738301,2.28807779867873,2.30262860314457,2.32338423380745,2.35200015781539,2.3834824965653,2.41319955762133,2.43444816401477,2.44363781959848,2.43816296348621,2.42130206226913,2.40566809310378,2.38851836806468,2.35636079038251,2.30685096991351,2.24876150083172,2.18744060663997,2.1378230813648,2.11269666661658,2.11857741632087,2.14588912829521,2.17453293117874,2.19749682641665,2.22376809304097,2.25224362365965,2.27922646640022,2.30664303808592,2.32580801049334,2.32481666550932,2.29924282980235,2.25651877348937,2.20674780570376,2.15927940923766,2.11605955091772,2.08033069509447,2.04853920149633,2.01938981038872,1.98507187033652,1.93851535200258,1.87665054511476,1.80635761491154,1.734203421487,1.67117035959096,1.62428160138075,1.59838121575947,1.58766668356071,1.58120328980219
Bosnia and Herzegovina,1.43686849126225,1.4166697128317,1.39146847823974,1.34365672561796,1.26437721744926,1.1667428579819,1.06220393343984,0.975108676072565,0.923596796661827,0.919307964581172,0.94738409690296,0.990924982911182,1.02380186804084,1.0314705223867,1.00251303319582,0.950485458344488,0.888727296861491,0.842821034576101,0.829898273340893,0.861681439108889,0.922542338130023,0.9149954241967,0.876008026024653,0.932599917117707,1.11641029775338,1.33987745678266,1.75029254909507,2.01238747317498,1.623571439144,0.398933571905685,-1.35725875740687,-3.56091629841433,-5.5921849769559,-6.67882042064881,-6.03445702416119,-3.82535642865308,-0.796235471106125,1.797122633861,3.35031797204341,3.42190231650473,2.52949140891833,1.46929545817154,0.731318381299883,0.180827186573654,-0.035933012684897,-0.009441498354283,0.0155237842802,-0.067560581580358,-0.12895201939218,-0.171867755878009,-0.200163938713091,-0.210878738790127
Botswana,2.27161206964911,2.36551574936178,2.46917034221831,2.57124456530205,2.66514578744875,2.75354249728457,2.84745367123427,2.94572748225077,3.03478623995269,3.11253540749988,3.18336578411931,3.23531238939298,3.28977577651404,3.37861352160349,3.509884639798,3.65631353024055,3.79966888076496,3.89853502554075,3.92308514794775,3.8617133713965,3.74592253251396,3.615592679095,3.50250488528677,3.40899967408571,3.3442406034555,3.29698633726223,3.24299512070483,3.17744030971994,3.115401495057,3.05727932054303,2.99819330307233,2.93676602582947,2.86355628936118,2.76783334787384,2.64570046870543,2.50475171804129,2.37237397807006,2.2431687128939,2.08873473182776,1.90392594155816,1.7065883256926,1.49755478687728,1.31685452681969,1.21071339785806,1.20119737675728,1.25701912345353,1.33625602049629,1.39144899502901,1.40545621890023,1.3593346995754,1.27211776584444,1.17856084315981
Brazil,2.95670642315034,3.00135995003703,3.02698394285165,3.01109653015257,2.94414572331492,2.84511237631783,2.74225125927317,2.65433888731955,2.57870919083808,2.52070106729461,2.4766661705614,2.43358216259472,2.3923362760816,2.36568629080679,2.35575710576888,2.35667484716638,2.35663465891368,2.35223884190567,2.34908771948814,2.34646053890892,2.34083707868698,2.3359280089414,2.32156793780969,2.28277371244699,2.21439419265469,2.12645634216184,2.03618705409738,1.95268811679378,1.87180485646948,1.79611667214358,1.72649610453994,1.65458052183399,1.58789501308395,1.54301420858074,1.52522116130855,1.52509042226595,1.52941866746484,1.52572694407878,1.51100380073501,1.48037724764946,1.43731778284406,1.39582704545444,1.35449561512891,1.29882799876897,1.22587770990992,1.14292330014478,1.05430709712133,0.974106131883302,0.9152846289328,0.885358145475317,0.875786278800929,0.872598757110425
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,4.49682307712618,4.42437318207426,4.37690722861003,4.37134886217156,4.40593273044868,4.46339882594512,4.51207307691405,4.5414142603236,4.57405006473451,4.60193914385494,4.62033363796094,4.62561665550349,4.60275655714016,4.53682523053096,4.4225786259823,4.27675942646604,4.13626063696545,3.99785429883273,3.82488814687066,3.61567617892353,3.392341103258,3.16849746783559,2.97832674496592,2.85066912912983,2.79935637021131,2.79984589232035,2.8079569442893,2.80638477355301,2.81079344017661,2.8163883103811,2.82097473304684,2.82804947121014,2.82713340464933,2.80043801024972,2.74258658026459,2.66419309464211,2.58159332932967,2.50480770060712,2.42822437834652,2.35439048539177,2.28310957594362,2.21121101457302,2.1414183216821,2.08189964332129,2.03550592966423,1.99710141726136,1.96177757427101,1.92456095937781,1.88458073509277,1.83951244551937,1.79149585453168,1.7439543047198
Bulgaria,0.952936538159994,0.958155881300658,0.875259033561633,0.810378324356217,0.816094049550123,0.731911035292208,0.6547012021586,0.629747480901394,0.71196474274479,0.76850966869777,0.654727362472727,0.54999651445838,0.465213742153797,0.52063344062239,0.667967360708252,0.482739307856323,0.433163460713304,0.519098880350645,0.111804754635587,0.135011572680936,0.40248874474625,0.333268825188891,0.295812783296283,0.249546600825385,0.233972309730169,-0.001473113502413,-0.026519754526249,0.147109292640267,0.112372423824029,-1.17003859875014,-1.80375047906806,-0.990425980099359,-1.07385319076042,-0.797665851516421,-0.339586079485037,-0.44539850047226,-0.515729879636827,-0.608797354537911,-0.66730270106626,-0.560648224779443,-0.493896416633318,-1.85163779268726,-1.91102031533295,-0.572406972657503,-0.543375462654425,-0.53167882270332,-0.529571958902757,-0.511187415410182,-0.475936534471499,-0.503192495286699,-0.672541560945809,-0.776657837804647
Burkina Faso,1.52591747190687,1.52406661473692,1.52902560539825,1.55649737281666,1.61459255784368,1.69265936094957,1.77641108999674,1.84979762720526,1.90752570805229,1.94382777978899,1.96606552591708,1.98544791881325,2.01128881960282,2.0442133888472,2.08703642961518,2.13657460829768,2.18606182149768,2.2327954144516,2.27964026956992,2.32617781622273,2.37173341507725,2.41625758748287,2.45865980700794,2.49755585515938,2.53237038530941,2.56365060495275,2.59273592356947,2.62007180443684,2.64512878073658,2.66802738813778,2.68882036526853,2.70899532477821,2.72754580119322,2.74219710788091,2.75256844716311,2.76043460564759,2.76744961140834,2.77618153257366,2.78824717948805,2.8046123069616,2.82387032263004,2.84242609155507,2.85993853756981,2.87902593136832,2.89983271393177,2.92091719977981,2.9407339263033,2.95759949938499,2.97068732615578,2.97942620939241,2.98442708563427,2.98576225976106
Burundi,1.80123099108493,1.76615233867779,1.73891503603397,1.74020918157913,1.77900422769532,1.83409885944679,1.9297092545625,1.99527817989203,1.93167781874932,1.70380614657939,1.38449418402268,1.02968858607327,0.766744446170703,0.696914299668177,0.886623736566667,1.26095959172453,1.67192979424656,2.02777088068297,2.35503666644733,2.62664965343604,2.8441096996668,3.03591806177655,3.19590793419353,3.28753159996048,3.30417005401021,3.25898330777681,3.19749786175241,3.10999329217108,2.95048506480815,2.71240088887621,2.42681322058548,2.15994093310816,1.92133308458873,1.66929372375118,1.40305320253379,1.15045389450603,0.875231899581473,0.669306723274781,0.677503162234405,0.96180718748975,1.43287228752713,1.9467136435708,2.37805796681249,2.70776430222216,2.89349612457234,2.96558885757557,3.02810348812144,3.07514398548132,3.01091687185474,2.82338029590972,2.56145230621573,2.26832183110236
