GNI per capita (constant 2000 US$),1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Botswana,,,,,,,,,,,,,,,789.682120007696,841.185303220452,906.20251183336,996.22712952999,1074.93194516791,1110.03488444799,1258.15044094014,1352.99314946367,1405.37285969193,1398.90267366236,1441.96617644758,1520.61892791978,1565.75692813618,1916.46996894384,2054.08668924358,2278.34492733403,2488.73511723824,2514.05698204758,2596.63700622045,2323.93927552035,2478.28862460159,2433.08367181406,2689.19540162081,3073.24729434382,2945.46856750254,3004.19889154053,3205.82839711545,3107.35573842378,3362.36453731912,3495.2818397944,3559.06342805072,3751.54953854799,3917.66053891016,4039.79816572365,3970.61551232416,4152.08485161428,4314.707289123
Brazil,1549,1581.62542312949,1548.13471540358,1555.61576122416,1558.14856465665,1504.69621407047,1557.4689050084,1708.96180860207,1839.76308753221,1959.94045452323,2136.91450008636,2344.24187298929,2599.99490660213,2780.23644773225,2839.28789893126,3039.45842102216,3100.62404026139,3104.19419799757,3226.96762578423,3418.9331828924,3164.60463022936,3077.68655186472,2881.34998916072,2967.65477912525,3149.88706754758,3366.13187152582,3445.1480503723,3368.24081424146,3445.5008052656,3263.4157783259,3272.67531892421,3217.17988762912,3297.18809426068,3447.46977622174,3553.13820197452,3573.92204925056,3623.01276113554,3558.54434046014,3479.17611662104,3593.3297278322,3564.12983451198,3608.02938206197,3612.42475296245,3780.64025968897,3862.18590215375,3988.3777633176,4208.0562936683,4370.66956383408,4335.72502326348,4627.96223561409,4707.56634226534
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19409.3314173278,19075.0174848233,19126.478880879,19478.0978921317,18997.8797349104,19065.319269778,19395.5200358177,19445.2516316959,18685.2384300041,18135.1281789586,18253.7763071888,18350.1306212938,18441.346888961,18749.5770716778,18896.5259193136,18609.152643188,18311.8813535688,18745.8047742332,18547.0711434918,17846.9648613256,17216.0002756163,,
Bulgaria,,,,,,,,,,,,,,,,,,,,1259.62055749211,1330.46817767571,1362.11312962019,1412.87848408798,1463.32080418708,1498.98787015558,1555.2977808195,1634.47703837687,1792.62290374881,1728.75817564072,1517.93625148461,1385.8934219403,1425.24231564282,1413.37901212078,1440.72024429055,1467.79526153121,1327.61387657704,1326.68297996886,1419.05900180172,1466.13853865855,1539.76520642266,1678.5762379183,1825.74579442722,1928.4756745645,2060.58034240485,2182.89824627608,2269.8306033269,2294.7748118644,2524.73065827943,2435.84136458124,2468.27398766121,2500.69241146523
Burkina Faso,,,,,129.358449269218,128.445422031247,137.230797676202,138.821299083044,138.927343539277,136.914303601824,135.959015795423,136.150611313675,134.279110873817,141.986884069771,141.605908865095,150.901448605688,146.683496971419,151.799744615225,154.161232382375,152.248020883341,154.352348631728,164.972630606547,161.392503940588,155.036833492427,163.919478576062,172.620772072634,167.562424980968,172.3959469602,171.56670767891,166.399808874642,176.53810957746,172.071564090146,172.791163756856,170.080663805392,175.494196266427,190.834246354647,196.628497239983,205.172069336666,214.111289415392,211.969820591421,219.649418118487,223.862666413641,235.06297101867,238.691246631125,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.941446127789,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.80017327608,230.344496752434,240.838299957441,246.094326485924,267.338366158548,283.917043837757,301.21976789501,313.296958705583,337.32518775701,366.66273618142,407.847446170294,448.288738212311,487.43587956683,508.232354244926,506.167867367525,527.292546193714,
Cameroon,,,,,,,385.578685433519,406.459551398174,426.618930640786,434.50182149698,450.11771559253,457.941080203277,439.760882530268,476.168107528441,528.889519227855,483.730693264963,464.763567228869,652.261296120841,691.787154683105,583.820199046533,718.388761007442,774.250289599841,809.564996334122,866.687593840408,913.461570584461,963.510997529469,915.657185621565,827.03059314025,776.885961786103,692.205698742873,633.147699617209,603.083683803738,568.938587474353,535.822605732065,538.508556974519,551.784255830861,566.331686459321,588.920291385376,603.85964653437,603.664061636965,628.295719481181,627.351197636177,652.906948264538,670.981617156764,669.689911557441,685.212582157228,700.912785758795,698.405209550929,702.654807076938,706.17715262041,716.000726173098
Canada,9311,9792.33660381241,10105.4428367038,10584.9315066285,11086.7944222175,11597.3573767067,11715.8395037033,12161.4180975571,12655.4750150822,12787.705495303,13118.4520557273,13632.508855069,14325.4861572276,14573.0078413307,14558.1579371296,15069.4167281308,15361.7525070604,15753.7461799379,16147.3465421607,16284.1579455617,16541.8165308584,15854.2430336423,16208.5770345307,16958.542342443,17616.6940365045,17814.0463410481,18382.1689589477,19021.1653397076,19133.4759085252,18857.8397677958,18265.8440971543,18151.1700669406,18408.5428034708,19078.2521538669,19466.564604396,19593.6662288124,20261.423570217,20881.5634985765,21839.6997240824,22946.0594052989,23071.087222571,23616.2139282768,23846.5301264665,24415.5602583804,24941.333078652,25668.0936481115,25869.4676347215,25741.1522648935,24662.3878408055,25103.1230870059,
