Physicians per 1000 people,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Jordan,0.345971554517746,,,,,0.369680851697922,,,,,0.403800010681152,,,,,0.377900004386902,,,,,0.786300003528595,1.11409997940063,1.12810003757477,,1.15939998626709,,,,,,,1.3478000164,,,1.6254999638,,,1.66,,,,2.05,,,2.03,2.36,,2.561,,2.45,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,3.03570008277893,3.15409994125366,3.25329995155334,3.39590001106262,3.53130006790161,3.62910008430481,3.72429990768433,3.791100025177,3.87150001525879,3.96239995956421,3.9758999348,3.8389000893,3.9075000286,3.7658998966,3.6036999226,3.635,3.639,3.301,3.528,3.201,3.292,3.302,3.612,3.539,3.6,3.7,3.88,3.877,3.7,3.8,,
Kenya,0.091934710741043,,,,,0.075289770960808,,,,,0.125,,,,,0.126599997282028,,,,,,0.098999999463558,0.120200000703335,,,0.154499992728233,,,,,0.0450999998,,,0.1377999932,,0.132,,,,,,,0.14,,0.139,,,,,,,
Kiribati,0.540540516376495,,,,,,,,,,0.613499999046326,,,,,,,,,,0.51639997959137,,,,,,0.4966000020504,,,,0.1934999973,0.1761000007,0.185800001,0.1300999969,,,,,0.296,,,,,,0.23,,0.297,,,,,
North Korea,,,,,,,,,,,,,,,,,,,,,,,2.54909992218018,2.51110005378723,,,,,,,,,,,,2.97,,,,,,,,3.29,,,,,,,,
South Korea,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.9,1,1,1.1,1.1,1.2,1.2,1.3,1.3,1.3,1.4,1.5,1.57,1.71,,,,1.967,,,
"United Korea (former)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,0.870503604412079,,,,,1.26326966285706,,,,,0.954299986362457,,,,,,,,,,1.6981999874115,1.41170001029968,1.62039995193481,,,,1.56560003757477,,,,0.1831,,,,,1.783,,1.89,,,,1.525,,,,1.8,,,,1.793,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,2.60190010070801,3.08839988708496,2.76939988136292,3.06080007553101,2.9284999370575,3.03859996795654,3.14709997177124,3.24959993362427,3.32349991798401,3.36870002746582,3.3740999699,3.4124000072,3.3494999409,3.1184000969,3.0964000225,3.208,3.293,3.058,3.01,2.875,2.823,2.679,2.6,2.6,2.5,,2.39,2.301,,,,
Lao,0.020211299881339,,,,,0.041118420660496,,,,,0.065999999642372,,,,,,0.050900001078844,,,,,,,,,0.728799998760223,,,,,0.2343000025,,,,,,0.586,,,,,,,,0.35,0.272,,,,,,
Latvia,,,,,,,,,,,,,,,,,,,,,3.62299990653992,,,,,4.09910011291504,4.07709980010986,4.11180019378662,4.18330001831055,4.16200017929077,4.1177000999,4.0462999344,3.6017000675,3.1974999905,3.060199976,2.976,2.994,2.96,3.061,3.177,3.204,2.914,,3.008,,,3.14,3.039,,2.988,,
Lebanon,0.777781188488007,,,,,0.937694609165192,,,,,0.726000010967255,,,,,,,,,1.69260001182556,,1.71430003643036,,1.25530004501343,,,,,,1.86240005493164,,1.3258999586,,1.8622000217,,,,2.1,,,,3.253,,,,2.36,3.254,,,3.54,,
Lesotho,0.041713640093803,,,,,0.048289738595486,,,,,0.031800001859665,,,,,0.031899999827146,,,,,,,,,,0.071000002324581,,,,,0.0430000015,,,0.0504000001,,0.054,,,,,,,,0.05,,,,,,,,
Liberia,0.076997116208076,,,,,0.080334730446339,,,,,0.07940000295639,,,,,0.079599998891354,,,,,,0.105800002813339,,0.106700003147125,,,,,,,,,,,,,,0.023,,,,,,,0.03,,,,0.014,,,
Libya,0.151964411139488,,,,,0.258780032396317,,,,,0.368099987506866,,,,,,,,,,1.33319997787476,1.63269996643066,1.56239998340607,1.43970000743866,,,,,,,1.07099998,,,1.4407999516,,,,1.29,,,,,,,1.25,,,,,1.9,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,3.72009992599487,3.81649994850159,3.8850998878479,3.94120001792908,3.97659993171692,4.0269999504,3.904900074,3.9279999733,3.9776000977,4.0911002159,4.061,4.099,4.128,4.12,4.151,4.01,4.027,,3.973,,,3.95,4.034,3.664,,,
Luxembourg,1,1,1,1,1,1,1,1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.5,1.6,1.7,1.5,1.7,1.7,1.7,1.8,1.9,1.8,1.9,2,2,2,2.1,2.1,2.2,2.2,2.3,2.4,2.4,2.5,2.5,2.5,2.6,2.7,2.73,2.852,,2.862,,,,
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macedonia, FYR",,,,,,,,,,,0.890200018882752,0.918900012969971,0.953499972820282,1.01230001449585,1.02540004253387,1.12080001831055,1.11389994621277,1.15810000896454,1.23810005187988,1.31079995632172,1.34360003471375,1.46609997749329,1.49479997158051,1.67869997024536,1.6713000535965,1.80850005149841,1.90110003948212,1.95190000534058,2.03290009498596,2.13969993591309,2.1677000523,2.342400074,2.3710000515,2.3429000378,2.3150999546,2.297,2.251,2.249,2.246,2.211,2.201,2.191,,,,,2.5463,,,,,
Madagascar,0.114589147269726,,,,,0.092966057360172,,,,,0.097199998795986,,,,,0.0962999984622,,,,,,0.099399998784065,,,,0.100900001823902,,,,,0.1196999997,,,,,0.272,0.107,,,,,0.087,0.14,,0.29,,,0.161,,,,
Malawi,0.02748654037714,,,,,0.02113207615912,,,,,0.013100000098348,,,,,,,,,,,0.018500000238419,,,0.087399996817112,,,,,0.022600000724196,0.0219000001,,,0.0277999993,,,,,,,,,,0.011,0.02,,,,0.019,,,
Malaysia,0.14287468791008,,,,,0.161229208111763,,,,,0.23199999332428,,,,,0.233500003814697,,,,,0.255299985408783,0.255199998617172,,,,0.314999997615814,0.334600001573563,0.348399996757507,0.366600006818771,0.373800009489059,0.391900003,0.3928000033,0.4113999903,0.4309999943,0.4492000043,0.478,0.496,0.658,,0.683,0.702,,0.71,,,,,,0.941,,,
Maldives,,,,,,,,,,,0.033100001513958,,,,,,,,,,,0.049100000411272,0.065499998629093,,,,,,,0.072400003671646,0.0697999969,,,0.1914000064,,0.4,,,,,0.777,,,,0.92,,,1.595,,,,
Mali,0.014482758939266,,,,,0.019415449351072,,,,,0.022700000554323,,,,,0.02339999936521,,,,,0.039299998432398,0.038499999791384,,,,0.03940000012517,,0.042500000447035,0.054400000721216,,0.0513999984,,,,0.0469999984,0.043,0.063,,,,0.044,,,,0.08,,,0.074,0.049,,,
Malta,0.890577495098114,,,,,,,,,,1.07190001010895,1.02610003948212,,,,1.27629995346069,,,,,,1.17190003395081,1.26610004901886,,1.37950003147125,,,2.03189992904663,2.01500010490417,1.97319996356964,2.2592000961,2.446199894,2.4217998981,2.4525260925,,,,2.465,2.607,2.591,2.654,2.926,,3.183,,,3.88,3.351,,3.073,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.422,,,,0.47,,,,,,,,0.559,,,
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,0.024217961356044,,,,,0.027372263371944,,,,,0.055700000375509,,,,,0.055399999022484,,0.068800002336502,,,,,,,0.082500003278256,0.113300003111362,,,,,0.0627000034,,,0.0634000003,,0.138,,,,,,,,,0.11,,,,,0.13,,
Mauritius,0.215151518583298,,,,,0.254980087280273,,,,,0.239700004458427,,,,,0.235400006175041,,,,,0.520699977874756,0.551500022411346,,,,0.528500020503998,,,,0.857999980449676,0.8108000159,0.8350999951,0.8474000096,0.8440999985,0.8454999924,0.85,,,,,,,,,1.06,,,,,,,
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.1,1.3,1.4,1.5,1.6,1.6,1.4,1.2,1.7,1.98,1.5,1.5,1.5,2.893,,,,,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4508000016,,,,,,0.573,0.598,,,0.55,,0.564,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,2.81559991836548,2.89529991149902,3.00690007209778,3.08920001983643,3.19320011138916,3.29670000076294,3.37030005455017,3.44359993934631,3.52040004730225,3.57340002059936,3.5501999855,3.4841001034,3.5095999241,3.5553998947,3.5643000603,3.513,3.562,3.582,3.631,3.245,3.18,2.694,,2.636,,,2.66,2.668,,,,
Monaco,,,,,,,,,,,2.40000009536743,1.95829999446869,2.20830011367798,2.25,2.375,2.35999989509583,2.41669988632202,2.40000009536743,2.3199999332428,2.35999989509583,2.38459992408752,2.23079991340637,2.18519997596741,,,,,,,2.85710000991821,,,3,,,5.81,,,,,,,,,,,,,,,,
Mongolia,0.910323262214661,,,,,1.37751376628876,,,,,1.72930002212524,,,,,,,,,,,,,,,,,,,,2.5383999348,2.6949000359,2.6180000305,,,,,,2.433,2.54,,,2.63,,,,,,2.763,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.03,1.986,,,,
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,0.106313437223434,,,,,0.082488931715488,,,,,0.076399996876717,,,,,0.076300002634525,,,,,,0.053899999707937,0.064499996602535,,,,,0.217199996113777,0.214300006628036,,,,,0.2143999934,0.3628000021,,,0.46,,,,0.483,,,0.51,,,0.564,,0.62,,
Mozambique,0.043023724108934,,,,,0.056008636951446,,,,,0.052999999374151,,,,,,,,,,0.025499999523163,0.027000000700355,0.026399999856949,,,0.020600000396371,,,,0.027599999681115,0.0121790003,,,,,,,,,,0.024,,,,0.03,,0.027,,,,,
Myanmar,0.064814813435078,,,,,0.084941439330578,,,,,0.114399999380112,,,,,,,,,,,0.20270000398159,,,,0.269899994134903,,,,0.081399999558926,0.0784000009,,,,,0.293,,,,0.297,0.302,,,,0.36,,,,0.457,,,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2313999981,0.2316000015,,,,,0.295,,,,,,,0.3,,,0.374,,,,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,0.013009452261031,,,,,0.020759962499142,,,,,0.018600000068545,,,,,0.018999999389052,,,,,0.033500000834465,,,,0.031399998813868,0.034099999815226,,0.050999999046326,0.050799999386072,0.053700000047684,0.0507000014,0.0621000007,0.0756999999,0.0737000033,,0.04,0.04,0.04,0.04,,,0.052,,,0.21,,,,,,,
Netherlands,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.4,1.4,1.5,1.6,1.7,1.7,1.8,1.8,1.9,2,2,2.1,2.2,2.2,2.3,2.4,2.4,2.4,2.5,2.6,,,,,,,2.9,3.1,3.2,3.3,3.1,3.1,,3.71,,3.921,,,,
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,0.653400003910065,,,,,,,,,,,,,,,,1.982,,,,,,,,,,,,
New Zealand,,1.1,,,,,1.1,,,,,1.1,,1.2,,,1.3,1.4,1.4,1.5,1.6,1.6,1.6,1.7,1.7,1.7,1.8,1.8,1.9,1.9,1.9,1.9,1.9,1.9,2,2,2,2.2,2.2,2.2,2.2,2.2,2.13,2.2,,,,2.384,,,,
Ngorno-Karabakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,0.33981841802597,,,,,0.378109455108643,,,,,0.452699989080429,,,,,0.459600001573563,,,,,0.415600001811981,0.425500005483627,,,0.636900007724762,,,,0.471300005912781,,0.6571000218,,,,,0.82,,0.856,,,,,,0.37,,,,,,,,
Niger,0.010999371297658,,,,,0.015737161040306,,,,,0.01659999974072,,,,,0.016400000080466,,,,,,,,,0.025100000202656,,,,,,0.0184000004,,0.0272000004,,0.0225000009,,0.024,0.035,0.033,,,,0.033,,0.02,,,,0.019,,,
Nigeria,0.017148036509752,,,,,0.042609483003616,,,,,0.050400000065565,,,,,0.049499999731779,,,,,0.112999998033047,,0.149000003933907,,,0.192399993538856,0.186700001358986,,,0.19200000166893,,,0.1850000024,0.1920000017,,,,,,,0.269,,,0.28,,,,,0.395,,,
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.445,,,,,,,,,,,,
Norway,1.2,,1.2,1.1,1.2,1.3,1.3,1.3,1.4,1.4,1.4,1.5,1.5,1.6,1.7,1.7,1.8,1.9,1.9,1.9,2,2,2.1,2.1,2.2,2.2,2.3,2.5,,,,2.6,2.6,2.6,2.7,2.8,2.8,2.5,2.7,2.8,2.9,3,3.1,3.1,,,3.77,3.889,4.076,,,
Oman,0.030465949326754,,,,,0.038034863770008,,,,,0.107900001108646,,,,,0.107400000095367,,,,,0.466800004243851,,0.549099981784821,,,0.523299992084503,,0.833500027656555,,0.883099973201752,0.6108999848,,,0.8841999769,,,,1.3,1.33,,,,1.257,,1.319,1.67,,1.84,1.901,,,
Pakistan,0.185295850038528,,,,,,,,,,0.23199999332428,,,,,0.232600003480911,,,,,0.285199999809265,0.343699991703033,0.342299997806549,,,,0.35139998793602,,,,0.461800009,0.4796999991,0.503099978,0.5181000233,0.5953999758,,,0.57,,,,0.662,,,0.739,0.8,,0.777,,0.813,,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.111,,1.58,,,,,,1.3,,,,,
Panama,0.356127887964249,,,,,0.478127390146256,,,,,0.613499999046326,,,,,0.596599996089935,,,,,,0.992999970912933,,,1.02079999446869,1.00600004196167,,,1.79330003261566,,1.6399999857,,,1.779399991,,1.668,1.17,,,,1.5,,,,,,,,,,,
Papua New Guinea,,,,,,0.079143390059471,,,,,0.085900001227856,,,0.056099999696016,,0.085400000214577,,,,,0.062199998646975,0.062199998646975,,,,0.162200003862381,,,,,0.0727000013,,,,,,,,0.073,,0.05,,,,,,,,0.053,,,
Paraguay,0.533659040927887,,,,,0.532916843891144,,,,,0.43529999256134,,,,,0.438899993896484,,,,0.563199996948242,,0.578599989414215,,,0.700600028038025,0.675000011920929,,,0.639699995517731,,0.6499999762,0.8126999736,,,0.280099988,0.73,,1.098,,,1.17,,1.11,,,,,,,,,
Peru,0.509616374969482,,,,,0.60451728105545,,,,,0.520699977874756,,,,,0.526300013065338,,,,0.691799998283386,0.715799987316132,0.76010000705719,0.846300005912781,0.901700019836426,0.90750002861023,0.928600013256073,0.984099984169006,0.983399987220764,0.965200006961822,1.03480005264282,1.0644999743,,1.0299999714,,,0.98,,0.932,,1.17,,,,,,,,,,0.92,,
Philippines,0.145961925387382,,,,,,,,,,0.110799998044968,,,,,0.112700000405312,,,,,0.128199994564056,0.149900004267693,,,0.153600007295609,0.153600007295609,,,,0.124200001358986,0.1186999977,,0.1084000021,,,,1.23,1.24,,,0.585,,1.15,,1.153,,,,,,,
Pitcairn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,1,1,1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.4,1.4,1.5,1.5,1.5,1.6,1.6,1.6,1.7,1.7,1.7,1.8,1.8,1.8,1.9,1.9,2,2,2.1,2.1,2.1,2.1,2.2,2.2,2.2,2.3,2.3,2.4,2.4,2.3,2.3,2.2,2.3,2.3,2.5,,1.97,2.012,,2.144,,,
Portugal,0.8,0.8,0.9,0.8,0.8,0.9,0.9,0.9,1,0.9,0.9,1,1,1.1,1.2,1.2,1.3,1.5,1.7,1.9,2,2.1,2.2,2.3,2.4,2.5,2.6,2.6,2.7,2.8,2.8,2.8,2.9,2.9,2.9,2.9,3,3,3.1,3.1,3.2,3.2,3.3,3.3,,3.44,,,,3.755,,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,0.513499975204468,,,,,,,,,,,0.737900018692017,,,,,1.67560005187988,,,,1.5,,,,,,1.26,1.26,,,,2.217,,,,2.64,2.757,,,,,
Reunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,1.26924955844879,,,,,1.31581437587738,,,,,1.18499994277954,1.20759999752045,,1.24210000038147,,1.31809997558594,1.33210003376007,1.35520005226135,1.37699997425079,1.41349995136261,1.4757000207901,1.5407999753952,1.63469994068146,1.97239995002747,1.72389996051788,1.76240003108978,1.78349995613098,1.78980004787445,1.80519998073578,1.81149995326996,1.8018000126,1.8158999681,1.8659000397,1.7695000172,1.7647999525,1.768,1.81,1.791,1.836,1.909,1.889,1.887,,1.905,,,1.9166,,,,,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,3.87089991569519,3.93899989128113,4.00419998168945,4.03970003128052,4.08519983291626,4.070400238,4.0455999374,3.8717000484,3.9723000526,3.8350999355,3.859,4.096,4.155,4.209,4.194,4.213,4.172,4,4.252,4,4,4.3089,,,,,
Rwanda,0.007658643182367,,,,,0.013823436573148,,,,,0.01659999974072,,,,,0.016699999570847,,,,,0.031800001859665,0.030899999663234,,0.028699999675155,,0.026900000870228,,,,0.040100000798702,,,,0.0401000008,,,,,,,,,0.019,,0.05,0.024,,,,,,
St. Barthélemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,0.235294118523598,,,,,,,,,,0.311800003051758,,,,,,,,,,0.36039999127388,,,,0.458000004291534,,,,,,0.8999999762,,,,,1.07,,1.186,,,1.0952,,,,,,,,,,,
St. Lucia,0.138824611902237,,,,,,,,,,0.187399998307228,,,,,,,,,,,,,,0.284799993038178,,,,,,0.349999994,0.3932999969,,0.5440000296,,0.56,,0.473,,5.17,,,0.473,,,,,,,,,
St. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,0.100000001490116,,,,,,,,,,0.181799992918968,,,,,,,,,,,,,,0.266299992799759,,,,,,0.4600000083,0.1345999986,,,,0.46,,0.871,,,0.7542,,,,,,,,,,,
St.-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,0.44144144654274,,,,,,,,,,0.350100010633469,,,,,,,,,,0.361299991607666,0.404300004243851,,,,,0.279500007629395,,,0.207399994134903,,,0.3646999896,,,,0.344,,0.33,0.702,,,,0.28,,0.27,,,,,,
San Marino,,,,,,,,,,,,,,,,,,,,,2.05999994277954,2.21799993515015,2.18099999427795,2.24699997901916,2.16599988937378,2.28699994087219,2.3989999294281,2.51900005340576,2.53800010681152,2.42300009727478,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,0.299684554338455,,,,,,,,,,0.232899993658066,,,,,,,,,,0.438199996948242,0.418700009584427,,0.537000000476837,,,,,,0.545799970626831,0.5303999782,,0.3278999925,,,,0.467,,,,,,,,0.49,,,,,,,
Saudi Arabia,0.061104293912649,,,,,0.106405183672905,,,,,0.13400000333786,,,,,,,,,,,0.549600005149841,,,,,1.34560000896454,,,,1.4334000349,,,1.3351000547,,,,1.66,,,,1.397,,,1.37,,,1.622,0.939,,,
Senegal,0.04392845928669,,,,,0.051296193152666,,,,,0.063299998641014,,,,,0.06140000000596,,,,,,0.07880000025034,0.07660000026226,,,,,,,,0.0549000017,,0.0675999969,,0.0956000015,0.075,0.093,0.093,0.095,,,,,,0.06,,,,0.059,,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99,2.035,,,,
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia excluding Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,0.311750590801239,,,,,,,,,,0.223900005221367,,,,,0.218099996447563,,,,,,,,0.406800001859665,,0.445100009441376,,,,,,,,1.0274000168,,,1.324,,,,,,,,1.51,,,,,,,
Sierra Leone,0.047300312668085,,,,,0.059283655136824,,,,,0.056099999696016,,,,,0.053899999707937,,,,,0.057799998670816,0.052700001746416,,,0.074699997901916,,,,,,,,,,,,0.073,,,,,,,,0.03,,,,0.016,,,
Singapore,0.420413136482239,,,,,0.526232123374939,,,,,0.656899988651276,,,,,0.666800022125244,,,,,0.850899994373322,0.876800000667572,,,,0.998199999332428,0.72299998998642,,1.11099994182587,,1.2657999992,1.320299983,1.3478000164,1.3847999573,1.410599947,,,,1.627,1.348,,1.4,,1.5,,,,,,1.833,,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,3.1,3.1,3.1,3.12,,,3,,,,
Slovenia,,,,,,,,,,,,,,,,,,,,,1.77100002765656,,1.8425999879837,,1.8610999584198,1.87919998168945,1.88209998607636,2.00440001487732,2.02360010147095,2.06319999694824,1.9901000261,2.0785999298,2.0906999111,2.030299902,2.1895000935,2.121,2.135,2.147,2.178,2.135,2.17,2.194,2.253,,,2.4,2.424,,2.473,,,
Solomon Islands,0.186440676450729,,,,,,,,,,0.204999998211861,,,,,,,,,,,,,,,,0.135199993848801,,,0.151999995112419,,,0.1569000036,,,0.14,,,,0.127,,,,0.13,,0.186,,,,,,
Somalia,0.023758865892887,,,,,0.027103686705232,,,,,0.036699999123812,,,,,0.037999998778105,,,,,0.046100001782179,0.041000001132488,,,0.071400001645088,,,,,,,,,0.0421999991,,,,0.04,,,,,,,,,0.035,,,,,
Somaliland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,,,,,,0.487948775291443,,,,,,,,,,0.538600027561188,,,0.551199972629547,,,,,,,,,0.612600028514862,,,,,0.6243000031,,,,0.593,,,,,0.692,,,0.77,,,,,,,
South Ossetia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.8,2.9,2.8,2.9,3.2,3.1,2.9,3.3,,,,3.757,,3.705,,
Sri Lanka,0.222570538520813,,,,,0.171891793608665,,,,,0.169400006532669,,,,,0.16949999332428,,,,,0.139400005340576,0.133799999952316,0.13400000333786,,,0.18129999935627,0.137600004673004,,,0.146099999547005,,,,0.1460999995,0.2302999943,,,,,0.365,0.428,,,,0.55,,0.492,,,,,
Sudan,0.029517702758312,,,,,0.041190288960934,,,,,0.068300001323223,,,,,0.068499997258186,,,,,0.109899997711182,0.10080000013113,,,0.096199996769428,,0.089900001883507,,,,,,,,0.1048000008,,0.09,,,,0.158,,,,0.22,,0.3,,0.28,,,
Suriname,0.510344803333282,,,,,,,,,,0.465099990367889,,,,,,,,,,,,,,0.790899991989136,,,,,,0.75,,,0.7620000243,,0.75,0.252,,,,0.45,,,,,,,,,,,
Svalbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,0.10429447889328,,,,,,,,,,0.124099999666214,,,,,,,,,,,,,0.053199999034405,,,,,,,0.1077999994,,,,,,0.151,,,,0.176,,,,0.16,,,,,,,
Sweden,1,1,1,1,1.1,1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.5,1.5,1.6,1.7,1.8,1.9,2,2,2.2,2.3,2.3,2.4,2.6,2.6,2.8,2.8,2.8,2.8,2.9,,2.7,2.7,2.8,2.9,2.9,2.9,3,3,3.1,3.2,3.3,,3.28,,3.583,,,,,
Switzerland,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.5,1.5,1.6,1.6,1.7,1.8,1.9,2,2.1,2.2,2.4,2.5,2.6,2.6,2.6,2.6,2.7,2.8,2.9,3,2.9,3,3,3,3.1,3.1,3.2,3.2,3.3,3.3,3.4,3.5,3.5,3.6,,,,3.97,,,4.07,,
Syria,0.215961411595345,,,,,0.18516431748867,,,,,0.259400010108948,,,,,0.256399989128113,,,,,0.445800006389618,0.462999999523163,,,,,0.806599974632263,0.783399999141693,,0.862999975681305,0.834800005,,,,,,,1.1,1.44,1.3,,1.399,,,,,0.53,,1.5,,,
Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,2.52740001678467,2.55590009689331,2.58229994773865,2.69709992408752,2.67820000648499,2.5508999825,2.4191999435,2.2657001019,2.1767001152,2.2541000843,2.136,2.086,2.023,2.086,2.102,2.13,2.18,,2.033,,,2.0128,,,,,
Tanzania,0.054875060915947,0.039539363235235,,,,0.045327220112085,,,,,0.043699998408556,,,,,0.044300001114607,,,,,,,,,0.038899999111891,0.035399999469519,,0.038800001144409,,,,,,,0.0419000015,0.041,,,,,,,0.02,,,,0.008,,,,,
Thailand,0.128902703523636,,,,,0.139682129025459,,,,,0.120700001716614,,,,,0.119099996984005,,,,,0.146999999880791,0.145500004291534,,0.159500002861023,0.159999996423721,0.169100001454353,0.182199999690056,0.181400001049042,0.209700003266335,0.232800006866455,0.2252999991,0.2266000062,0.2337000072,0.233099997,,0.24,0.365,,,0.301,0.37,,0.305,,0.298,,,,,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,
Togo,0.020997375249863,,,,,0.042761147022247,,,,,0.034800000488758,,,,,0.03489999845624,,,,,0.05519999936223,0.048599999397993,,,0.117399998009205,,0.085299998521805,,,,,0.0878000036,,,0.056400001,0.076,,,,,,0.057,,,0.04,,,,0.053,,,
Tokelau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,0.375,,,,,,,,,,0.255800008773804,,,,,,,,,,0.361699998378754,0.602199971675873,0.599500000476837,,,,,,,0.49210000038147,,0.5083000064,,,,,,0.44,,,0.499,0.343,0.2912,,,,,,,,,
Transnistria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,0.417556345462799,,,,,0.26227679848671,,,,,0.444900006055832,,,,,0.453599989414215,,,,,0.726400017738342,0.672999978065491,,,1.04330003261566,,,,,,0.7200000286,0.7315999866,,0.6577000022,0.7879999876,0.79,,0.79,,,,,,,,,,1.175,,,,
