Ratio of young literate females to males (% ages 15-24),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Jordan,,,,,,,,,,,,,,,,,,,,88.5592380573063,,,,,,,,,,,,,,,,,,,,,,,,99.5817134868532,,100.09348430725,,99.9944684155215,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.057452102756,,,,,,,,,,100.058785292082,,,,,,,,,,100.081941812494,,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.124865922157,,,,,,,,,101.830540159052,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.000191545372,,,
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,,,,,,,,,,,,,,,,84.9643781658832,,,,,93.5318930781368,,,,,92.7241652597787,,,,,,,,,,96.1459656507373,,,,,,,,,,100.09692226622,99.9767461215993,100.11072543822,100.176746772391,,,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.090828455258,,,,,,,,,,100.095241188898,,
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.2709538621582,,,,,83.532750504471,90.4153029610132,,,,88.2857469837646,,,,,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.071042879137,,,,,,,,,,,100.065310268329,,,,,,,,,100.086058373002,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.697426792562,,,,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.93712867407,,,,,,,,,114.418465874914,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,53.6781985243487,,,,,,,,,,82.9268292682927,,,,,,,,,,106.686046511628,,,,,114.928980590718,,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,82.0735105049447,,,,,,,,,,96.8812877263581,,,,,,,,,,99.5991983967936,,,,,99.8579277629327,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.06753015688,,,,,,,,,,,,100.080433466053,,,,,,,,100.014393855788,,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macao, China",,,,,,,,,,,,,,,,,,,,,,99.0148845272589,,,,,,,,,,,,,,,,,,,,100.382251706751,,,,,100.113128892237,,,,,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4174279976814,,,,,,,,99.4948230449378,,,,,,,99.6395873172119,,
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.8545199438509,,,,,,,,97.0451236497331,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.7439197431673,,,,,,,,,,,86.1245722663368,,,,,,,,,,,99.015650021787,,
Malaysia,,,,,,,,,,,,,,,,,,,,,96.6876342473012,,,,,,,,,,,99.2864982216514,,,,,,,,,100.061288369713,,,,,,,,,100.221058535256,,
Maldives,,,,,,,,,,,,,,,,,,103.552714345686,,,,,,,,101.358274272687,,,,,100.242844445629,,,,,100.269555690198,,,,,100.269555690227,,,,,,100.12135210594,,,,,
Mali,,,,,,,,,,,,,,,,,50.5319193782402,,,,,,,,,,,,,,,,,,,,,,52.2792413597538,,,,,48.6238532110092,,,65.0031173525931,,,,,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,101.653839041774,,,,,,,,,,103.646967069777,,,,,,,,,,101.694003636652,,,,,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.9157487584857,,,,,,,,,90.7520418405532,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.113981717522,,,,,,,,,,101.749921338365,,,,,,,,,102.104369078116,,
