Male industry workers (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
El Salvador,20.8999996185303,,,,,21.5,32.7999992370606,,34.5,32.2000007629394,,32.7999992370606,22.7999992370605,,25.7000007629395,27.2000007629395,25.2999992370605,25.7999992370605,24.2999992370605,25.3999996185303,24.2000007629395,24.6000003814697,24.7000007629395,26.5,25.1000003814697,23.7000007629395,25.8999996185303,
Equatorial Guinea,,,,7.09999990463257,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,42.2000007629394,41.9000015258789,42.2999992370606,41.5,38.7000007629394,38.2999992370606,41.4000015258789,41.5,41.7999992370606,41.7999992370606,40.5,42.5,42.4000015258789,40.7999992370606,41.7999992370606,44.2000007629394,44,45.5999984741211,48.2000007629394
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,25.2000007629395,5.19999980926514,26.7999992370605,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,33.2999992370606,,
Finland,43.7000007629394,44.5999984741211,43.5,43.2999992370606,42.9000015258789,42.2999992370606,42.2000007629394,41.4000015258789,41.2000007629394,41.4000015258789,42.7000007629394,40.9000015258789,39.0999984741211,38.2000007629394,37.7999992370606,39.5999984741211,39.5999984741211,39.7000007629394,39.9000015258789,40.2000007629394,40,39.5,39.7999992370606,39.0999984741211,38.2999992370606,38.5999984741211,38.7999992370606,38.2000007629394
France,44,43.5,43,42.2000007629394,41.2999992370606,40.5,40,39.5,39.0999984741211,38.9000015258789,38.7999992370606,38.5,37.7000007629394,36.5999984741211,,,,,,,,,,34.4000015258789,34,33.7999992370606,34.2999992370606,33.5999984741211
Gabon,,,,,,,,,,,,,,18.7000007629395,,,,,,,,,,,,,,
Gambia,,,,,,,,,,,,,,10.6999998092651,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,14.3999996185303,13.6999998092651,15.1999998092651,12.3999996185303,12.6000003814697,12.1000003814697,13.1999998092651,13.6999998092651,13.6999998092651,16.5
Germany,,,,,,,,,,,,51.7999992370606,51.2999992370606,50.5,49.4000015258789,48.0999984741211,47.2999992370606,46.7999992370606,46.4000015258789,46.2000007629394,45.7999992370606,45.2000007629394,44.7999992370606,44,43.5,41.5,41.2999992370606,41.2000007629394
East Germany,,,,,,,,,,,,52.5999984741211,50.7000007629394,51.0999984741211,50.5999984741211,,,,,,,,,,,,,
Ghana,,,,,,,,,,,,,10.3999996185303,,,,,,,13.5,,,,,,,,
Greece,,33.9000015258789,34,34.0999984741211,33.2999992370606,32.9000015258789,33.5999984741211,33.7000007629394,32.7999992370606,33,33.2999992370606,32.5999984741211,32.4000015258789,29.2000007629394,28.7999992370606,28.3999996185303,28.1000003814697,27.7000007629395,29.5,29.1000003814697,28.7999992370606,29.7000007629394,29.7000007629394,29.5,29.8999996185303,30.2000007629394,29.7999992370606,30.3999996185303
Grenada,,,,,,,,,29.8999996185303,,,,,,30.8999996185303,,32.7999992370606,,31.7999992370606,,,,,,,,,
Guatemala,,17.1000003814697,17.1000003814697,,,,,15.8999996185303,,,33.7999992370606,36,,,20.7000007629395,,,,22.5,,20.2000007629395,,18.2000007629395,,,,24.1000003814697,
Guinea,,,,,,,,,,,,,,,9.19999980926514,,,,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,23.7000007629395,,,,,29.6000003814697,,,,,
Haiti,8.19999980926514,8.30000019073486,8.5,8.5,,,,,8.60000038146973,,8.5,,,,,,,,,15.1000003814697,,,,,,,,
Honduras,,,,,,30.3999996185303,29.7999992370606,29.7999992370606,,,14.5,,18,36,21.8999996185303,22.3999996185303,19.1000003814697,19.2999992370605,21.1000003814697,20.6000003814697,,,,,,19.7000007629395,,
"Hong Kong, China",46.9000015258789,45.9000015258789,43.5999984741211,42.5,42.5,42.7999992370606,42.2999992370606,42.4000015258789,41.5999984741211,40.2000007629394,38.9000015258789,38.0999984741211,36.7000007629394,34,32.9000015258789,32.2000007629394,31.5,30.6000003814697,29.2999992370606,27.7999992370605,27.5,26.5,,24.2999992370605,22.2999992370605,22.1000003814697,21.7999992370605,21.3999996185303
Hungary,45.0999984741211,44.4000015258789,43.5,42.9000015258789,42.7000007629394,42.9000015258789,43,43,42.9000015258789,42.7000007629394,42.7999992370606,42.5,,,38.9000015258789,38.7999992370606,38.5999984741211,39.5,42.9000015258789,42.9000015258789,41.7999992370606,42.2999992370606,42.5,42.2999992370606,42.2000007629394,42.5999984741211,42.5,42.0999984741211
Iceland,,,,,,,,,,,,33.2999992370606,33.7999992370606,34.2000007629394,35.5999984741211,32.9000015258789,32.9000015258789,35.5,32.9000015258789,32.9000015258789,33.2999992370606,32.9000015258789,33.7000007629394,30.5,32.5,30.2000007629394,31.5,30.7999992370606
Indonesia,13.1000003814697,,15.1999998092651,,,14.1000003814697,7.5,7.5,7.69999980926514,14.1000003814697,14.6000003814697,15.6000003814697,14.8999996185303,16.5,20.2000007629395,19.7000007629395,19.5,20.7000007629395,17.7999992370605,19.2999992370605,,18.7000007629395,20.3999996185303,18.8999996185303,20.1000003814697,19.7999992370605,19.6000003814697,
Iran,,,,,,,,,,,,,,,,,30.2000007629394,,,,,,,,,30.8999996185303,,32.7000007629394
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,19.7999992370605,,,
Ireland,,,,34.4000015258789,33.2999992370606,32.7999992370606,32.5,31.3999996185303,31.6000003814697,32.9000015258789,33.4000015258789,34.0999984741211,33.0999984741211,33.5999984741211,34.7999992370606,34.7999992370606,35.2000007629394,34.7000007629394,37.2000007629394,37.2999992370606,37.7999992370606,39.2000007629394,38.0999984741211,38.7000007629394,38.2000007629394,39.5,39.2999992370606,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,25,,,,,24,
Israel,39.2999992370606,39.0999984741211,38.5,38.7999992370606,38.4000015258789,36.9000015258789,37,37.2999992370606,36.2999992370606,35.5999984741211,36.2999992370606,37.7999992370606,38,38.5,38,38.9000015258789,38.7999992370606,37.9000015258789,36.2000007629394,34.7999992370606,33.9000015258789,32.9000015258789,32.0999984741211,32.5,31.6000003814697,31.1000003814697,31.2999992370606,31.6000003814697
Italy,41.7000007629394,41.2999992370606,40.7999992370606,40,38.2999992370606,37.5,37,36.7000007629394,36.7000007629394,36.5999984741211,36.7999992370606,37.2999992370606,37.2000007629394,40.7000007629394,40.5,40.2000007629394,39.7999992370606,39.4000015258789,39.5999984741211,39.7000007629394,39.2000007629394,39.2000007629394,39.5,39.7999992370606,39.5999984741211,40.0999984741211,39.5,39.0999984741211
Jamaica,,,,,,,,,,,,,24.6000003814697,24.8999996185303,24.3999996185303,26,26.6000003814697,24.8999996185303,25.2999992370605,25.2000007629395,24.3999996185303,24.7000007629395,25,25.3999996185303,27.6000003814697,26.8999996185303,27.3999996185303,
Japan,39.7000007629394,39.5,39.0999984741211,38.9000015258789,38.9000015258789,39.0999984741211,38.7000007629394,38.0999984741211,38.5999984741211,38.5999984741211,38.5999984741211,39.0999984741211,39.5999984741211,39.5,39.7000007629394,39.4000015258789,39.2000007629394,39.2000007629394,38.5,38.2000007629394,38,37.4000015258789,36.7000007629394,36.2999992370606,35.5,35.2999992370606,35.4000015258789,35.2999992370606
Jordan,,,,22.7999992370605,,,20,18.1000003814697,,,,,,,,,,,,,23.3999996185303,23.2000007629395,23.2000007629395,23,,,,
