Male above 60 (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Bolivia,5.24759793052476,5.09042196918955,5.18072289156627,5.18918918918919,5.24290524290524,5.20477815699659,5.14956455887921,5.26137135098439,5.54041780199818,5.73042776432607,5.89656839052682,6.09702797202797,6.5347721822542,7.01624815361891,7.74393391843056,8.56402784523231,9.62837837837838,11.0017626321974,12.4256163219042,14.0792733278282,16.0565275908479
Bosnia and Herzegovina,5.13618677042801,4.82517482517482,5.22243713733075,5.98802395209581,7.09788208357184,7.17001629549158,6.7047817047817,6.97788697788698,8.72829657437823,11.5717821782178,15.1208544125913,16.0527762506872,17.3576561636263,19.8439241917503,22.4674589700057,24.8701673398731,26.6391021854696,28.109756097561,29.943145925458,32.3878627968338,35.2577319587629
Botswana,5.05050505050505,4.44444444444444,4.36507936507936,4.24028268551237,3.6144578313253,3.54430379746835,3.32640332640333,3.34507042253521,3.31325301204819,3.52941176470588,3.98126463700234,4.58515283842795,4.95951417004048,5.8435438265787,6.4,6.64983164983165,6.76328502415459,7.37005430566331,8.78378378378378,10.7064821558631,12.68603827073
Brazil,4.3921568627451,4.58173690932312,4.86183883955656,5.01651576721086,5.33366720921497,5.69824327329331,5.9168671918779,5.93822826632054,6.32654159825586,6.76186790827726,7.42022790368107,8.06711701895838,9.18011996216098,10.7536700147503,12.6566966158409,14.9330045683048,17.010683539052,19.0532776914872,21.4938953189661,24.2645405486434,26.5164399092971
Brunei,4.16666666666667,6.06060606060606,4.8780487804878,5.45454545454545,4.54545454545454,5.88235294117647,4.80769230769231,4.23728813559322,3.7037037037037,3.92156862745098,4.04624277456647,5.20833333333333,6.25,9.1304347826087,10.9756097560976,12.3076923076923,14.0287769784173,15.5172413793103,16.7763157894737,18.0952380952381,19.3251533742331
Bulgaria,9.29911699779249,9.60149772666488,10.3413143148242,12,13.737040527804,15.1389846083161,14.4927536231884,16.1536733318355,17.6213480561307,19.3942354665364,19.7796566743531,20.0905941913136,21.2313638873551,22.3237225235512,23.3866193013618,24.5457345241762,25.9807073954984,27.9609690444145,30.5203938115331,32.5018341892883,34.2297349212447
Burkina Faso,4.20560747663551,4.82514386896857,5.12820512820513,5.20431765612953,5.07992895204263,4.9739921976593,4.74366529169122,4.35011863959926,3.84615384615385,3.41931613677265,3.08171745152355,2.94804436660829,2.72794298353404,2.62715426649853,2.84593633129618,3.21053054017176,3.72245596520003,4.28863607311773,4.94391118306927,5.65748427007878,6.39929656587368
Burundi,4.8428207306712,4.50660450660451,4.46808510638298,4.59546925566343,4.67179183914843,4.82132728304027,4.62543991955757,4.26880811496196,3.90032502708559,3.59760159893404,3.56574339382362,3.52581898945031,3.68509212730318,4.21257290991575,4.802204290494,5.34642662302237,5.88335317122938,6.58231902626521,7.7493567428485,9.58943439563595,11.5790917821375
Cambodia,4.14173953060285,4.05126085159157,4.1191614564178,4.13411458333333,4.17386298215314,4.19718309859155,4.8,4.00943396226415,3.59696641386782,3.34368719166819,3.39805825242718,3.96801895173231,4.59723352318958,5.3030303030303,6.03359616043881,6.85951292140806,7.78167250876315,8.65842055185538,9.33466642428649,12.0823519148565,14.8254343059538
Cameroon,5.207857469164,5.19534497090607,5.26910048927362,5.33915379449295,5.36296296296296,5.321622319814,5.24444444444444,5.17538815411156,5.09868421052632,5.03576537911302,5.04807692307692,5.03653738055087,5.01002004008016,5.0887147617761,5.22045566300607,5.46262808921037,5.86512309087105,6.50876054510058,7.41325879564927,8.61644228014895,9.91677092966328
