"GNI per capita, Atlas method (current US$)",1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Gambia,,,,,,,,110,110,110,120,120,150,190,240,240,250,280,330,400,410,350,320,300,270,230,300,310,310,320,410,550,750,730,740,750,730,710,690,670,600,480,420,430,410,420,460,530,570,580,510,510
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,540,510,540,650,790,820,780,750,720,770,910,1100,1360,1680,2090,2460,2540,2680,2850,3280
Germany,,,,,,,,,,,,3490,4530,5610,6510,6910,7430,8590,10710,12600,12150,10770,9710,9570,9530,10890,13790,18030,19140,20630,22170,24990,25150,26580,28550,29910,29210,27060,25970,25300,23870,22850,25400,30750,34780,37210,39440,42470,42540,43280,44230,44010
Ghana,,190,200,210,230,250,250,230,230,250,270,260,280,320,310,290,310,360,390,430,420,360,320,340,350,400,420,440,410,400,420,440,420,380,380,380,400,400,400,340,300,280,320,390,470,610,820,1170,1200,1260,1420,1550
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,630,710,790,890,980,1070,1180,1330,1470,1650,1900,2370,2710,3320,3580,3750,4380,5380,6190,6070,5630,5030,4900,4780,5110,5850,7240,7920,8590,9450,10710,10620,11020,11750,12710,13300,13010,12660,12460,12320,12450,14790,18470,21400,23250,24980,27080,28040,26410,24490,23260
Greenland,,,,,,,,,,,,1890,2440,3130,3800,4330,5140,6160,7550,9270,9100,8020,7270,6740,7060,8540,11470,15170,16970,15690,16510,17440,16600,17830,19470,20780,20540,20440,19740,20290,19390,18760,21060,25660,29690,30830,34060,30010,26020,26331.814311672,27004.9614570778,
Grenada,,,,,,,,,,,,,,,,,,,890,,,,,,,1370,1700,1920,2120,2250,2430,2510,2480,2590,2660,2790,2870,2990,3340,3910,4180,4760,5430,5460,6800,6520,6940,7370,6810,7050,7190,7110
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,260,280,280,290,290,300,320,330,350,370,390,450,530,610,680,780,910,1060,1190,1230,1150,1100,1120,1160,1070,1020,990,990,950,990,1060,1170,1260,1400,1490,1590,1670,1710,1730,1670,1680,1750,1920,2070,2220,2440,2650,2670,2750,2880,3120
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,430,420,430,430,460,470,470,470,470,470,440,420,380,340,330,320,360,340,300,310,320,350,360,400,460
Guinea-Bissau,,,,,,,,,,,,130,130,150,160,150,140,160,170,140,180,190,180,180,190,150,170,180,200,210,230,230,220,210,210,230,230,150,150,160,160,150,180,250,400,400,440,510,540,540,570,550
Guyana,,290,260,290,320,330,340,330,350,350,370,390,420,540,680,660,610,620,670,760,740,590,520,480,520,540,470,480,370,390,390,430,500,610,730,860,910,880,890,880,860,880,900,920,1070,1300,1600,2240,2540,2780,3050,3410
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370,410,480,550,620,680,650,700,760
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,180,180,190,210,220,230,250,250,260,270,290,320,360,380,420,470,550,630,690,740,700,680,720,780,830,930,960,870,690,620,610,650,630,640,660,720,750,790,930,1010,1120,1200,1300,1400,1470,1620,1760,1770,1850,1980,2070
"Hong Kong, China",,,,,,,710,740,840,930,1060,1300,1750,2170,2450,2900,3340,3930,4700,5730,6360,6290,5890,6170,6090,7230,9070,10770,11550,12660,14320,16560,19490,21770,23500,24020,25910,24800,25800,26930,26350,25270,26340,28120,28890,30290,32070,33950,32350,33630,35710,36560
Hungary,,,,,,,,,,540,590,670,830,1000,1150,1200,1330,1520,1770,2070,2200,2170,2010,1930,1860,2040,2400,2710,2770,2880,2740,3140,3630,4000,4220,4320,4370,4380,4460,4580,4720,5210,6550,8540,10220,11040,11510,12890,12980,12860,12860,12390
Iceland,,1540,1740,2050,2440,2980,3110,2790,2490,2520,2960,3640,4830,6510,7290,7760,8770,10570,12830,15030,15810,14700,12240,11580,11610,13870,18600,22850,23560,24150,24590,25800,25400,24980,24810,26590,27690,28400,29590,30800,29660,29520,32110,40090,49620,52400,58780,46860,39230,33900,35260,38710
India,,,,,,,,,,,,130,150,170,190,180,190,210,230,270,300,290,290,290,300,320,360,400,400,390,350,350,330,350,380,410,420,420,450,450,460,470,530,630,740,820,960,1050,1170,1290,1450,1530
Indonesia,,,,,,,,,80,90,90,100,120,170,240,290,330,390,430,510,580,600,580,560,530,530,520,540,560,620,620,680,810,890,1000,1110,1110,670,580,570,680,730,910,1090,1230,1390,1610,1950,2160,2500,2930,3420
Iran,,,,,,,280,310,340,370,420,530,690,1040,1470,1920,1960,1930,2200,2200,2340,2700,3040,3090,3300,3410,3260,2780,2390,2380,,,,,1230,1530,1720,1680,1610,1620,1660,1690,1910,2170,2530,2920,3500,3940,4290,4473.50084721379,4559.1853734848,4290
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1470,1980,3210,3870,4380,4750,5870
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23770,28780,35650,42400,46240,49060,50260,45400,42380,38960,38970
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17060,18820,21350,21920,22330,23340,27060,33320,38440,43380,48550,,,,,
Israel,,1420,1390,1320,1440,1470,1460,1620,1700,1750,1920,2270,2570,3390,3910,3840,3740,3910,4510,5350,6070,6010,5990,5980,5980,6450,7610,9230,9770,10860,11490,12590,13070,13830,14070,16130,17200,16850,16490,17830,18030,17260,17370,18790,20180,21000,22460,24610,25510,27270,28930,29185.7597346891
Italy,,960,1060,1160,1280,1410,1550,1700,1850,2020,2190,2510,3120,3770,4150,4330,4530,5050,6470,8090,8360,7880,7320,7450,7710,9000,11660,15310,16590,17900,19540,22020,20710,20010,19830,20930,21430,21310,21100,21010,20310,19910,22310,26980,30880,32560,34030,35760,35570,35520,35350,33840
