Net barter terms of trade (2000 = 100),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Chile,,,,,,,,,,,,,,,,,,,,,243.3333333333,203.2258064516,196.2962962963,212.2448979592,202.0408163265,185.7142857143,175,155.223880597,142.3076923077,125.2525252525,113.7254901961,113,110.2040816327,101.0416666667,114.5833333333,135.58,109.52,113,100,100,100,93.29,97.17,102.78,124.87,139.76,183.21,189.46,164.78,166.74
China,,,,,,,,,,,,,,,,,,,,,117.4418604651,120.2380952381,117.2839506173,100,96.5909090909,92.5531914894,85.1063829787,94.5054945055,90.7216494845,102.1739130435,102.1052631579,101.0309278351,103.0927835052,101.0416666667,102.0408163265,101.94,105.94,110.2,110.64,104.12,100,102.19,102.23,98.02,92.39,86.19,82.6,80.46,73.87,79.73
Colombia,,,,,,,,,,,,,,,,,,,,,112,98.7179487179,101.2345679012,102.6315789474,112.5,103.9473684211,130.5555555556,95,89.7727272727,88.1720430108,81.25,85.7142857143,75.7894736842,78.4946236559,90.8163265306,86.79,89.81,89.91,82.52,88.89,100,94.25,92.49,95.19,102.3,110.99,115.22,124.41,138.11,114.35
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.16,85.26,87.97,90.24,96.64,100,62.63,59.23,67.14,57.16,53.16,56.51,62.77,60.34,65.69
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,84.1232227488,82.7493261456,81.0126582278,82.9508196721,77.8280542986,84.7826086957,84.7715736041,84.6153846154,96.6292134831,114.8148148148,86.2068965517,80.8888888889,97.0711297071,90,66.4987405542,79.76,53.76,67.3,65.56,103.74,100,101.64,98.7,97.15,96.65,112.42,126.4,124.68,145.23,112.02
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,96.8421052632,100,140.625,130,138.5964912281,111.7647058824,66.6666666667,73.8095238095,60.7142857143,76.25,63.2478632479,63.4782608696,61.0169491525,62.3376623377,53.5714285714,52.03,64.17,63.64,39.2,64.42,100,91.34,90.8,99.88,118.38,156.01,177.21,176.67,212.86,147.47
Costa Rica,,,,,,,,,,,,,,,,,,,,,81.3725490196,73.4513274336,74.0740740741,73.5849056604,82,84,112.5,92.5531914894,91.8367346939,85.4368932039,75,79.6296296296,84.1121495327,87.8504672897,98.0198019802,104.59,99.08,105.66,108.91,107.14,100,98.37,96.88,95.46,91.86,88.33,85.75,84.91,81.71,87.16
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,202.8169014085,187.0967741935,179.3103448276,190.5660377358,228.5714285714,252.0833333333,259.6153846154,213.3333333333,195.1612903226,165.0793650794,143.0555555556,156.0606060606,162.5,77.4193548387,122.8915662651,122,118.52,117.35,116.67,118.18,100,108.32,140.33,138.73,129.96,129.89,131.5,137.05,137.98,140.39
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,114.04,105.06,120.98,133.34,129.85,164,172.56,111.13,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,93.2412,90.85039,91.7956,92.54013,91.94617,93.24119,99.38897,102.6731,100.6722,99.84152,101.6944,102.997,103.9586,104.2107,104.0832,102.1415,102.0993,100.543,99.30115,99.83112,100,100.7303,100.7352,102.1082,102.5917,103.8055,103.1783,99.91676,102.3309,102.869
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,101.23,99.9,96.93,98.73,87.42,86.58,83.7,84.96,76.99
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,96.63,100.27,98.88,98.76,94.88,93.23,91.24,86.16,91.88
Dominican Rep.,,,,,,,,,,,,,,,,,,,,,175.3623188406,181.0810810811,153.3333333333,160,140.7407407407,145.4545454545,144.3037974684,136.8421052632,158.9743589744,150,96.0396039604,104.347826087,93.5483870968,88.4615384615,94.3396226415,98.15,96.33,100,101.01,102.06,100,100.95,101.52,97.93,96.72,95.8,94.88,98.05,93.63,96.79
Ecuador,,,,,,,,,,,,,,,,,,,,,212.987012987,180.6818181818,198.7179487179,208.4507042254,180,168.75,109.6385542169,115.1162790698,103.7974683544,115,114.2857142857,97.7777777778,94.1860465116,85.7142857143,87.7551020408,80.56,88.68,90.48,81,85.57,100,84.59,86.81,89.77,91.48,102.39,109.9,112.99,123.98,109.73
Egypt,,,,,,,,,,,,,,,,,,,,,214,220,200,200,190.5660377358,188.4615384615,163.2653061224,117.2413793103,96,94.8051948052,101.2195121951,125,125,123.4567901235,120,116.28,111.11,107.14,98.02,96.88,100,94.99,92.74,98.1,105.3,123.39,136.96,131.02,144.88,128.06
El Salvador,,,,,,,,,,,,,,,,,,,,,93.9759036145,74.7368421053,66.9902912621,62.2222222222,59,64.7727272727,128,88.4615384615,88.4615384615,83.5294117647,84.2105263158,84.2857142857,74.3902439024,77.1084337349,97.6470588235,121.11,113.98,113.68,111.22,105.21,100,102.45,101.63,97.69,96.76,96.76,95.46,94.56,91.91,99.13
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,37.7551020408,43.9189189189,39.6907216495,40.7407407407,48.322147651,37.6623376623,34.0425531915,37.7593360996,31.6037735849,36.974789916,36.76,37.35,36.9,37.14,79,100,89.51,90.87,101.68,120.27,155.34,176.42,180.2,226.15,150.78
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.71,98.29,100.91,95.28,96.12,100,103.34,91.08,91.34,92.12,92.21,91.16,82.3,76.58,73.33
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.25,113.4020618557,150.96,114.81,126.92,150,125,100,91.49,93.5,96.76,102.68,107.97,107.57,111.49,111.51,121.07
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,135.1555811528,105.4462902238,102.2283277035,117.2866117651,109.6894697812,100,145.3976241343,162.2568130475,141.5936289272,,,,,,,,,,,,100,101.58,98.79,96.42,92.45,91.75,99.2,92.06,90.15,109.83
Finland,,,,,,,,,,,,,,,,,,,,,90.9253,93.03344,88.82702,87.83173,90.21058,89.79709,100.9725,104.4115,110.1472,112.1069,110.6578,107.999,104.8467,101.5058,103.2853,110.6269,109.8732,106.4241,110.2596,104.7668,100,98.39464,95.90225,92.31263,89.62382,85.64706,82.87815,82.94756,81.0454,83.09895
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.2431,109.0656,109.3147,108.3902,107.4918,106.4339,105.1481,103.2886,104.4045,104.9123,100,101.7936,103.5713,103.568,104.1188,103.9789,102.2962,101.3652,99.78323,
