Female 10-14 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Bahamas,9.52380952380952,10.6382978723404,10.7142857142857,11.1111111111111,11.7647058823529,12.6315789473684,12.2641509433962,11.7647058823529,10.077519379845,9.79020979020979,9.03225806451613,9.09090909090909,8.47457627118644,7.4468085106383,7.03517587939698,6.69856459330144,6.51162790697674,6.2780269058296,5.65217391304348,5.50847457627119,5.43933054393305
Bahrain,11.1111111111111,11.2903225806452,12.3287671232877,11.340206185567,13.7254901960784,13.8211382113821,12.4137931034483,10.7142857142857,10.7843137254902,10.7438016528926,9.71223021582734,10.6451612903226,9.82658959537572,9.23482849604222,8.23244552058112,7.62331838565022,6.90376569037657,6.49606299212598,6.36704119850187,6.07142857142857,5.84192439862543
Bangladesh,11.2773017681145,11.6986967086371,11.3394783290841,12.341323371727,12.3454177123333,12.4278063635409,12.5210850239344,12.8135755067937,13.1364454324124,12.9647555421553,12.006275909719,11.022091778051,10.4144370225486,9.65728853052797,8.52485418298947,8.08169596690796,7.72058823529412,7.29327268374432,6.79745502985589,6.31584703437716,6.00633473606762
Barbados,9.64912280701754,9.16666666666667,10.7692307692308,11.1111111111111,11.8110236220472,11.71875,10,9.9236641221374,7.46268656716418,7.5187969924812,7.75193798449612,6.81818181818182,6.01503759398496,5.3030303030303,5.22388059701493,5.22388059701493,5.26315789473684,4.58015267175572,4.65116279069767,4.7244094488189,4.91803278688525
Belarus,9.71547536433032,6.2962962962963,6.67853962600178,8.05555555555556,9.59688970738694,8.69392616117507,6.97584541062802,6.68915120854413,6.7327095945698,7.34214390602056,7.33258511036289,5.64885496183206,4.46306762814266,4.40765855604308,4.7239263803681,4.71281296023564,4.47437011294526,4.18730301665916,3.91009131350972,3.88848129126926,4.10151243270956
Belgium,6.47005029721079,5.94894561598224,7.39708404802744,7.25270157938487,7.61090761090761,7.83843231353729,7.08316752884998,6.42984719190316,5.84415584415584,5.72148952676493,5.64733000384172,5.73308270676692,5.40590067802822,5.22522522522522,5.39293950682987,5.32679165936569,5.33888022187554,5.26134800550206,5.15974713821972,5.08849557522124,5.11122431652233
Belize,11.7647058823529,10.2564102564103,10.6382978723404,12.962962962963,14.2857142857143,13.4328358208955,14.2857142857143,13.9240506329114,11.9565217391304,12.962962962963,12.0967741935484,12.0567375886525,11.5384615384615,10.4046242774566,9.62566844919786,9.04522613065326,8.41121495327103,8.03571428571429,7.17299578059072,6.5843621399177,6.32411067193676
Benin,9.7716894977169,10.8753315649867,10.5921601334445,10.0537221795856,10.5628908964559,11.2282878411911,11.6621253405995,11.8009478672986,12.1212121212121,12.1001390820584,12.1929298981426,12.2668029644774,12.1325142606406,12.0296465222349,12.1468926553672,11.9593998234775,11.4368344945445,10.8329378262933,10.2569639386742,9.75319655069878,9.28204186558942
Bhutan,12.5,11.4583333333333,11.1111111111111,11.0236220472441,10.958904109589,11.1111111111111,11.219512195122,11.6883116883117,12.2676579925651,12.8,13.6690647482014,12.6623376623377,10.4790419161677,9.66850828729282,8.71794871794872,8.69565217391304,8.29493087557604,7.52212389380531,6.77966101694915,6.37860082304527,6.187624750499
Bolivia,11.4705882352941,11.1037673496365,11.7021276595745,11.8733509234828,11.9549929676512,11.8377483443709,11.9749447310243,12.2969837587007,11.7157300029735,11.4680116803823,11.5311004784689,11.7212936835251,11.0779634049324,10.7044325915027,10.0549073438572,9.4360962998869,8.81226053639847,8.22701275846898,7.66949152542373,7.13894217593861,6.65864420377056
Bosnia and Herzegovina,12.4002900652647,8.96506262359921,10.5846153846154,11.3294797687861,11.3861386138614,10.6036745406824,9.4159113796576,8.08225729316117,7.88990825688073,7.64294049008168,7.47907949790795,5.60081466395112,5.43311122501281,4.49612403100775,4.29544264012572,4.26894343649947,4.21455938697318,4.06779661016949,3.87551379917792,3.73545621555419,3.73470701867354
Botswana,12.2065727699531,11.25,10.2941176470588,12.8205128205128,13.0555555555556,12.5890736342043,12.375249500998,12.5211505922166,13.0813953488372,13.154533844189,12.4280782508631,11.7009750812568,10.7505070993915,9.94263862332696,10.200364298725,10.0087032201915,9.73154362416107,9.26829268292683,8.68192580899763,8.34609494640122,8.0920564216778
Brazil,11.7839547025517,10.9822927555513,11.6163692678782,12.1509040992142,12.4006656958602,12.7164642026363,11.6083296411165,10.9552164562333,11.0700714798182,11.0184969539476,9.77237895214849,8.65466191566981,8.56555435735666,8.16975099312082,6.9624470870916,6.16383771949912,5.73293127503488,5.33136468348914,5.02241518042673,4.86322725385764,4.70662370973898
