Aid received per person (current US$),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Argentina,1.38566666978579,1.39210915509756,1.86877999702967,1.7473202901883,0.783921755686096,-2.78965949470028,-0.428343862606032,0.945306418525984,1.74965586950248,1.07888517964476,0.389436708571002,1.13676879275523,0.940626653382265,1.81030831421957,1.40016310808768,0.901500920424387,1.15390207632921,1.03794997148054,1.03138845433145,1.5329205514126,0.610713290372485,1.53212914378174,1.02892790815232,1.60622260825898,1.62844209062265,1.28548762874643,2.82561569601282,3.17654744119078,4.80946058086055,6.54608592062434,5.16934364163073,8.26988220282853,7.86761535613735,6.65763542412925,4.24806811969849,4.09006873013924,3.70616887813973,2.85622855361129,2.18792813832222,2.09517909306823,1.4213103788503,3.90219150034277,2.1647838110711,2.80622340564525,2.3823199414472,2.48648089119529,2.94896582474564,2.57416760071475,3.28798459436448,3.16330970107435,2.99710167994082
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.774476224861199,6.507359548282,32.4771175178534,58.1272374747002,67.5080115153608,92.1005552954824,52.9947978139845,62.4617855772456,67.6821250336502,70.1830695901106,69.0290657281436,97.8711018086177,82.9261630410703,82.7430964157392,55.5585635009527,70.2022643495891,113.870978969683,98.2856281748453,170.493867219193,110.870639493518
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,191.020149135332,645.38271210791,338.185346918971,315.872210122976,398.682528758234,482.404621301109,386.281365056774,439.035819933808,342.551637661389,237.87811677653,321.203142312912,235.105755456307,294.38357933796,129.683163071395,-83.4445173107799,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041259799202311,1.00650230289894,3.1847898599066,19.6182703698828,15.554977228367,12.412727038516,23.486109782158,15.1965120687476,21.2232626601109,17.2849936634943,28.3262649176447,42.744999663483,36.5188666642377,21.1593330524288,25.8000321740737,24.3253914468063,26.2489366413014,26.8274870484059,25.9040689964495,17.5728038247327
Bahamas,-0.365206752672857,,,0.157059839798963,0.44873568720131,0.499775101204458,0.341579051639921,4.52094376339084,0.315171074859434,0.426145875821092,0.472347033365414,1.43781452192667,6.85975181193034,2.64477381673921,2.80942887552609,3.4944670937682,3.05881743007492,2.38469734638997,5.80720092915215,5.97116364872081,9.54415954415954,9.00942739051688,8.49274256544408,3.95409693313133,46.5421772169518,2.98440011425989,23.4320408052253,2.7545264681215,17.1376142339204,15.575890746252,12.2985382308846,10.5809963771588,10.1595042161942,3.80493607337986,2.57782489670547,15.2265757361299,,,,,,,,,,,,,,,
Bahrain,0.247180596323189,5.62271577171774,7.83544406653743,3.61234972060733,3.18974003618705,4.72227141254944,50.9085952163746,0.256264382838487,1.00091082885426,0.681958780462855,4.48371232501723,21.4091795273582,12.4422247048257,59.7145109616385,150.34924586031,97.5260220244381,578.079328243193,159.040187823942,260.94712992345,396.768138893777,576.96874205561,529.894590860958,406.477585106244,647.776052607544,521.751159131386,177.632162790307,230.96473209623,19.8143192077859,-5.64710158724664,-3.6820468833356,278.966343471477,186.901131866939,154.147809488624,209.312460318355,175.655430024811,178.636268510685,230.156162486911,253.429254653567,326.747235524028,98.729188770911,94.6892241061873,110.208401425659,95.9085457971872,203.611449338962,86.6678575681791,,,,,,
Bangladesh,,,,,,,,,,,,0.22638401992934,3.26838966911338,6.11416617937235,7.63848061235491,15.1755043851869,6.90302455842689,10.6047802576456,13.0676719014568,14.8406866974878,15.8354001491583,13.2564197006077,15.7169638790256,11.9292517950132,13.2176410867855,12.2235156024151,15.0692589553365,18.4092483892677,16.1415402692734,17.5298157283776,19.882567103569,17.4469873450976,16.4969911015644,12.2797669786248,15.1477917658169,10.9096370122871,10.2400024708018,8.2724251549617,9.31753827667656,9.58559544165134,9.0502308104399,7.91044215956602,6.74963960462254,10.2178688828743,10.1984802349327,9.3809623276173,8.57850345387712,10.5262825192599,14.2332567812519,8.33720187108569,9.51597095612276
Barbados,,,,,,,6.78218996914104,2.4953159958214,3.58689138892874,5.4700682075428,9.72367169196079,19.0542901338804,19.5985000725103,19.5102675870244,15.7916484271764,21.4536365338739,30.6259456521298,23.5505487035059,45.720932674715,44.2561698663044,55.7082911300825,68.5178362619936,50.4766575362128,73.8045449314927,32.1824011625152,28.6535203738714,14.4013274267019,23.928106561913,11.256846297468,7.77298250498863,10.1348357039087,8.1428533018886,0.114882666503278,13.7464917807435,-3.92176273716194,-4.4036808698029,16.0083561348335,16.2964751327861,58.8852414633321,-7.98476521791286,0.897159369147437,-4.28797279560912,12.31339258146,73.7966286670948,106.724653357881,-6.69123817480767,-7.6735211870347,64.4655361573975,26.1591593798222,43.8496791934006,59.2687986360859
