Total 20-39 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Bahamas,29.1139240506329,28.4090909090909,27.7777777777778,28.169014084507,28.0701754385965,28.5714285714286,29.5238095238095,32.618025751073,34.7826086956522,35.2313167259786,33.8815789473684,33.0246913580247,31.8840579710145,31.0626702997275,30.7291666666667,29.1044776119403,28.3653846153846,26.6821345707657,25.4545454545455,24.9443207126949,24.3421052631579
Bahrain,30.4347826086956,29.6296296296296,30.5732484076433,25.6544502617801,26.7281105990783,28.3636363636364,38.6167146974063,43.5835351089588,43.9024390243902,42.0415224913495,40.6441717791411,40.521978021978,40.1730531520396,37.7979568671964,35.6466876971609,34.0842311459354,32.258064516129,30.506993006993,29.0484140233723,27.7195809830782,27.0376175548589
Bangladesh,29.3084069273999,28.5681846331696,27.9618752078023,26.9037615702751,25.9562288588858,26.2258374658435,26.499253277283,27.1664514375042,28.4246575342466,29.9041269147292,31.8760789105401,33.7837308325279,35.0455836470567,35.2492323848006,34.5639157311546,33.2594917235862,31.539502497355,30.0903630240412,28.7612961948193,27.5437294217834,26.7188026697229
Barbados,29.8578199052133,26.5486725663717,23.7068965517241,21.1864406779661,22.2689075630252,26.0162601626016,29.8387096774194,34.5098039215686,36.6795366795367,36.2934362934363,32.8063241106719,30.952380952381,29.6875,27.906976744186,26.8199233716475,24.8091603053435,22.6923076923077,21.259842519685,20.6349206349206,20.8163265306122,21.0084033613445
Belarus,29.3130165289256,30.4241958221197,33.0524001465738,30.6610898106193,28.0278730228957,27.5464445868033,28.2327363081064,30.69,30.458089668616,29.9503262881075,29.1496767777225,29.7280782157042,31.5679733110926,31.0389055151774,28.8740122914838,25.7514124293785,22.9242088053252,22.060782177019,22.3901271880116,22.4090371732563,21.6877405167675
Belgium,28.3611497450162,27.5045126353791,27.7146602578108,25.9415996614473,26.116303219107,26.8227835156969,28.5510785510786,30.8711156393276,30.7258632840028,29.7967278135845,27.9996075738252,26.5937019969278,25.3738317757009,24.5541459827174,23.8957277335264,23.2529043789097,22.9782339408954,22.7396538089799,22.8691319171256,23.0956946139097,23.0247128437174
Belize,27.536231884058,26.9230769230769,25.531914893617,22.8571428571429,22.9508196721311,22.3880597014925,23.6111111111111,26.3803680981595,28.7958115183246,31.0502283105023,30.5555555555556,31.2056737588652,32.1656050955414,33.2361516034985,33.6898395721925,33.4987593052109,32.5581395348837,31.3465783664459,30.2966101694915,29.3279022403259,28.0632411067194
Benin,26.3543191800878,26.1770244821092,26.0907888937858,26.453957996769,26.178390137781,25.8043758043758,25.6179775280899,25.6005823829168,26.1467889908257,27.3410202655486,27.5116383841418,28.1520081342145,28.4380766308477,28.7377911344854,29.2156057494866,29.8946603705049,30.9155844155844,31.8663932024612,32.4634432703597,32.6416482707873,32.3218997361478
Bhutan,28.5714285714286,30.1020408163265,29.7777777777778,29.6875,29.7297297297297,29.2479108635097,28.8416075650118,27.2349272349272,26.1425959780622,26.0355029585799,27.4509803921569,32.6656394453005,35.4519774011299,37.4025974025974,36.2971985383678,33.8728323699422,31.2985571587125,29.5503211991435,28.9119170984456,27.9959718026183,27.147087857848
Bolivia,27.7921120530778,27.5357499168607,27.5522388059701,27.2993868301786,27.0719544051294,27.0855221685228,27.5849197461739,28.0087160576601,28.215892053973,28.6688051323176,28.9733108920414,29.4771241830065,30.2852014359793,31.2724592278633,32.1130875655238,32.7324171382377,32.7529339571987,32.0807339449541,31.2535370684776,30.1634166437792,28.9757864377222
Bosnia and Herzegovina,27.2249342846414,29.7691785471826,32.7672955974843,31.2923167500736,29.9102132435466,30.8246597277822,32.2259136212625,35.0630455868089,34.1848583372039,32.8832883288329,30.3653585926928,29.5502645502646,29.8217611066773,28.7630802253823,27.6387377584331,25.1178264485722,22.1938050582552,21.1730205278592,20.1399452388196,19.9936528086322,19.8072449318711
Botswana,27.4271844660194,27.9317697228145,27.2030651340996,25.3355704697987,24.7109826589595,25.8261933904529,27.06002034588,27.5,28.6454478164323,29.7611362169141,31.2427409988386,33.1521739130435,35.4398382204247,36.6270783847981,36.3268971710822,34.8160821214713,33.8537387017256,33.5583796664019,33.4615384615385,33.4079045488441,32.5598259608412
Brazil,29.0105044741279,28.2061475344666,27.8620917189046,26.9717416309929,27.0973320415456,28.4317805584071,29.7667305273025,31.5668862790032,32.4381063174011,32.7732079905993,33.0598535955217,33.2561226628545,33.3157646962502,32.9052961590031,32.2809635880068,31.1879104226301,29.7233197940556,28.2020765789798,26.2206838282389,24.0720871447017,22.6770154499524
Brunei,28.5714285714286,28.125,28.0487804878049,26.2135922330097,26.1538461538462,27.9503105590062,34.5360824742268,34.6666666666667,39.2996108949416,38.6440677966102,37.4251497005988,37.940379403794,37.5,37.18820861678,36.25,35.2250489236791,33.5779816513762,31.6608996539792,30.4132231404959,29.6998420221169,28.9634146341463
Bulgaria,31.9404220107571,31.7375650086678,32.4052885837783,30.1511826383809,29.2884071630537,28.4059633027523,28.3795982848116,28.4008481196295,27.3273613788411,27.1661081857348,27.9810213509801,28.6175710594315,28.7676713790344,27.0273991463583,23.9880273660205,21.6972748815166,20.1762523191095,20.2101859337106,21.0312764158918,21.2164073550212,20.5304154302671
