Male 55+ unemployment (%),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
"Korea, Rep.",,,,,,,,,,,,0.89999997615814,0.80000001192093,0.69999998807907,0.89999997615814,0.69999998807907,1.39999997615814,4.59999990463257,4.80000019073486,3,2.40000009536743,1.79999995231628,2,2.20000004768372,2.40000009536743
Latvia,,,,,,,,,,,,,,,,20.7000007629395,13.8000001907349,11.8000001907349,8.30000019073486,10.1000003814697,10.5,11,7.69999980926514,7.09999990463257,9.10000038146973
Lithuania,,,,,,,,,,,,,,,,,,5.90000009536743,6.80000019073486,12,14.8000001907349,12.3999996185303,10,8.89999961853027,6.69999980926514
Netherlands,,,,,,,5.09999990463257,5.09999990463257,3.90000009536743,3.90000009536743,4.40000009536743,1.70000004768372,2.40000009536743,2.70000004768372,3,3.20000004768372,2.59999990463257,2.29999995231628,2.29999995231628,2.5,1.70000004768372,1.89999997615814,3,4.30000019073486,4.80000019073486
New Zealand,,,,,,1.29999995231628,1.79999995231628,2.5,4.09999990463257,4.40000009536743,4.30000019073486,5.59999990463257,5.90000009536743,4.90000009536743,3.40000009536743,3.70000004768372,4.09999990463257,4.30000019073486,4.90000009536743,4.80000019073486,3.59999990463257,3,3,2.09999990463257,1.70000004768372
Norway,0.40000000596046,1.29999995231628,1.79999995231628,1.39999997615814,0.89999997615814,1,1,1.60000002384186,2.70000004768372,2.29999995231628,3,3.09999990463257,2.5,3.09999990463257,3.09999990463257,3.09999990463257,1.79999995231628,2.29999995231628,1.70000004768372,1.60000002384186,1.5,1.5,1.79999995231628,1.79999995231628,2.20000004768372
Philippines,,,,,,8.19999980926514,7.59999990463257,6.30000019073486,6.19999980926514,5.30000019073486,6,4.90000009536743,4.5,4.90000009536743,4.5,4.59999990463257,5.69999980926514,5.59999990463257,5.19999980926514,5.59999990463257,5.80000019073486,5.80000019073486,6.59999990463257,7.40000009536743,2.79999995231628
Poland,,,,,,,,,,,,,5.69999980926514,6.30000019073486,5.40000009536743,5.09999990463257,4.59999990463257,5.19999980926514,7.5,7.80000019073486,8.39999961853027,9.19999980926514,9.89999961853027,10.8000001907349,10.6999998092651
Portugal,,,1.60000002384186,1.60000002384186,2,2,2.20000004768372,2,1.29999995231628,1.70000004768372,1.70000004768372,2,3.20000004768372,3.90000009536743,3.59999990463257,3.90000009536743,4.40000009536743,2.5,2.70000004768372,2.5,2.20000004768372,2.40000009536743,3.09999990463257,3.90000009536743,4.59999990463257
Romania,,,,,,,,,,,,,,1.5,2.09999990463257,1.29999995231628,1.20000004768372,1.20000004768372,1.29999995231628,1.5,1.70000004768372,2.59999990463257,2.5,4.19999980926514,3.40000009536743
Singapore,1.5,1.29999995231628,1.39999997615814,1.60000002384186,2.70000004768372,4.40000009536743,2.90000009536743,1.70000004768372,1,0.80000001192093,0.89999997615814,1.29999995231628,1.5,1.5,1.60000002384186,2.09999990463257,1.79999995231628,2.40000009536743,3.70000004768372,,3.29999995231628,4.80000019073486,4.19999980926514,4.69999980926514,
Slovak Republic,,,,,,,,,,,,,,,,,7,7.59999990463257,10.1999998092651,13.3000001907349,12.5,15.3000001907349,14.1000003814697,15.3000001907349,
Slovenia,,,,,,,,,,,,,5.40000009536743,4.40000009536743,2.29999995231628,2.40000009536743,2.40000009536743,2,4.09999990463257,6.5,2.09999990463257,1.89999997615814,2.29999995231628,3.40000009536743,4.69999980926514
Spain,6.69999980926514,7.5,8.10000038146973,10.6999998092651,11.3000001907349,12.1999998092651,10.3999996185303,9.10000038146973,9,8,8.39999961853027,9.30000019073486,11.6999998092651,12.6000003814697,11.8999996185303,10.8999996185303,10.3999996185303,9.19999980926514,8.89999961853027,8.19999980926514,5.40000009536743,5.80000019073486,5.69999980926514,5.80000019073486,5.19999980926514
Sweden,2.09999990463257,3,3.90000009536743,4.19999980926514,3.5,3,2.20000004768372,1.89999997615814,1.29999995231628,1.29999995231628,2.29999995231628,3.70000004768372,6.90000009536743,8.19999980926514,9,9.30000019073486,9.19999980926514,7.90000009536743,7.40000009536743,6.80000019073486,5.40000009536743,5.30000019073486,6,5.80000019073486,5.40000009536743
Switzerland,,,,,,,,,,,1.10000002384186,1.70000004768372,3.09999990463257,3.70000004768372,3.5,2.90000009536743,2.59999990463257,3.40000009536743,2.5,2.5,1.60000002384186,1.89999997615814,2.29999995231628,2.79999995231628,3.29999995231628
Turkey,,,,,,,,,4.80000019073486,3.40000009536743,2.90000009536743,2.90000009536743,2.70000004768372,2.59999990463257,2.79999995231628,1.79999995231628,1.5,2,2.09999990463257,2.09999990463257,2.40000009536743,3.40000009536743,3.70000004768372,3.20000004768372,3.29999995231628
United Kingdom,,,,,,,,,,,,,,,,,,,,,4.19999980926514,4.19999980926514,4.09999990463257,3.79999995231628,3.20000004768372
United States,3.5,5.09999990463257,5.59999990463257,4.59999990463257,4.09999990463257,4.09999990463257,3.5,3.29999995231628,3.20000004768372,3.59999990463257,4.40000009536743,5.19999980926514,4.69999980926514,4.30000019073486,3.70000004768372,3.29999995231628,3.09999990463257,2.79999995231628,2.79999995231628,2.59999990463257,3.20000004768372,4.09999990463257,4.40000009536743,3.90000009536743,3.29999995231628
