Female 15+ unemployment (%),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
New Zealand,,,,,,4.59999990463257,4.30000019073486,5.5,6.90000009536743,7.19999980926514,9.39999961853027,9.5,8.69999980926514,7.59999990463257,6.30000019073486,6.09999990463257,6.59999990463257,7.40000009536743,6.5,5.80000019073486,5.30000019073486,5.30000019073486,5,4.40000009536743,4
Norway,2.70000004768372,3,3.79999995231628,3.20000004768372,3.09999990463257,2.5,2.59999990463257,3.40000009536743,4.59999990463257,4.90000009536743,5,5.09999990463257,5.19999980926514,4.69999980926514,4.5,4.90000009536743,4.19999980926514,3.29999995231628,3,3.29999995231628,3.40000009536743,3.59999990463257,3.90000009536743,4,4.40000009536743
Philippines,,,,,,10.8000001907349,12,11,11.1000003814697,10,12.8999996185303,8.5,7.69999980926514,7.80000019073486,8.10000038146973,7.40000009536743,9.89999961853027,8.39999961853027,7.80000019073486,9.60000038146973,9.19999980926514,9.60000038146973,9.60000038146973,10,7.69999980926514
Poland,,,,,,,,,,,,,15.6000003814697,16,14.6999998092651,13.8999996185303,13.1999998092651,12.3000001907349,15.8000001907349,18.1000003814697,19.8999996185303,20.8999996185303,20.3999996185303,19.8999996185303,19.1000003814697
Portugal,,,,,,,,,,,,4.90000009536743,6.5,7.80000019073486,8,8.19999980926514,7.5,6.19999980926514,5,4.90000009536743,5,6,7.19999980926514,7.59999990463257,8.69999980926514
Romania,,,,,,,,,,,,,,9.5,9.39999961853027,8,7,6.80000019073486,6.90000009536743,7.09999990463257,6.59999990463257,8.19999980926514,6.80000019073486,7.30000019073486,6.80000019073486
Singapore,2.79999995231628,2.5,2.79999995231628,2.5,3.70000004768372,4.80000019073486,3.5,2.29999995231628,1.60000002384186,1.39999997615814,1.79999995231628,2.20000004768372,2.20000004768372,2.20000004768372,2.20000004768372,2.29999995231628,2.09999990463257,3.20000004768372,3.90000009536743,,3.5,4.69999980926514,5,4.59999990463257,
Slovak Republic,,,,,,,,,,,,,,,,,12.8000001907349,13.1000003814697,16.3999996185303,18.6000003814697,18.7000007629395,18.7000007629395,17.7000007629395,19.1000003814697,
Slovenia,,,,,,,,,,,,,8.39999961853027,8.39999961853027,6.90000009536743,6.80000019073486,7.30000019073486,7.69999980926514,7.59999990463257,7.19999980926514,6.5,6.19999980926514,6.80000019073486,6.30000019073486,7.09999990463257
Spain,15.8000001907349,18.5,20.2999992370605,22.7999992370605,24.7999992370605,25.1000003814697,27.2000007629395,27.3999996185303,25.1000003814697,23.8999996185303,23.5,25.7999992370605,29.3999996185303,31.6000003814697,30.7999992370606,29.6000003814697,28.2000007629394,26.5,22.8999996185303,20.3999996185303,15.1999998092651,16.3999996185303,16,15,12.1999998092651
Sweden,2.59999990463257,3.40000009536743,3.59999990463257,3.20000004768372,2.90000009536743,2.70000004768372,2.29999995231628,1.89999997615814,1.70000004768372,1.79999995231628,2.90000009536743,4.69999980926514,7.69999980926514,8.30000019073486,8.19999980926514,9.39999961853027,9.69999980926514,8,6.80000019073486,5.40000009536743,4.59999990463257,4.69999980926514,5.30000019073486,6.19999980926514,7.59999990463257
Switzerland,,,,,,,,,,,2.5,3.5,4.59999990463257,4.40000009536743,3.90000009536743,4.09999990463257,4,4.09999990463257,3.5,3.09999990463257,3.5,3.09999990463257,4.5,4.69999980926514,5.09999990463257
Turkey,,,,,,,,,,,7,7.80000019073486,9.30000019073486,8.10000038146973,7.30000019073486,6,7.80000019073486,6.80000019073486,7.59999990463257,6.30000019073486,7.5,9.5,10.1000003814697,9.69999980926514,10.3000001907349
United Kingdom,,,,,,,,,,,,,,,,,,,,,4.19999980926514,4.40000009536743,4.09999990463257,4.19999980926514,4.09999990463257
United States,7.90000009536743,9.39999961853027,9.19999980926514,7.59999990463257,7.40000009536743,7,6.19999980926514,5.5,5.30000019073486,5.5,6.40000009536743,7,6.59999990463257,6,5.59999990463257,5.40000009536743,5,4.59999990463257,4.30000019073486,4.09999990463257,4.69999980926514,5.59999990463257,5.69999980926514,5.40000009536743,5.09999990463257
