Per capita total expenditure on health at average exchange rate (US$),1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Bangladesh,,,,,,,,,,,,,,,,
Barbados,450.10553649,464.98016924,493.87186945,530.17563914,569.00397361,601.15284979,635.00689809,670.94964585,695.7607929,731.48789568,773.47571007,837.59006275,874.47574193,958.17848445,842.73852364,1003.43251875
Belarus,69.12997733,88.26239934,91.0781798,89.26793041,74.01820404,63.48191769,81.76748168,94.77788686,118.42899414,154.4034069,211.74070166,239.56689712,299.61555579,373.3470911,310.74738971,319.64040069
Belgium,2136.3335141,2148.28605883,1905.23782861,1975.63382458,2010.91333863,1844.07737701,1875.07828439,2070.85522722,3010.8037569,3522.12807948,3616.64509919,3635.0436092,4169.85473422,4754.27522232,4748.93162249,4618.30832385
Belize,119.07609444,102.41296513,109.88344591,109.19883076,109.40337569,131.50253308,152.4334321,154.91644757,166.35026625,168.36567138,175.889366,185.65916149,208.64979805,218.95707454,241.79231733,238.82359199
Benin,18.01650439,18.60063418,16.33318939,17.4944475,18.03651168,15.7040473,17.42717343,17.29773751,22.99008692,24.97867046,27.02495379,28.39455309,31,33,34,31
Bermuda,,,,,,,,,,,,,,,,
Bhutan,18.82107981,27.39074265,35.291142,37.23219866,50.47953663,51.64387801,50.10962129,69.86387534,50.38862354,48.21686123,57.83109872,69.23250522,87.0551897,94.06479136,90.73845399,108.48876104
Bolivia,40.18078585,44.82025956,44.90718202,54.36846843,63.08305685,61.41475262,60.61890609,59.69686121,51.06554146,52.11224368,58.25670203,59.02234855,65.08928224,85.35091165,90.42115338,96.52464129
Bosnia and Herzegovina,63.79041661,93.97065382,88.86015434,94.70603441,113.59651743,105.6377785,110.53705975,124.50308842,177.91401269,242.85773644,262.79975234,305.42277111,393.7809477,505.60255386,494.73138483,499.20787188
Botswana,124.78749863,124.95290163,137.53295062,126.28707187,130.67871482,151.8001489,180.32668877,204.15582499,263.35410308,451.60759554,418.60708429,398.75112355,504.80692983,535.99084407,581.39060534,614.59870623
Brazil,315.94209305,349.96680811,355.47161992,335.50809074,241.99146304,264.87029598,227.71358632,203.08931575,213.61277937,257.40493152,387.51048224,491.65000914,610.00954544,714.98985619,734.05649099,990.39407477
British Virgin Islands,,,,,,,,,,,,,,,,
Brunei,481.80261058,637.77443798,633.80760031,575.18830003,589.1639585,551.33815419,532.42586335,533.15932204,582.93572073,666.8825756,691.14308246,711.29045065,782.81849354,877.06180369,833.44320934,881.56624127
Bulgaria,81.82321796,55.24467726,63.86194079,82.7472833,96.32914452,97.69217598,129.21522704,153.97903795,200.8137362,238.26425575,273.54910233,297.4072339,374.66239958,474.17284604,462.64851516,434.89314499
Burkina Faso,10.72199245,11.85997735,10.91044579,12.4663275,13.27783641,10.89618231,10.9831747,12.6621784,17.60530419,22.63921202,26.44815633,26.15978802,29.80479692,36.5127274,38.83805692,39.77877598
Burundi,9.33915462,8.253659,8.36412757,8.25611617,7.2190512,7.04259524,6.91261912,6.59199465,6.30702577,9.58782555,13.41990299,17.54028772,17.64229141,18.31932186,18.64577565,20.7200245
Cambodia,20.10800236,29.01808094,23.46128839,18.12216493,17.75781748,18.62710715,22.40788112,25.02700655,29.97632802,32.27801211,35.15074055,31.8844304,31.83455106,38.85543014,40.86631482,45.18599793
Cameroon,25.13376615,34.4743623,28.93216642,28.99836191,28.97120522,26.50891493,28.20585611,32.21794315,40.33022299,43.43561524,44.85624845,46.82470451,52.88653437,63.83446755,60.41222601,61.34140305
