Per capita total expenditure on health at average exchange rate (US$),1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Niger,7.04897452,6.78057089,6.75567715,7.52020991,7.04960027,5.30065796,6.15366626,6.88367406,7.89852466,9.03538905,15.44770377,16.38586976,16.47749282,19.45087717,19.00264631,18.285209
Nigeria,36.43011089,51.22636253,53.32303494,60.83266871,16.12941034,17.10893594,18.18452113,17.8047441,38.36224218,44.81725086,53.00531272,59.14461223,67.78948131,79.29829413,66.63782501,62.7837644
Niue,350.71090933,468.47389872,413.81682534,321.53527473,384.78712604,318.15036463,1446.61545304,461.54791577,707.27332034,1029.06972224,1045.60878693,1273.00363274,1585.72737686,1731.06168558,1824.55506177,2318.35834777
Norfolk Island,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,
Norway,3122.07899915,3180.3851316,3017.10679139,3154.94523019,3325.03862093,3155.34923283,3333.3730539,4140.05843201,4937.0685114,5436.26786695,5943.56729226,6247.74794706,7312.73739031,8070.92644725,7532.60659913,8091.28551376
Oman,222.59801547,237.51872575,231.44799254,227.5253834,243.28733939,263.61816542,262.69094301,277.70941793,293.40491829,309.42114662,330.52705507,345.27231646,402.95451939,479.01366884,520.37929657,574.30678819
Pakistan,15.08650443,15.02545713,14.68398025,15.51629039,15.59195457,14.87749386,13.03001159,14.78646255,15.66062562,17.5233625,18.82366727,21.2857138,22.55588066,22.06499551,20.07496586,21.78013027
Palau,684.85814455,779.48728575,774.5698552,689.95824857,720.63209366,801.97459316,666.34494846,635.3579239,642.55922494,774.79790555,768.12949072,819.46227502,881.29252411,842.25558192,854.35165128,849.86996137
Panama,228.02273952,245.12046998,257.6036119,272.46739325,270.82681672,305.19673383,302.62544251,321.06881312,314.66290756,360.34325948,357.37655408,364.1430906,397.55571639,493.08817356,564.12855036,616.38653665
Papua New Guinea,35.95027103,38.85282057,33.72076606,28.08137096,26.82677426,25.91906532,25.21415887,24.06136294,25.19161358,30.89456665,30.8197982,30.49566932,32.16138336,39.89054017,43.66919142,49.4172872
Paraguay,111.9301576,121.24685002,123.03347124,110.69868563,108.95475205,124.23964621,106.97655421,78.44909456,70.03732844,79.74667937,82.12132433,101.24420795,121.53768609,162.0668094,147.15130769,162.87757859
Peru,100.83342047,103.77931209,104.22463837,101.84824987,98.41748586,96.8113784,96.25491299,102.8142721,102.81715505,111.73724092,128.48755102,149.68554647,193.60278568,256.32945861,235.72764059,268.75781381
Philippines,36.91632443,41.42719955,41.14806543,31.19614199,35.44028945,33.63444414,28.95764969,28.16312659,33.10843522,35.13044653,42.10184567,48.41137758,57.27511105,64.67885035,66.10532507,77.3301845
Pitcairn,,,,,,,,,,,,,,,,
Poland,198.95253205,240.47046446,230.05390024,266.73684005,251.4396865,247.18630865,291.67454728,328.46889667,354.32066483,410.72779032,494.85881187,555.48646367,717.18267091,972.5138999,829.47574124,917.11336293
Portugal,873.80128506,938.92580939,891.79760296,933.34984267,986.29396839,1066.37500222,1082.72793328,1185.93937555,1509.54415579,1773.96851598,1882.8162223,1912.72676209,2183.25345047,2383.88095707,2364.78897178,2366.52124322
Puerto Rico,,,,,,,,,,,,,,,,
Qatar,601.2919169,640.64845496,680.34024809,637.01593459,631.726043,687.86365601,767.65703689,873.97968162,1529.95036849,1648.4741923,1690.55317915,1675.30958029,1640.14939832,1635.51268344,1612.14509785,1488.75199833
Reunion,,,,,,,,,,,,,,,,
Romania,58.11105172,60.00502063,75.31467357,85.41603362,82.28159114,86.61389861,97.45870318,119.39889956,145.96243405,191.00204435,252.12280556,289.82734646,415.37331832,516.84724414,431.82895489,427.99985804
Russia,112.99841227,146.6043859,194.0917899,121.40097599,77.08947458,95.95046995,119.03871532,142.04849253,166.59652487,212.43293688,276.83302698,365.92347685,487.97071974,560.70749417,476.01960987,525.31807389
Rwanda,10.34582287,10.99523558,13.50522974,15.06583279,11.15047815,9.04211403,8.64290096,8.05469852,13.21705968,14.42292457,18.31082862,35.47798131,36.48873496,44.07976003,51.50488593,55.50948097
St. Barthélemy,,,,,,,,,,,,,,,,
St. Helena,,,,,,,,,,,,,,,,
St. Kitts and Nevis,289.45250531,304.16562878,316.01282109,324.26384681,358.32573927,387.78661047,373.58270574,370.55043925,356.97697155,361.72587725,388.57518165,516.99126402,550.98602715,552.8521751,524.43849012,668.62022513
St. Lucia,181.06693596,208.67500993,198.54240118,214.57300824,223.57808826,230.81688388,244.63936571,254.0574211,268.3966111,282.27333068,311.3876872,405.92780337,410.90630306,467.47611721,466.51293548,465.27568895
St. Martin,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,109.91730021,115.8503481,128.32838482,122.78181644,127.76009531,137.10365331,145.27883946,167.95260355,173.68673631,179.03065461,185.34013762,217.80291438,245.92346487,296.4123116,285.75272513,278.12754172
St.-Pierre-et-Miquelon,,,,,,,,,,,,,,,,
Samoa,55.9493966,69.34257329,77.57372605,72.13782055,82.34921876,78.97637725,77.69389614,81.77659497,92.35323906,105.51199727,113.95355907,129.30725304,165.21944241,168.19193756,154.44349619,203.97863958
San Marino,2112.40989115,2322.65865659,2171.548435,2273.90255934,2392.69550585,2157.84760071,2179.24918115,2890.89249005,2835.42440258,3358.94079213,3399.23361184,3443.79549696,3868.92853857,4221.66450932,3855.35658393,3655.21261596
Sao Tome and Principe,67.18038613,80.69469829,61.76962281,42.5047537,50.47673304,51.60939503,51.75830049,58.68796333,78.03239288,79.40881439,81.79811418,69.83806046,74.60513743,82.83053087,92.95220921,90.02817488
Saudi Arabia,227.99304395,248.3618144,264.80402398,253.06499599,339.2429231,400.42131834,399.44871967,377.50374896,386.58582378,398.47888272,465.38342205,547.65636705,577.88497552,581.01746674,608.16439313,679.65734523
Senegal,22.93545589,24.08150634,21.63975918,22.84460917,24.22371697,21.31979449,22.61723633,26.94947408,35.96152973,43.2949363,43.15763837,48.90038171,56.47056094,65.58605669,59.65758002,58.50289206
Serbia,77.65497364,128.31124353,144.03886556,117.29325142,128.28445486,60.01495514,115.06149521,178.76661038,230.25269061,274.47141795,306.99678206,371.31195974,546.60029514,673.41551388,576.49381756,546.02771042
Serbia and Montenegro,,,,,,,,,,,,,,,,
Serbia excluding Kosovo,,,,,,,,,,,,,,,,
Seychelles,352.828368,355.52011538,431.67751946,413.10972118,423.81991531,376.5023018,362.54859651,379.14875625,414.91405318,435.55404333,440.59672079,458.34585334,413.69361652,358.7704108,301.40793295,368.48819254
Sierra Leone,32.02787606,35.11120584,29.40540754,22.59472894,26.60882714,23.97050154,28.00905188,30.86195883,16.28152628,29.91826385,34.82749896,34.81452313,38.98560439,47.99418931,45.15682238,42.53352606
Singapore,727.46562864,765.81114252,756.39071818,700.11070162,631.83711366,579.87512546,604.86143166,648.19969436,894.57095776,921.46927148,991.17418215,1073.4381546,1232.1869413,1434.29888612,1531.37049412,1733.01546179
Slovak Republic,221.45414465,253.44172823,229.81434204,234.75718237,218.31979887,207.73685054,215.99604058,256.03033001,359.87641463,565.07309058,626.34304495,760.48181368,1077.31465085,1398.66914518,1473.5874303,1412.64543365
Slovenia,785.06822335,811.86076018,797.39153081,856.76032986,877.11887912,830.06687187,881.81765613,999.66421319,1257.16073026,1412.80505035,1501.26721895,1604.91488429,1824.55512314,2257.5292104,2230.96842637,2154.28331805
Solomon Islands,47.31043013,46.58405969,49.52612409,42.96556981,46.14246357,48.3957334,61.25664154,48.03735482,45.88023806,46.47492333,72.2582296,63.56887867,69.12114438,72.22520387,102.06806021,106.60821297
Somalia,4.61799289,4.93193825,5.75191622,7.42644876,7.43116333,6.77776129,3.8602713,,,,,,,,,
Somaliland,,,,,,,,,,,,,,,,
South Africa,273.28997272,271.16793666,286.55819466,264.7372803,273.50928097,251.30309777,229.27821204,210.54238782,319.52195326,414.71421712,455.62324598,460.77424926,495.22055778,481.77771676,520.62615057,648.71285601
South Ossetia,,,,,,,,,,,,,,,,
Spain,1127.9044085,1176.67553736,1061.00415994,1107.14030037,1132.17534381,1039.89421293,1082.73262837,1204.47333152,1719.46971303,2007.93533669,2157.94517391,2341.53245951,2724.87263119,3131.31302629,3031.59926717,2882.7852788
Sri Lanka,24.49082662,26.13121774,27.2716641,31.43735824,30.36153467,32.31459976,31.14846894,34.12795138,37.08873197,43.24366901,48.55939599,56.92679786,59.48507825,67.73599135,65.03913862,69.95910501
Sudan,15.4248105,11.5210148,13.801056,13.80725025,12.15884387,12.18181912,13.45525518,14.96967666,18.67144711,23.69538189,28.42803448,44.89336272,69.44721553,96.75328571,94.22561783,83.89472437
Suriname,82.45313118,144.35444148,160.18514884,178.20652662,151.17537329,151.70555012,130.28418303,160.62192754,172.9626382,206.89586284,243.38905334,323.36280807,345.05188151,403.79343468,467.35420932,492.37504248
Svalbard,,,,,,,,,,,,,,,,
Swaziland,87.45453897,87.96369161,87.26508907,84.40750939,78.69667034,75.30820071,63.67235559,57.6481106,97.86106917,114.31705259,133.50960751,151.42458841,155.75306785,162.10472067,168.80620808,203.12666708
Sweden,2288.95010353,2564.23320285,2297.19647757,2335.52954369,2395.17613628,2279.62532101,2264.26452917,2594.84637472,3270.81123433,3658.72828792,3718.72484454,3932.30708688,4508.45027825,4865.99115069,4347.45698076,4710.43430458
Switzerland,4270.82464535,4266.3571134,3701.16608324,3850.61879079,3818.17944519,3518.97087737,3706.74349576,4140.59920522,4940.31051229,5502.94128126,5571.78042802,5569.14614551,6050.91185887,6998.97074141,7184.64588771,7812.21806596
Syria,51.69369976,59.48382827,59.08390421,56.68972479,58.74934097,59.21796899,57.73347493,57.28218237,60.42429278,60.60244593,62.56992772,66.28076532,79.38885487,89.88517194,95.44026999,96.58501045
Taiwan,,,,,,,,,,,,,,,,
Tajikistan,3.05721148,5.52973549,5.63390062,7.79411699,6.90175723,6.47029909,7.95202409,8.70280153,10.94277209,13.97037602,17.33214773,21.21792044,30.11119553,43.07761038,43.51403462,49.06785774
Tanzania,6.28519541,7.14312651,8.871849,9.80152263,9.62259354,10.10198939,10.50021219,10.32342591,11.88060422,11.685928,14.63455409,23.43245994,23.33057817,26.75674493,27.11711156,30.90960176
Thailand,99.47459856,115.97151454,98.96955439,67.76340067,68.69891834,65.98047401,59.94871586,72.62326312,78.15870432,85.82410281,93.82426212,107.53309915,129.84103099,158.41721834,160.13614673,179.14652858
Timor-Leste,35.14972426,28.09728534,42.79424202,29.58047976,32.62925982,31.91585481,35.27165154,33.77663977,35.0285883,43.24718427,52.80306016,56.43158413,57.83165879,63.64118292,64.53721656,56.86094367
Togo,17.29149462,18.21429671,17.72126343,16.43060445,15.94178518,13.1014119,14.04669561,14.13123416,19.060569,24.83786739,25.10287998,27.82573247,30.34908331,37.45616559,40.90406708,40.61521536
Tokelau,,,,,,,,,,,,,,,,
Tonga,86.23796678,95.51955967,98.06362732,91.2938238,102.64519555,91.18013218,95.89399835,92.32524331,105.94625005,114.57591329,167.24768887,158.91488612,205.13356652,206.86163349,144.39977774,171.79905205
Transnistria,,,,,,,,,,,,,,,,
Trinidad and Tobago,198.17974381,196.57566583,187.09817104,173.5693368,225.00427246,245.06365052,281.11206443,331.12264522,425.26592507,491.18314249,687.98688193,690.04222966,787.47708913,909.22308459,848.09770978,860.96007635
Tunisia,124.01772762,123.22230318,116.23043342,122.16353234,128.04764209,122.39766465,121.87257643,127.77670703,151.71787299,178.52169477,181.15342656,193.52809153,216.59936985,246.21716072,242.55028841,237.83707151
Turkey,95.49118806,116.6936064,129.87921966,154.90182221,186.05764582,204.5048228,154.35382956,187.73602,241.55776793,309.77711619,382.27791625,441.00399484,553.41473,623.77323607,575.4900234,678.11332554
Turkmenistan,43.13042009,18.10106437,29.97297781,31.31719101,29.93039482,45.0627133,56.50843589,65.76792971,93.29247155,108.17174366,115.56674683,118.74026848,133.50363665,83.6494936,92.30371944,106.07938445
Turks and Caicos Islands,,,,,,,,,,,,,,,,
Tuvalu,64.61943295,152.34313039,116.85153386,120.10093668,135.90718854,231.7215809,245.49289097,238.18137468,410.45759324,370.71804731,402.63806415,447.4469823,475.4101136,623.80415567,402.84525433,568.0787481
Uganda,16.92150476,17.29059239,16.53062452,14.79745017,16.04639672,15.61499902,16.98907305,17.62924501,18.08764268,22.87309246,28.69883258,33.34782521,37.47946695,45.31764489,44.05201436,46.71865246
Ukraine,49.02900688,53.86532096,60.59504365,55.58015896,37.71148264,35.74094111,44.38571472,55.19271885,72.95949739,90.70392529,117.68152613,147.83547937,195.9739908,259.64421464,200.00292345,234.35661381
United Arab Emirates,737.94310783,731.26279929,750.79055815,838.99853209,846.73293115,885.36172573,814.80856618,916.81432725,967.45140318,994.84154393,1029.68524313,1108.79407455,1204.34670428,1526.89647496,1704.0598248,1449.92341312
United Kingdom,1362.1954461,1435.14008876,1539.30892264,1656.9472333,1764.41798868,1758.84760214,1800.65200012,2054.22648768,2425.91590214,2940.67310144,3119.33300347,3419.30839795,3880.8170405,3801.44539817,3439.74505685,3502.84284521
United States,3747.69212133,3899.97693343,4054.62721906,4235.83719866,4450.04499403,4703.46734364,5051.9449521,5452.99608058,5981.68105823,6330.93263118,6700.26909683,7072.56063194,7437.29229818,7719.62742794,7959.95353756,8361.73211653
Uruguay,688.77317971,682.39326788,616.18933387,661.2277308,628.21719471,583.72988562,528.12419538,337.20198596,262.411791,349.25714165,432.32576337,493.01044005,562.05182559,720.56841515,786.84544218,998.26149788
USSR,,,,,,,,,,,,,,,,
Uzbekistan,22.68529502,31.99692252,32.42820938,39.78945956,41.93101664,31.70509825,26.42976774,21.10805189,20.8370834,25.35915761,29.00587666,38.08795158,46.58888447,57.40209764,73.04867023,82.42976953
Wallis et Futuna,,,,,,,,,,,,,,,,
Vanuatu,41.2370968,36.90697177,46.66126327,57.56336084,52.11792293,52.4952813,49.9322822,51.92558798,57.85177662,61.82790652,60.87893415,64.08162828,89.52633008,110.77253678,122.58806989,157.34048017
Venezuela,143.73640681,106.06584179,144.27694265,175.82767509,231.77094941,273.76848845,295.10757719,207.78299402,190.03437523,239.20885122,296.18128343,387.87664439,476.58041715,598.30683221,687.87494035,663.38757129
West Bank and Gaza,,,,,,,,,,,,,,,,
West Germany,,,,,,,,,,,,,,,,
Western Sahara,,,,,,,,,,,,,,,,
Vietnam,14.27281167,16.43230498,17.13090271,17.46661904,17.98377198,20.89251285,22.92924625,22.39111689,25.40120384,30.56364751,37.26194061,46.66239905,58.39865326,70.09052721,77.11004924,82.87217737
Virgin Islands (U.S.),,,,,,,,,,,,,,,,
North Yemen (former),,,,,,,,,,,,,,,,
South Yemen (former),,,,,,,,,,,,,,,,
Yemen,39.47949421,25.08845245,20.78929524,21.64074593,21.73774696,25.27747297,26.88569855,27.71273522,36.35206236,38.20255991,42.23868073,51.62004423,57.43722082,68.22635908,63.40038581,63.1929881
Yugoslavia,,,,,,,,,,,,,,,,
Zambia,21.8367864,21.01976226,25.78230849,21.83129994,18.24764273,17.9974233,20.59793831,23.03959993,26.31935491,32.13414041,43.83864079,57.70214334,55.8525079,72.58389754,62.51885972,72.88434552
Zimbabwe,51.3493404,57.09880453,63.51961805,52.69439307,36.03586206,59.67199448,66.09895116,,,,,,,,,
Åland,,,,,,,,,,,,,,,,
South Sudan,,,,,,,,,,,,,,,,
Christian,,,,,,,,,,,,,,,,
Coastline,,,,,,,,,,,,,,,,
