Total 40-59 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Belarus,21.5779958677686,22.081250800974,19.9828997190668,19.4144301150227,21.1702245326844,22.9980781550288,26.3174241639921,24.55,22.8460038986355,23.3271647024447,24.992541024366,28.3226397800183,29.1284403669725,29.4463445917059,29.126426690079,30.180790960452,32.6170734555646,32.6189611333091,30.8147588464929,27.9784579009589,25.4260582737768
Belgium,27.5846082522021,27.6511732851986,25.1911732575923,24.3017350825222,23.8940809968847,23.6424992330504,24.7354497354497,23.1991849210392,24.0008053961542,24.8091224590977,26.5083881094869,28.3410138248848,28.5233644859813,28.1853281853282,26.9551049963794,25.4870420017873,24.4470005308795,23.943414462701,23.5947198181659,23.2264249607809,23.1900452488688
Belize,17.3913043478261,15.3846153846154,14.8936170212766,14.2857142857143,12.2950819672131,11.1940298507463,11.8055555555556,11.0429447852761,10.4712041884817,10.5022831050228,11.9047619047619,14.5390070921986,16.5605095541401,18.3673469387755,19.5187165775401,20.8436724565757,22.5581395348837,24.2825607064018,26.0593220338983,26.6802443991853,26.8774703557312
Benin,18.7896534895071,18.2674199623352,17.3644777434993,16.0743134087237,14.8295866569978,13.8030888030888,13.1460674157303,12.9337539432177,12.5729774812344,12.3689727463312,12.3592130950593,12.5826131164209,13.0793444046456,13.6081893313298,14.2258726899384,14.9291681801671,15.7142857142857,16.6949897450923,17.7980574234177,19.0434142752024,20.5304339914475
Bhutan,13.6904761904762,13.7755102040816,14.2222222222222,14.453125,14.8648648648649,15.3203342618384,15.6028368794326,15.8004158004158,15.7221206581353,13.8067061143984,14.0819964349376,14.7919876733436,16.6666666666667,17.9220779220779,20.2192448233861,23.8150289017341,26.6370699223085,29.0149892933619,29.119170984456,28.0966767371601,26.6535044422507
Bolivia,15.0018429782529,14.9318257399401,14.4179104477612,14.0762463343108,14.1296604132035,13.9104853960916,13.9790966778649,13.9959772041569,14.0629685157421,14.2475273990912,14.7150757393604,15.2941176470588,16.0151575588353,17.1381184925827,18.1747873163186,19.4179466451091,20.9020480171819,22.5761467889908,24.1581777023203,25.5836308706399,26.5074787041384
Bosnia and Herzegovina,16.7855801727375,16.4630006788866,14.5283018867925,14.277303503091,16.7508417508418,19.2153722978383,21.9269102990033,21.9447138700291,22.6428239665583,23.8223822382238,25.4397834912043,28.3597883597884,29.8749667464751,29.7826670244164,29.4885745375408,29.6645411699473,30.690537084399,30.2639296187683,29.7839975661698,27.6737543636941,25.058158856763
Botswana,13.5922330097087,12.3667377398721,11.6858237547893,11.744966442953,11.271676300578,11.5055079559364,11.4954221770092,11.2068965517241,11.2509252405625,12.588766946417,13.8211382113821,14.4565217391304,14.7623862487361,14.6793349168646,15.6713066906152,17.8785286569718,20.4601479046836,22.4781572676728,23.4230769230769,23.303504847129,23.4952864394489
Brazil,14.5469366582063,14.5228743619508,14.0685142417244,13.9181064639685,14.1752872665146,14.2524207196959,14.6391599996711,14.7551579519497,15.4936451584866,17.0765044220422,18.7880005741352,20.955441739981,22.6169764205011,23.9362331414149,25.4324282953524,26.947578155694,28.091238153132,28.6507708512879,28.9925184993391,28.8280383349397,28.2011971882551
Brunei,18.3673469387755,15.625,14.6341463414634,14.5631067961165,15.3846153846154,16.1490683229814,12.3711340206186,13.3333333333333,13.2295719844358,15.2542372881356,17.9640718562874,19.7831978319783,21.5686274509804,22.6757369614512,23.75,25.0489236790607,25.5045871559633,26.4705882352941,26.7768595041322,26.3823064770932,26.0670731707317
