Male 15-24 unemployment (%),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
Portugal,,,,,,,,,,,,8,9.80000019073486,12,13.8000001907349,13.5,11.3000001907349,7.90000009536743,7,6,7,9.60000038146973,12,13.3000001907349,13.6999998092651
Romania,,,,,,,,,,,,,,20.2000007629395,18.7999992370605,17.5,15.8999996185303,17.2999992370605,19,19.6000003814697,17.6000003814697,21.7000007629395,18.2999992370605,22.3999996185303,20.5
Singapore,4.59999990463257,4.30000019073486,5,4.5,6.09999990463257,7.90000009536743,6.19999980926514,4.80000019073486,3.40000009536743,3.29999995231628,3.5,4.59999990463257,4.69999980926514,4.69999980926514,4.80000019073486,5.09999990463257,4,5.30000019073486,5.5,,5.40000009536743,6.40000009536743,7.09999990463257,7.80000019073486,
Slovak Republic,,,,,,,,,,,,,,,,,21.1000003814697,23.7999992370605,32.0999984741211,36.4000015258789,38.4000015258789,36.5999984741211,32.7000007629394,33,
Slovenia,,,,,,,,,,,,,26.8999996185303,21.5,18.1000003814697,20,16.2999992370605,17.6000003814697,17.2000007629395,14.5,15,14.8000001907349,12.6999998092651,11.3000001907349,14.8000001907349
Spain,28.2000007629394,31.7999992370606,33.7000007629394,37.9000015258789,39.2000007629394,38.2000007629394,33.7000007629394,29.3999996185303,24.3999996185303,23.1000003814697,22.7000007629395,26.5,39.7000007629394,40.9000015258789,36.9000015258789,36.2000007629394,33.2000007629394,29,23.2000007629395,20.2999992370605,16.7000007629395,18.5,19.5,18.7000007629395,16.7000007629395
Sweden,5.69999980926514,7,7.30000019073486,5.69999980926514,5.59999990463257,5.90000009536743,5.19999980926514,4,3.90000009536743,4.80000019073486,8.5,16.2000007629395,26.1000003814697,25.2999992370605,20.7000007629395,21.6000003814697,21.7999992370605,17.2999992370605,14.8000001907349,12.3999996185303,12.8999996185303,13.8000001907349,14.6999998092651,17.7000007629395,23.2000007629395
Switzerland,,,,,,,,,,,2.90000009536743,4.80000019073486,7,5.30000019073486,5.40000009536743,5.19999980926514,7.90000009536743,4.69999980926514,5.59999990463257,5.69999980926514,5.80000019073486,7.30000019073486,8.19999980926514,8,8.5
Turkey,,,,,,,,,,,,17.8999996185303,18.7000007629395,17.5,16.8999996185303,14.8000001907349,14,14.8999996185303,15.6000003814697,13.6999998092651,17.2000007629395,20.2999992370605,21.5,20.1000003814697,19.2999992370605
United Kingdom,,,,,,,,,,,,,,,,,,,,,12,13,13.3000001907349,11.8000001907349,13.3999996185303
United States,14.6000003814697,17.7000007629395,17.1000003814697,13.3999996185303,13.1000003814697,12.6999998092651,11.8000001907349,10.6999998092651,10.6000003814697,10.8000001907349,13.3999996185303,14.3999996185303,13.6000003814697,12.6000003814697,12.5,12.6000003814697,11.8000001907349,11.1000003814697,10.3000001907349,9.69999980926514,11.3999996185303,12.8000001907349,13.3999996185303,12.6000003814697,12.3999996185303
