Urban population,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Malawi,155272,162111.652832,169821.579384,177888.801792,186305.647772,195077.39256,209314.71913,224211.76348,239892.73065,256530.25216,274278.3784,297475.230192,322186.649598,348458.4277,376294.883014,405698.40372,434736.865384,465591.380288,497894.823164,531051.754384,564710.769,594291.226586,623580.833304,655101.095322,692586.236752,738672.95891,799993.099392,871504.35812,947929.619224,1021032.48735,1084431.1152,1140517.326176,1185159.687936,1223154.78516,1262798.120736,1310828.7105,1362794.55102,1424224.99425,1493285.415336,1566318.33459,1640521.2516,1694674.186956,1749831.791352,1806730.59798,1866578.567688,1930312.24698,1999329.859422,2072329.752384,2149420.712562,2230640.57508,2316037.71663,2414122.656928
Malaysia,2165348,2297703.19896,2432159.457,2572435.78527,2716440.48,2862524.23587,3014359.808148,3168042.086348,3324288.65496,3484442.265414,3649614.95262,3835041.971112,4026657.157844,4224277.270528,4427442.07296,4635991.35872,4854942.908768,5080541.904936,5314432.003152,5558849.899624,5815772.45784,6070456.957982,6337995.102416,6619986.67603,6918260.596384,7234047.50408,7570471.917708,7925545.86183,8296211.516512,8677814.377782,9066771.36228,9535876.225472,10015238.635892,10506762.362952,11013826.971032,11539004.6728,12099332.210716,12677616.551964,13273240.095072,13885083.284016,14511858.15093,15120861.053886,15742808.848326,16373271.697872,17006237.902962,17637237.85575,18201291.115644,18759263.647308,19315650.290688,19877553.82521,20450436.30102,20975987.49336
Maldives,11032,10390.6698,10735.63005,11089.55408,11443.1837,11791.31322,12159.77125,12522.89488,12897.46264,13307.01484,13768.76396,15480.451616,17327.994684,19301.627436,21372.545936,23515.2708,25583.223132,27709.001624,29925.544068,32289.202176,34849.285,37079.284242,39489.196512,42064.973506,44776.165864,47596.7952,49402.6362,51235.056788,53076.980088,54907.792034,56712.0816,58232.019164,59698.491552,61109.411928,62464.248704,63764.78256,66160.64336,68545.397304,70924.283196,73307.3864,75702.76616,80322.712068,85028.680776,89819.02446,94690.987056,99643.5,104793.056972,110025.602564,115350.925248,120783.899028,126335.0469,131596.822016
Mali,561636,604452.222624,628708.12958,653587.310896,679212.324076,705699.76704,735139.3668,765600.889944,797230.741832,830207.872672,864675.3526,903134.634784,943339.290556,985163.01184,1028372.00484,1072795.83196,1122666.52992,1173839.0704,1226665.03484,1281682.88928,1339276.33432,1404244.43754,1472373.607128,1542586.373488,1613213.448112,1683079.31165,1747837.407968,1811659.33809,1876688.693232,1946165.864874,2022686.27496,2105583.670268,2196527.772088,2294752.174884,2398670.877876,2507116.7069,2627224.347924,2752822.759988,2884679.999248,3023936.33295,3171501.07272,3338433.743976,3514680.596628,3700115.963104,3894365.471712,4097145.06348,4313075.727576,4538135.846192,4772346.17962,5015720.732452,5268309.43093,5532085.362804
Malta,296429,292946.8205,291533.9686,290122.7583,288758.1325,286362.1,283048.9696,279692.7663,276338.4026,273030.7406,271474.0235,271544.9052,271346.6469,271148.3456,270991.278664,273014.90724,274433.999644,275533.81624,278443.557396,281307.167288,284299.71325,286425.421152,292663.573756,296846.248592,296936.649042,302228.10256,307698.837706,310205.98662,313147.52535,316598.152288,320102.3877,323721.47138,327326.8482,330859.4688,334211.84853,336893.99618,340003.840848,343396.474928,346556.667872,349328.34496,352257.37584,364035.896552,367771.255572,371216.157044,374742.580128,378173.15865,381414.720816,384733.6137,388306.5417,391079.910078,393826.62645,397309.208
Marshall Islands,5340,5568.4699,5970.936708,6416.440226,6888.2824,7373.01966,7997.009632,8640.897102,9323.26986,10071.226964,10910.76324,11702.9028,12588.1432,13542.11664,14525.10936,15508.45296,15972.055644,16397.359528,16819.405136,17285.078272,17826.36244,18824.428134,19916.94144,21103.63518,22381.647672,23741.66015,25149.350928,26627.67604,28111.033616,29511.236244,30762.73552,31693.200534,32446.886608,33055.32312,33571.31706,34036.10816,34458.277282,34833.748782,35160.45282,35432.21136,35646.84345,35804.196372,35926.268924,36041.686272,36191.450624,36406.12594,36691.0996,37050.5733,37494.0352,38027.56328,38654.46216,39379.26624
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,59292,66087.46458,73784.02772,81869.73424,90357.74312,99262.6957,111155.1912,123641.926432,136760.81024,150560.360244,165088.61996,183959.10495,203840.04292,224769.75414,246777.372,269892.43108,296302.816098,324021.904378,353090.943812,383551.527282,415441.69107,451390.881664,489020.837706,528308.852464,569193.334772,611638.77966,645055.967842,679548.028096,715303.768656,752593.9724,791653.84708,814088.444768,837442.45614,861717.209472,886884.181846,912924.7099,939812.889004,967569.002064,996264.894264,1025997.406852,1056806.49827,1089827.986806,1123902.448218,1158778.474222,1194117.001852,1229656.38897,1268522.303356,1307679.585536,1347073.473168,1386672.48598,1426464.4079,1470093.254
Mauritius,219177,231058.3885152,243061.6538304,254981.3634816,266824.6373568,278602.47,292191.9175168,305823.1898496,319515.2216064,333292.3188192,347184.32,355113.6299168,362943.8188992,370822.3654912,378969.7788928,387511.56,391834.1111712,396250.1815104,400680.0205056,405013.4449248,409110.66,414621.721545347,419491.017484087,423694.319615283,427210.55862912,430022,436923.552,443622.058,450371.750612718,457172.209829078,464802.225,468528.206288,473397.536376,477691.291696,483055.288912,485844.28788,489446.281552,494203.061056,498001.634676,502929.656776,506438.7091,510813.33932,514018.64904,518178.38936,521450.93308,524404.1154,527383.352604,529616.298988,532028.54961,533718.194944,535157.23796,537535.880674
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,18765464,20472485.541522,21476491.477742,22509818.804836,23571901.231398,24663156.5833,25772743.74534,26910169.20235,28086424.8794,29317003.59186,30613210.00035,31941501.143898,33333049.759562,34780455.409388,36271781.261452,37796357.34159,39335052.5295,40904661.37569,42489076.98197,44067521.16765,45625583.29329,47015716.700232,48373711.348844,49722745.650816,51097293.640288,52522768.683,53986380.94618,55501626.12128,57056542.641202,58631349.960164,60210932.08238,61700848.976312,63190617.489408,64683307.652452,66184900.919842,67698670.48632,69116179.576724,70540316.32412,71956421.907132,73344624.36928,74691807.82868,76036878.430856,77341402.871292,78626814.454784,79924058.731036,81255625.29156,82614101.613526,84006923.728444,85424300.118756,86850060.182704,88271486.32775,89660257.334778
"Micronesia, Fed. Sts.",9931,10365.84378,10804.7277,11263.76031,11758.03452,12294.78732,12894.592488,13542.850188,14191.695388,14773.039308,15239.80248,15537.4289,15716.28716,15844.82144,16023.33152,16327.51694,16723.741782,17248.906368,17879.812134,18573.068696,19294.8009,19909.669248,20547.384768,21189.123558,21813.609024,22404.98618,22939.8226,23424.566142,23884.74816,24358.32641,24867.63942,25346.89332,25853.30652,26326.9104,26686.9485,26881.16844,26458.492416,25877.918416,25206.68646,24533.251912,23916.0999,23957.857,24055.6624,24188.9725,24323.1758,24433.2627,24556.286052,24664.571312,24766.796268,24876.865872,25004.94896,25223.215544
Moldova,702819,631775.02,668152.512,704989.332,741701.024,778739.5,817839.672,856923.224,895909.12,935651.352,976470.6,1015914.944,1056411.072,1097292.7,1137827.08,1177939.44,1216886.2,1255229.44,1292894.19,1331783.18,1371946.39,1410855.192,1451506.064,1493114,1535267.552,1577083.2,1609849.064,1642041.728,1673172.884,1702271.088,1728323.52,1729530.904,1727459.332,1722128.46,1713557.944,1701350.33106,1685440.23844,1669241.8386,1653645.95941,1638596.6507,1622855.89332,1608874.77548,1594819.848974,1580030.451246,1565844.452188,1551788.40666,1574674.33152,1597881.708688,1621785.366676,1646645.383842,1671889.42032,1696062.804
Monaco,22134,22343,22477,22562,22643,22749,22886,23046,23234,23448,23689,23968,24282,24605,24902,25153,25341,25482,25617,25802,26078,26459,26930,27459,28004,28533,29036,29521,29990,30447,30896,31330,31745,32154,32574,33014,33485,33974,34444,34840,35126,35288,35341,35323,35282,35260,35267,35295,35336,35377,35407,35427
Mongolia,342318,363679.64052,387541.143,412915.0338,439531.64217,467175.65568,487768.420352,508914.761472,530754.394896,553513.304824,577357.1482,604117.195776,632070.263408,661072.4216,690895.310472,721373.36944,751917.541912,783109.52184,815052.563864,847911.34696,881828.73126,914951.167536,948777.354154,983818.628124,1020788.196164,1060071.5008,1098332.91162,1138634.415888,1179069.587774,1216988.3044,1250478.75249,1268806.794906,1282250.186898,1292246.977032,1300952.07522,1309997.71455,1322451.302514,1335505.755716,1349172.75411,1363261.432988,1377687.45077,1417014.32478,1457544.128222,1499794.378792,1544427.820716,1591934.03466,1641153.041298,1693417.191088,1748203.775172,1804674.144316,1862147.19567,1916907.642348
Montenegro,87735,92904.606756,98330.948736,103831.325104,109214.48748,114329.73636,119582.781318,124487.904408,129218.140842,134071.267176,139293.76131,145489.070552,152116.25143,159106.943376,166314.875328,173604.46378,181470.522464,189468.243048,197402.88731,205002.482928,212068.28097,218787.403314,224856.459976,230659.05384,236806.935734,243790.73025,252033.113354,261210.899508,271191.59028,281694.455362,292456.94192,303033.749744,313867.30966,324536.919734,334476.628748,343258.08855,350406.976968,356198.449078,361033.135716,365573.301498,370352.85664,373610.992848,377196.630016,381128.44,385355.283456,389831.658,391163.744608,392842.979808,394735.56856,396649.52808,398444.9304,400149.135246
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,3418044,3567340.68304,3726585.4654,3891733.6152,4064196.49317,4244974.26,4437836.05065,4639515.95152,4848379.91857,5061952.2981,5278426.97615,5516717.645144,5759042.307456,6006727.185216,6261899.076238,6526405.8143,6809363.9145,7102095.691956,7406888.860716,7726707.526032,8063527.732,8421740.564742,8797417.713504,9186508.4712,9582925.1418,9981714.65298,10382782.915414,10784364.303118,11186124.114018,11588515.52131,11991824.52055,12379517.820912,12765789.091428,13150902.480752,13535470.5048,13919931.912,14213933.954784,14505255.035324,14793340.112152,15077359.862496,15356872.4206,15631313.45048,15901882.80759,16170044.83856,16437790.31736,16706742.4081,16981691.085408,17258476.512276,17538009.107008,17821245.826352,18108782.26512,18408827.09934
Mozambique,282906,300724.259168,321849.99009,343832.987656,366698.165372,390474.50112,419214.31584,449145.054448,480300.57948,512705.9704,546405.653,615019.90095,686433.37942,761138.68354,839911.85616,923432.3026,1044874.152596,1173228.644076,1308034.875812,1448185.064196,1592396.63611,1721674.55834,1854303.79515,1986883.74904,2114389.29921,2233074.41112,2357797.48944,2470691.05686,2581358.16252,2705854.506,2857891.15296,3067612.42062,3314082.93382,3590502.9489,3882547.63676,4177910.44892,4398064.459852,4615538.29743,4833613.844912,5058766.054192,5296026.88288,5472523.334502,5656018.986264,5845030.973474,6037199.827956,6230796.19987,6427908.736416,6626847.933276,6828150.1776,7032724.746834,7241313.0287,7469801.930448
Myanmar,4046365,4190430.62475,4356590.8058,4528401.90484,4706794.56324,4892572.88664,5091249.813344,5297724.859344,5512884.485696,5737829.79726,5973271.1073,6178715.96388,6392780.849304,6613580.746464,6838424.126208,7065213.90516,7230131.81319,7393460.047104,7555524.788952,7717096.33158,7878702.71673,8043895.373032,8208598.518736,8372790.380592,8536467.880866,8699560.0328,8893297.89282,9087456.71044,9281251.47532,9473642.38464,9663929.6144,9890795.84514,10115488.920064,10340430.577196,10569168.132604,10803794.88758,11092797.261606,11389140.801992,11685130.657308,11969786.789748,12235227.169,12531605.94047,12808457.47236,13073240.79975,13337797.49848,13611473.4537,13946443.020388,14292531.064292,14649393.16197,15015091.806316,15387973.13996,15783113.201812
Namibia,107834,113173.899786,118683.032446,124444.552974,130463.607204,136749.6939,143469.741888,150463.846494,157810.159276,165618.36183,173963.64712,181482.89978,189492.09236,197792.41178,206096.064512,214195.75452,222160.89282,229991.02853,237781.565,245688.00531,253874.46384,262031.91336,270473.4439,279721.95344,290475.97974,303219.01908,318244.92544,335372.57386,353906.957,372807.3258,391285.3848,411536.865674,431353.694512,451060.03861,471241.19884,492317.57176,515820.66875,540224.76864,565090.49071,589757.94274,613739.95947,637210.81893,659927.36928,682334.1945,705135.85551,728877.22893,754198.09494,780537.48552,807730.90776,835465.52514,863494.23402,892203.727632
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,339201,350233.198718,361936.498196,374121.99216,386839.544032,400132.28681,413201.7416,426862.535112,441125.489304,455993.70857,471471.01632,503543.198144,536994.432,571857.959788,608157.376288,645919.2327,695780.827168,747698.683168,801733.915722,857949.18484,916410.98939,978246.456,1042538.81988,1109360.43064,1178783.13614,1250893.40316,1331750.768768,1415762.05532,1503173.572344,1594304.903948,1689437.40656,1811146.33374,1938219.511424,2070793.602626,2208955.2822,2352761.3044,2524194.407248,2702455.800072,2887486.041636,3079143.426536,3277245.39186,3439171.812384,3605396.421066,3775334.88024,3948207.26025,4123393.1673,4292619.15096,4463431.708104,4636188.180336,4811547.094668,4990031.66784,5181305.256484
Netherlands,6869005,6977663.895664,7101405.270036,7221771.596116,7343310.71936,7469418.53196,7590216.54685,7699642.50517,7803191.67579,7917513.34304,8039946.28738,8176233.95599,8299848.14703,8409655.7415,8516995.76224,8634800.44305,8745879.889298,8841326.81243,8939445.9234,9045222.35602,9161288.01,9280602.796784,9379764.14074,9472123.04858,9566742.552062,9668671.95408,9779747.21136,9899633.22685,10021808.62412,10140467.07937,10269295.1284,10474926.171012,10679752.787768,10880656.449536,11073428.231328,11255856.85866,11431782.150828,11615291.4603,11812418.041942,12017408.249232,12230634.72887,12431553.30848,12620097.332778,12789237.344856,12943590.978746,13083964.57296,13189178.51387,13302264.78592,13438845.23181,13593268.66016,13748740.07318,13879718.72
Netherlands Antilles,93807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,29546,32084.744832,34423.335168,36633.667744,38818.09344,41074.32,43359.844352,45877.117728,48687.019584,51831.52832,55330.56,59098.33146,62911.059176,66630.68494,70144.873296,73369.45,75752.294916,77623.598748,79134.761728,80568.929532,82119.18,83098.944,83794.394,84725.7432,88189.282784,90016.02,90820.884,92663.667152,94637.43818,97528.8888,100022.16,102693.483492,105607.081368,108779.214848,112228.055134,115973.7,119043.16,122529.77772,125263.2,128545.26588,131733.494,134869.535808,138073.32216,141349.83936,144705.409824,148080.12168,150039.833554,151900.4448,152270.55053,152638.77552,152890.53,153770.448
New Zealand,1802719,1852923.9902,1914992.064,1968064.3484,2024688.7896,2073571.044,2122898.506,2173205.257,2204525.82,2236623.664,2279646.342,2323471.788,2374611.9548,2431428.6684,2492750.3748,2552005.194,2578753.804,2590876.7912,2595789.6768,2589709.948,2597030.212,2608572.773,2636164.086,2673814.975,2698630.104,2716945.983,2723217.1884,2753790.0464,2768379.0096,2788754.3744,2821739.116,2965948.8502,3001182.1528,3039820.7452,3084775.76,3134622.422,3187195.176,3231899.7978,3263328.11,3283160.0782,3305161.629,3327606.36,3388879.095,3459445.344,3514309.875,3557303.628,3602120.4184,3640938.3904,3677110.9308,3718734.9648,3764781.532,3799044.48
Ngorno-Karabakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,702732,735270.8825,769710.271516,805227.295308,842101.00389,880566.23746,925789.313864,973010.139798,1022348.4544,1073927.695694,1127854.648,1171246.495864,1216287.54068,1263026.318654,1311512.532748,1361752.23171,1410823.019812,1461354.673842,1513109.771008,1565776.898888,1619084.8422,1673078.53086,1727714.94876,1782513.68418,1836863.52078,1890401.57046,1942630.58246,1993845.423424,2045413.502496,2099261.362748,2156701.52589,2218290.850464,2283365.939554,2350441.920464,2417337.532692,2482392.9936,2545240.008344,2606124.829448,2664983.044388,2721948.03972,2777193.35848,2830523.87487,2882091.485496,2932589.529966,2982966.611256,3033993.85488,3087186.381136,3141272.430324,3196747.239788,3254157.29286,3313839.08076,3378479.525476
Niger,188013,200549.20501,213498.0369,227127.176946,241429.174748,256401.88288,279586.3146,303953.4943,329543.92,356397.98553,384557.83858,419822.62742,456816.7264,495624.61661,536348.33278,579080.78476,617657.931014,658038.208326,700165.515452,743923.706568,789242.5629,824918.693064,861700.582656,899722.253376,939168.036098,980235.30536,1019395.167696,1060230.19216,1103121.197248,1148544.118656,1196890.26864,1241534.32109,1288969.5004,1339196.19162,1392136.33652,1447736.63475,1506264.875952,1567672.58599,1631848.568896,1698621.898446,1767903.06306,1842683.051568,1920328.920008,2001171.221792,2085653.57346,2174136.67088,2275947.814144,2382700.026672,2494418.008368,2611041.842744,2732585.64048,2871272.123896
Nigeria,7313977,7951911.658304,8503728.885444,9077980.938696,9674744.447956,10294432.56248,10796894.472756,11318837.690128,11862235.864592,12429598.469592,13023542.8615,13670879.575454,14347729.378944,15061112.022688,15820409.143056,16632466.33914,17533322.128572,18493311.803582,19501078.229256,20538551.206418,21591811.15816,22686025.84678,23794730.66948,24927415.1925,26100055.20322,27325285.44759,28641577.89636,30014376.36015,31439621.30816,32909530.27128,34418316.75074,35989209.764112,37603788.156472,39263920.335974,40972546.296116,42733005.25984,44534458.634476,46391277.57633,48311593.561904,50305981.225552,52383331.88136,54522055.514376,56750541.578382,59069016.626688,61475499.505476,63969178.05,66509554.373878,69141257.734408,71868457.20438,74696218.716576,77628943.41182,80610181.104024
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,5119,5451.9718,5716.91135,5969.51787,6240.93151,6555.74163,7010.541844,7518.953364,8073.315744,8655.526724,9250.28586,9855.667432,10501.679496,11151.96906,11751.079768,12269.98528,12528.488,12700.22478,12972.5388,13605.67428,14794.93632,16467.768804,18701.485376,21328.373976,24095.414992,26815.67921,29409.08274,31927.97426,34401.86061,36897.29484,39457.41263,41912.343374,44342.941984,46750.130826,49142.894136,51510.49969,53961.94294,56363.24034,58572.0896,60395.00075,61699.65984,62461.667456,62734.602864,62558.13051,62006.584304,61161.05989,59989.289076,58557.718698,57135.984706,56082.678522,55645.85199,55948.149876
Norway,1786918,1857227.6608,1927869.645056,1998585.320256,2070248.466176,2143353.35424,2219291.104032,2297184.896688,2376327.374928,2456006.768928,2534593.97148,2574218.148138,2615935.352496,2656406.232072,2695182.162304,2732466.51531,2764299.597072,2795075.70291,2824908.072078,2853751.127478,2882200.629,2898407.31996,2915367.73737,2931351.85728,2945970.24543,2961159.1596,2977124.358768,2996500.91802,3018101.868288,3036047.727468,3051994.31188,3081982.300832,3115321.955592,3149512.722328,3183178.020712,3215508.48576,3252151.798064,3290247.004556,3330431.317488,3373991.524688,3416772.60327,3446826.648628,3478253.812914,3511578.61672,3545331.05662,3582588.1959,3626584.629948,3679487.278244,3741005.625264,3804051.027896,3867496.11704,3930600.48
Oman,92705,100351.503956,109727.338104,119583.959352,129945.94256,140852.92914,154169.385052,168295.514448,183367.739064,199558.135348,217059.69495,237838.29276,260373.315684,285091.69875,312553.06182,343262.02918,379054.622212,418728.9006,462421.414608,510148.386858,561867.50394,618247.259132,678915.7452,743164.237104,809892.837576,878203.22425,945354.999904,1012724.627388,1081855.355904,1155309.828628,1234821.7161,1308712.068468,1388015.527576,1467590.065956,1539959.931164,1599664.98042,1618357.4577,1623449.08001,1620489.47121,1617480.43422,1620438.81747,1632720.612586,1651257.378708,1676565.563306,1708582.312384,1746987.7557,1797311.09184,1854796.258278,1916428.682028,1978013.249838,2036408.5278,2090220.27258
Pakistan,10133071,10528626.811716,10925022.917796,11339617.351986,11772524.105784,12224088.10149,12684650.98796,13165616.446666,13667561.31906,14191006.035416,14736992.49867,15332777.612372,15955515.68915,16610108.625856,17302861.031194,18038982.17366,18848891.01238,19706766.46889,20615075.2096,21576065.69367,22591071.07824,23586267.280592,24629899.377736,25718857.888328,26848673.774868,28014828.3072,29208965.244704,30437084.192256,31687375.810048,32944449.176128,34197629.05104,35442983.04456,36677602.1724,37921092.9678,39202634.68128,40542099.55068,41961968.682984,43440929.876736,44949183.386184,46443249.221544,47891763.98496,49294079.759862,50649939.557984,51981499.67901,53323469.220184,54702542.09703,56143969.582288,57624039.076744,59143284.601728,60699063.550606,62288777.68806,64009394.044784
Palau,,5654.817536,5826.5263,5989.297188,6142.393422,6283.31832,6409.80791,6521.345796,6627.161164,6736.07312,6855.87915,6993.553376,7145.486226,7295.51196,7421.07213,7507.7464,7544.685392,7542.7761,7531.238404,7550.415724,7628.24774,7864.393768,8167.326924,8517.64072,8880.002004,9229.7124,9482.955932,9718.916524,9952.32483,10207.982048,10500.88777,10823.604426,11177.964108,11555.22851,11941.493736,12324.70474,12587.051556,12838.313436,13067.308044,13261.635816,13413.30636,13874.447808,14299.603194,14695.732296,15080.499378,15466.962,15775.391696,16087.801296,16405.069824,16731.411024,17067.09696,17335.342786
Panama,464159,486586.042632,508567.531488,531440.148414,555274.799022,580120.90477,606079.067576,633056.237946,660982.464244,689751.222984,719279.2008,743899.557636,768928.585488,794385.251712,820310.346432,846725.41536,873675.999768,901091.608076,928888.569576,956958.66838,985225.00934,1014641.001882,1044314.821432,1074299.68394,1104676.075596,1135518.71528,1167362.838072,1199735.825334,1232761.90144,1266597.920826,1301362.69916,1358505.938708,1417503.024752,1478352.858976,1541018.462172,1605459.59924,1670078.895422,1736420.746176,1804394.128568,1873872.367184,1944746.61162,2011771.37503,2079901.689378,2149119.74061,2219429.741438,2290820.65861,2356121.03245,2422168.00497,2488881.59681,2556163.84137,2623934.5702,2685431.12682
Papua New Guinea,76978,81522.73626,90103.67526,99048.825,108402.45462,118211.4589,139906.430096,162646.019388,186555.553568,211790.974836,238503.01608,255877.604052,274335.82592,293802.06382,314125.93464,335184.6835,351039.170202,367282.282608,384009.239288,401377.525876,419505.27933,437361.456276,455945.225442,475148.975952,494805.412638,514798.56684,535431.07122,556453.97172,577998.458172,600258.768144,623398.64076,631193.291218,639105.20872,647183.837058,655478.460468,664006.02977,673127.405808,682456.570356,691857.730844,701155.48464,710219.92096,721643.416876,732917.727432,744052.772322,755080.04944,766013.56779,783112.4664,800369.89491,817741.60248,835171.74699,852619.62912,876882.929238
Paraguay,678907,698621.253132,720056.60769,742208.58481,765095.205472,788718.35385,813813.155904,839731.682724,866266.046064,893129.20719,920141.5902,952817.770484,986021.342098,1020056.58561,1055359.188566,1092299.46473,1135501.474992,1180705.826832,1228249.234564,1278531.431694,1331834.88384,1392232.57919,1456022.31756,1522871.8929,1592239.971,1663680.51095,1740215.605876,1818874.367548,1899538.684288,1982112.108418,2066505.1884,2150229.608434,2235461.76864,2322157.565002,2410297.27952,2499871.72815,2588496.7065,2678374.7115,2769600.2655,2862316.37965,2956633.56409,3051894.205338,3148768.328814,3247178.323956,3347001.779352,3448158.1244,3547884.253396,3648849.93837,3751253.629168,3855375.668424,3961414.28952,4066086.78792
Peru,4647955,4885741.542096,5135213.46491,5395962.21888,5667011.96592,5947670.36448,6249056.340868,6560955.220032,6884270.798272,7220336.795096,7570233.69892,7894057.53504,8229658.96824,8577137.95588,8936488.1995,9307584.38907,9661331.252324,10025181.94279,10397827.747824,10777487.066194,11162798.89568,11523681.45544,11887970.0856,12256533.40304,12630830.26096,13011808.61904,13389587.112762,13772945.092116,14160556.301346,14550574.9032,14941551.84837,15333024.47215,15724368.86275,16116231.43842,16509784.56943,16905610.42013,17306082.503332,17708053.521144,18108540.623616,18503510.803326,18890039.50254,19262149.338696,19625800.725776,19981938.643224,20332254.781748,20678446.73146,21013875.238378,21345605.880144,21677735.147476,22015589.327672,22363036.14432,22709594.64348
Philippines,8198312,8218076.929264,8568106.577888,8928739.83768,9297523.086698,9672771.43848,10058171.9811,10450641.31206,10851987.37644,11264887.24032,11691514.56768,12220755.54044,12769796.10239,13339288.365372,13929679.21092,14541492.4816,15119736.506856,15717619.581352,16336196.894646,16976699.47116,17640028.97963,18679154.05716,19761085.53113,20886354.2966,22055202.70503,23267589.38054,24522299.84628,25821312.700444,27161275.052404,28537216.822868,29945369.7812,30645178.9228,31340326.3575,32034772.4034,32734426.1255,33443425.8994,34161993.3837,34888148.521,35621047.1618,36359236.5535,37101052.2035,37901801.218554,38708405.069952,39514117.65042,40310095.594312,41090515.28091,41951713.389,42800603.72049,43645602.73878,44498924.4225,45369513.01104,46368983.97768
Pitcairn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,14159719,14484238.032,14786183.576,15120254.688,15469829.6444,15762095.637,16007078.698,16289650.60668,16575360.85737,16835673.2716,17026266.375,17295263.26,17647419.8655,18018892.296,18405181.51451,18803602.0072,19184970.1956,19565456.7372,19917664.5216,20275891.084816,20663600.769,20985308.799764,21313812.284604,21650364.048768,21984087.856872,22299553.9067,22551430.303044,22779072.18894,22974139.509956,23158202.997276,23350476.1314,23450500.253178,23539639.161864,23616766.045504,23683842.971568,23733222.12014,23768510.31312,23801310.92052,23827066.108908,23842330.369494,23732120.67012,23585293.58464,23554491.86768,23518733.292,23485121.10776,23454955.8792,23401116.672646,23349452.92896,23313672.873946,23290485.386616,23271045.60435,23271556.768
Portugal,3130085,3155370.253552,3212597.47809,3260102.64068,3296444.49587,3317422.0327,3327115.29064,3340475.82224,3360471.9552,3364394.98362,3368354.44524,3388265.91444,3417132.4542,3452290.359,3535362.7616,3708226.1313,3852741.26962,3931802.04445,4012801.8645,4094811.23507,4178516.5892,4264418.177112,4340384.344442,4410617.22872,4477852.109328,4540496.21674,4597139.177076,4648397.806888,4696010.85402,4741529.58,4783458.9047,4839783.548364,4904479.099478,4974464.851574,5049079.688862,5126424.86984,5206652.90387,5290269.66,5376931.0107,5466507.11209,5562752.52564,5664669.655658,5772027.739682,5878805.51445,5979800.71406,6073830.868,6155981.482528,6232120.99579,6302660.039768,6370961.949436,6436232.57076,6492994.992
Puerto Rico,1049310,1102412.9052672,1159845.0274304,1220447.2559616,1280220.2738688,1336428.8,1388128.9617024,1435076.8568064,1480203.418304,1529020.9070592,1585300.68,1635614.4722176,1693249.739168,1755805.8828672,1818826.5877632,1879273.92,1935800.082768,1989919.161696,2042103.54304,2093599.27392,2145230.78,2184208.967616,2222394.8593408,2260063.3248064,2297599.2607968,2335263.04,2378361.3901088,2421671.6111616,2465195.8494784,2508895.2605312,2552688.27,2677388.7393,2801994.3028,2933867.35059,3070431.51943,3209124.47493,3301318.16201,3388652.45682,3465023.643006,3539539.846478,3606623.31435,3637198.933848,3664765.044234,3689947.23552,3713594.757444,3731101.42956,3723972.6811,3710815.4554,3697645.84254,3686024.4386,3676309.32994,3664663.54878
Qatar,38340,43754.308038,48079.609646,52981.687968,58250.923028,63745.23155,69262.183716,75004.50714,81169.819008,88040.646198,95806.97182,104600.95554,114485.817656,124927.866772,135167.95956,144774.97015,153214.045698,160947.514336,169615.888288,181476.99177,198023.04622,219962.85696,246307.90816,275290.656184,304368.11499,331573.406,358147.457568,382985.361152,405302.908112,424297.433112,439547.69492,450224.182984,457304.592432,462491.08744,468169.360056,476292.42258,488136.271732,505114.263584,525699.290424,547351.01708,569156.59627,587009.715002,603988.493526,633854.483,695274.953244,800042.64714,955738.395072,1153819.920288,1370548.39956,1572421.25157,1735137.23415,1847091.856848
Reunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
