Urban population,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Belgium,8435075,8503913.386392,8550315.744024,8627056.38774,8721795.139808,8814175.53379,8887366.869074,8950504.306254,8999365.826136,9038505.612576,9061056.84807,9089909.024048,9137945.57047,9179155.15344,9220531.409394,9259701.36,9293953.314654,9323150.848632,9349584.244004,9375738.451056,9403843.61202,9414420.783656,9422684.805818,9432757.61408,9443437.161144,9457074.8644,9469263.273662,9486163.454592,9525222.538048,9568769.936572,9606260.85883,9650027.06102,9697294.17846,9743317.21075,9781484.63291,9810101.58147,9836215.415924,9866990.69183,9895040.406528,9924719.186662,9955808.975,9993690.77896,10042185.75466,10087925.529792,10135306.054364,10194856.05164,10265779.027584,10344926.5032,10430485.544592,10518288.968376,10618596.2296,10731192.832
Belize,49165,50625.4477725984,52165.1510407872,53733.4233462624,55216.165335552,56540.93016,57730.9103348032,58790.2358416384,59711.7343459296,60492.1952852448,61141.33036,61839.9094354272,62403.2882812416,62943.3777546112,63626.70932464,64556.53083,65721.1861786368,67139.3109983808,68743.962057216,70417.7442286304,72086.04,73721.793923344,75373.41988608,76610.73786,78739.64775104,80472.378,82180.8528,84161.5248,86028.1868,87305.4256,89708.85,92089.472,94470.474,97326.62,100183.222,102802.86,105493.956,109377.88,113505.489,115781.7232,119062.174,121941.1598,124968.0744,128233.3766,131639.0364,135135.498,138762.333804,142579.157,146562.5862,150715.0232,154987.461,159672.6424
Benin,211033,243244.544274,262755.330048,282994.955308,303998.433444,325805.7231,353372.35954,382022.12158,411859.451184,443013.107552,475611.38028,515819.528568,557937.59943,602093.16212,648409.653906,697013.7552,749487.74738,804594.78204,862473.5021,923261.05084,987095.91942,1039556.4372,1094681.431068,1152391.822212,1212517.555372,1275008.60096,1341612.458436,1410743.31252,1483522.318748,1561548.413568,1646016.29445,1723946.767492,1808054.30657,1896602.990256,1986963.860378,2077246.40878,2158384.49905,2238828.21084,2320509.55724,2406340.18568,2498472.1073,2612382.05179,2733635.46985,2861333.1656,2993890.54965,3130069.38271,3278880.83378,3432024.00765,3589394.7688,3750974.27997,3916785.20136,4086647.571292
Bermuda,44400,45500,46600,47700,48900,50100,51000,52000,53000,54000,55000,54600,54200,53800,53400,53000,53200,53400,53600,53800,54000,54400,54800,55200,55600,56000,56900,57800,58700,59600,60500,61000,61000,61000,61300,61700,61800,61900,62000,62000,62100,62500,62800,63000,63300,63600,63800,64000,64200,64400,64237,64700
Bhutan,8064,8848.944,9605.217124,10399.220418,11235.412272,12118.66033,13216.860528,14378.972,15616.88859,16946.416242,18381.41231,20172.655056,22099.76297,24159.74044,26342.54289,28637.37228,31399.206496,34300.017888,37322.195,40439.993072,43631.73556,47335.891824,51077.124908,54930.938594,59029.720032,63467.58158,69027.480592,75054.797334,81187.464456,86837.904802,91526.98,95687.406966,98604.145456,100785.49473,103150.835024,106501.59608,111982.444828,118793.958468,126833.210592,135744.135586,145203.37516,155994.3757,167485.640832,179500.184122,191792.3744,204150.07745,214080.329386,223762.658922,233285.958334,242841.64421,252576.3042,262577.947356
Bolivia,1233398,1271251.5976,1310367.6288,1350754.51836,1392515.04144,1435743.89244,1480638.703608,1527064.754032,1575177.181884,1625172.706998,1677183.67872,1731436.755504,1787719.358944,1845894.074,1905748.656288,1967101.66016,2055351.96685,2146365.466336,2239857.669588,2335431.439264,2432832.49699,2542089.88215,2653672.91959,2768195.62103,2886568.784064,3009563.84029,3137313.300418,3269975.901706,3407879.99686,3551343.769718,3700573.42574,3839023.096944,3982682.326416,4130935.760432,4282864.47742,4437729.45,4573927.411896,4711756.788088,4851326.723148,4992927.140544,5136703.72832,5281413.54245,5428026.65384,5575799.23017,5723735.05406,5871146.37795,6014987.4246,6158181.40281,6301537.9999,6446268.48037,6593320.43751,6740006.188312
Bosnia and Herzegovina,604204,638479.050014,672131.38218,706263.670274,740609.01508,774957.04434,813330.201398,851692.427742,890269.65478,929449.58876,969549.45189,1008630.17884,1048737.86094,1089647.755416,1130965.681372,1172395.46392,1215033.85701,1257762.5543,1300959.37689,1345216.29816,1390988.10048,1419935.374698,1448732.352026,1478762.77254,1512005.426722,1549266.34455,1590547.0477,1637087.62896,1678324.7997,1699532.24273,1690924.24053,1646480.46958,1570842.584552,1482366.184416,1407807.616544,1366759.95764,1369163.062992,1407473.686272,1469369.36643,1534947.281352,1589065.81658,1629371.45856,1658239.433578,1678179.700748,1694509.709676,1711281.0526,1730250.463048,1747772.992728,1764187.671832,1779793.166272,1794831.92217,1811313.02244
Botswana,16240,17254.05332,18542.215348,19904.306898,21344.806976,22868.80783,28426.44114,34319.75762,40576.15536,47222.22645,54286.40806,61868.9978,69929.63082,78529.96664,87753.91968,97679.58728,109308.68522,121812.38952,135170.68994,149311.2704,164165.61069,191373.67392,220113.60939,250425.02052,282391.0635,316092.27372,363675.56782,413780.93386,466453.034124,521741.00448,579669.63143,617012.25082,655585.718328,695213.787866,735650.789596,776660.85897,809068.971344,841497.557956,873630.854706,905071.536806,935550.10575,964301.964008,991914.457182,1019007.393092,1046513.590514,1075135.7636,1103501.96517,1133061.98312,1163396.674724,1193812.350656,1223774.85265,1251235.157224
Brazil,32662018,35327479.448016,37170219.21761,39086646.502492,41058008.04477,43069605.25371,45112172.568582,47193516.86063,49316879.463432,51489096.39454,53716418.98336,56000512.76935,58340475.01287,60744727.94615,63224380.02517,65788335.9912,68394051.066368,71083504.272236,73859909.465748,76726123.84675,79682323.12352,82660437.802176,85722504.012288,88848334.860012,92009877.009336,95184714.26568,98271801.2256,101360946.5895,104449193.16346,107536531.7547,110624425.27932,113592257.246652,116550577.363116,119520843.130752,122533497.099992,125610358.5282,128723582.718336,131898062.723904,135119831.811096,138366745.704876,141619460.21304,144190947.96054,146746080.828776,149260974.487128,151705832.934112,154060441.75976,156257555.049162,158356880.91608,160387963.329002,162394402.22028,164408105.4745,166376434.804448
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
