Debt servicing costs (% of exports and net income from abroad),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
El Salvador,,,,,,,10.5083144368859,13.0822975852273,10.6517298874531,7.67895078484598,7.53926783971796,9.55442176870748,14.8935287610619,21.6986807614628,24.8566398390342,27.210940127817,27.1001366528733,27.3619380220058,21.037161670925,18.220805067517,20.7273296436546,26.6061604674401,23.1511365759988,20.9933082592258,20.3524767115792,13.3765543803418,13.8863570157148,9.20952415532792,14.2337435285611,10.2186397371943,9.70114912303768,10.0952950240429,11.8284747987179,19.0749537478585,21.8500897866953,17.8831223980979,21.9666754691673,18.1212942453468,15.8093449485276,25.1946046128501
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,0.10534272354223,,0.22267442349546,2.92473322420948,4.25542503721459,2.78121917637102,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,,,,,,,,5.76140453512484,6.72743807261457,5.33389423251632,7.82124135226817,10.8953114433135,13.0821514279696,18.7829126122854,20.7361982849544,24.5646394140946,29.7490652591171,36.9371328220199,44.9113064516129,40.7810787172011,38.9838444976077,30.6260963312594,23.8258757257568,18.9237480578463,15.8222937436764,18.4971519995635,41.6243015189322,9.965232183865,12.2316241626705,16.2716511656909,13.675964788323,18.3638669305028,7.91633271428452,7.24352146721571,5.88608467787048,4.73478957747118,6.15885325906291,4.87434735652078,3.13805060550111,3.06219215476826
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,3.90394874837993,6.00297403332364,5.41958751987863,6.81141864880038,7.97740255692741,10.1960633122699,11.7154048001358,11.481878738062,11.8092011877908,10.1404622849519,8.49844506755034,9.1462196276297,9.40319057142856,6.94626125236613,5.94193294598666,6.24643675675675,3.71949708697461,2.12697621815876,1.61438381918213,2.10944715874311,2.50677907614909,2.40758241544775,1.70854163160771,1.64991888379269,1.18620364476064,0.81480367529198,0.86537017415216,0.89028493472167,1.59723238809264,1.23007052549933,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,18.4456233418066,16.0744245064663,17.7489124680567,13.4997196280087,13.0269211186603,10.818304258534,12.7734836775871,11.6188388077136,16.6482783920345,6.86024397953418,9.3723430651607,7.54319984614767,6.39439036204195,11.9835743383132,16.3099508160433,5.87471511179921,10.29464343812,15.3079812692832,10.6228973294668,13.0935751348101,14.0508804430754,18.7593706950328,9.91241488689508,16.2018334102273,15.2752669165417,10.9980748031298,5.57330237288116,3.42381003490257,2.727443975047,36.7966484876107,8.94710389990398,8.13882970666071
