Debt servicing costs (% of exports and net income from abroad),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Indonesia,,,,,,,,,,,,14.0369965431305,18.1260270753032,18.8324222289339,21.8765213073312,28.9125775857788,37.4641748059103,37.1783559898046,40.4406410856341,38.6961906261068,33.4846182332346,34.3668724156529,32.7763557426654,33.8720031735346,30.9696058001216,30.2804882996183,37.1519647567978,30.3264724859434,32.2649975840812,30.6044618396406,22.7496053418268,23.8579836951726,25.1327436229831,26.2213926848408,24.1657956335487,19.7807100687789,24.0418152277332,17.8631967485379,13.486001438516,18.3841372100243
Iran,,,,,,,,,,,6.81228593761103,5.57065953922602,5.43516432577759,4.60073986516067,4.1000881251377,4.10067612799572,7.28972743635896,3.58120294665264,5.59461345740873,3.29195186973125,3.24226865376046,4.1076808924368,5.16900646905475,9.33609629821382,16.4526131707805,29.6912605739789,27.105943805552,31.0480263486202,18.1480483455518,17.3061087082534,9.6806943015499,,,4.18658457711443,4.4982609561753,3.92901248266297,3.2517695035461,2.75928411214953,2.49356373429084,2.14861333333333
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,,,,,,,70.1937639198218,28.2533267130089,59.1247221747307,24.7272503890573,19.7080050647158,25.489198559808,26.3656917803224,29.8166941900616,33.0718244457759,40.382246090665,47.8564138908575,45.8912005874434,41.5305638652142,31.9906918865107,28.4570052049727,30.7837669557483,29.728512306687,21.621165563874,18.63792773238,18.8481005507697,18.9567350708575,17.7215282673058,13.8363605547866,16.5108829906952,18.616749524011,20.7866427610937,24.656776165189,22.3654278481554,20.3620661412833,22.4376140993871,15.9728970480286,23.3813135503117,20.0639140389711,33.9334190175963
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,,,7.9260177158296,9.78040659274575,5.94386029416168,5.12004303326043,4.87761429653214,8.4700634332567,9.83627299854825,12.0582762721617,12.2806458998151,14.4886120140795,14.0654766970826,19.3878008623231,20.6098125457118,25.0910974252462,31.394607376534,33.3505192060104,41.600285375761,24.8502047731991,24.3706326921114,28.5132351958519,25.8665585819458,20.9173804558326,18.6900925204643,16.689078750995,25.8973614556868,22.6024373523331,22.1612380354902,13.7133816271856,17.5836725573224,14.9436662273948,11.7027472375906,21.5179000183501,10.6583915949518,8.30045200562182,7.54071353869411,7.20327359634451,19.6578020224612,4.83817201982681
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,3.89780221605728,4.58947413388013,6.18090850927703,14.4346826193907,19.3903382742041,32.1623071702783,32.2131478438735,34.8006111165726,34.8831442586111,38.0913028370397,42.2334946001507,33.652728644403,49.0638343784717,41.9711358066457,80.2102677742273
Kenya,,,,,,14.936203585306,14.8105378588721,20.4509853048908,13.9747587525573,18.3720759287683,21.0288938456459,26.9655814618668,30.4834280746794,33.7741862696509,34.7954502061256,38.66533070207,35.6063192701908,39.7646764251841,38.988170223685,36.6365651356784,35.4094846868975,32.6118733339266,31.1377664046877,17.0596923714943,20.5638510484174,25.2632483055713,22.389770448963,15.5620349767885,14.851360295618,15.7796302674188,20.9441466209457,15.7723892349219,16.2856619974116,15.7585912963437,8.2261277071618,9.93659343836796,7.06299403569409,6.25411126304449,4.81885584055098,5.03473906167633
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8385139818691
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,0.40539997358584,4.39365801818436,13.2505721279619,13.0914381447844,11.3971988631369,18.8048969025339,20.4645158858253,29.3637033247743,30.7536721578055,19.9403551110066,21.6210095062838,16.9074878569031,13.1905550550306,6.59338792048121,8.60550460229926,11.7900667956785,13.9968750255708
Laos,,,,,,,,,,,,,,,11.5908319185059,9.20560747663551,10.5768261964736,11.4845474613687,13.4842105263158,20.1593533487298,8.54971319311663,6.14088598402324,4.75350701402806,8.30026338893766,4.93545158869152,6.12310286677909,6.52406049495876,6.27068014705882,6.21437246963563,7.68706914560267,7.80579043759498,9.01206964370743,19.520772746157,21.8396226415094,22.6352316425563,17.3492459016393,16.1931889096906,15.2382482924869,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.5972776800849,25.9681874124209,33.8776345619876,23.8407358484075,26.2057465788511,23.7229831775295,17.6411193010914,17.9682507846324
Lesotho,,,,,,0.71393966801215,0.31515221763638,0.22901717648737,0.4701394994124,0.87374263145989,1.49961946375546,1.48028830865223,2.34274931392547,4.7237751892138,3.61278540454116,6.74073311497454,4.6956933758781,3.52111043844323,5.07206979057913,4.66230878906865,4.19574753083148,4.48926469563117,5.2360484353386,5.3223517982505,5.40329648048956,6.09375711948792,5.58993323818169,6.53068348144146,8.54937260680954,10.120108237729,11.340201543898,12.382197816731,11.3594679293523,8.08443868731661,4.60960101552114,7.41123046936461,3.92070272942681,6.98732573132433,2.51991646496134,2.95619406500236
Liberia,,,,,,,,,,13.5119256935836,8.74523468685949,8.60384923918397,10.1564786766112,10.9908943794319,13.1048987284968,8.60294669642328,6.87020965579273,3.73786511277477,,,,,,,,,,,,,,,,,0.21664925653104,0.26302915857653,0.15879406062005,114.184575044186,142.198029611866,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,0.32735818276917,2.85244796502722,1.34073990682152,2.90924488918578,10.3536652897333,14.7104448882366,16.2180956089358,20.9047468850515,16.5797509457503,16.9275366489322,22.5793974861581,14.5856773309386,16.9673454677049,22.7205231202882,38.5011812950532,31.6763798486495,31.0471650820617
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,4.39332749328147,8.75649334044465,10.7993002479823,10.6375829156828,8.23792959506468,13.4832295080598,16.8653848538619,13.514532294049,12.7281249122503,10.3328283012017,17.9915796203035,16.1042480152108,9.07351748405349,14.7990323845257
Madagascar,,,,,29.8773008232236,16.5865096388684,3.28971613011805,37.7526259762772,4.80225703459178,7.86301900371805,19.3582804251742,27.5889401617019,28.733460594318,23.0396862051998,30.9609358780969,42.2352341311943,52.2605371232115,56.7199098056206,52.4416573981741,50.1728355375342,45.880567702086,32.886745062997,18.782632519016,14.8905016468005,9.91667283379896,7.70314454749319,10.2318250515001,26.2357872193136,14.6844415360901,17.1068496550427,9.6469478492805,4.9944836622103,4.86677754660752,5.79873261735134,5.74114528284828,5.80999361121163,3.50462520903313,,,2.2745770176648
Malawi,,,,,,,,10.4200245969013,19.7148472155978,17.4712084889105,27.7758322707008,36.0349220517899,35.0213453648318,29.2575115847354,31.0595087208814,39.834732672741,53.6852887507774,37.4244413696926,30.8825890830285,30.9027976502924,29.3101695616664,24.6761309519737,24.8587817863945,22.3780247759659,22.4441368832051,24.9395153395869,15.9085106349302,14.3907441391444,14.8631491526416,13.9802108458135,13.37089714067,9.46228944628686,7.66183040692616,,,,,,,
Malaysia,,,,,3.88409668974037,5.05303664602444,6.89169507907252,11.4680922744041,13.8139209261222,7.39154084294279,6.29574044558456,8.24671829709872,10.6631998662277,11.5599791497881,14.0749354957179,30.3711302302815,21.7887887571007,21.2223079581331,24.7735790819758,15.0525719345059,12.5549214454615,7.38446048720781,9.06734432408473,8.74488266511007,8.93277099413146,7.02514912157916,8.88839047285733,7.42473451872125,7.15067926523881,4.87117006002042,5.63577974072117,5.97523347294606,7.1905979236752,7.86139211214948,6.19934861616481,5.63057461391148,3.99290741067138,4.80470997715599,3.62291848796994,5.2218853530467
Maldives,,,,,,,,,5.6875,1.40430622009569,0.82208588957055,3.40536912751678,5.28441558441558,9.59896507115136,22.5912838633687,11.2428884026258,12.0952725013839,6.5086919872699,7.47071458384819,6.30640275993178,4.80304678998912,3.73957155615089,3.20343565587832,3.86507904273819,3.41912383178808,3.36060174623724,3.12300618314583,6.99315078400852,3.65919502893997,3.98882401314641,4.23763238379297,4.60110978588355,4.43681943890909,3.68886423042898,4.68674520812384,7.18294671765738,5.20687247509879,6.16535489498836,6.23561405285528,8.29895474277766
Mali,,,,,,4.98075634922537,6.14151335628779,6.2450321642869,6.44470092566999,6.86772089829885,6.23027243949022,10.3761990108841,10.2672366443294,9.71275291820914,13.2565004584299,22.2830903898747,22.2729946041059,20.3435404137124,24.3478308752224,19.7220589416881,15.334448377697,9.60793298013043,12.436431329336,16.5037701266714,21.3463378169733,16.1344455977958,21.1212507649427,12.8237411242114,12.2594429238446,14.8384627895673,13.9647112124434,8.8881482421387,7.60193958907145,6.53329652866435,7.93582615733921,6.88234252856394,4.37317298626306,3.34342007475278,2.61040728710113,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,22.1642221624551,37.6368506741101,22.3766799146683,16.8133554921342,32.9228804347826,17.6094188166243,22.5680499134596,18.6264349757844,15.2000610896904,20.1776944113321,25.3522012759651,22.3257643884392,27.2468026644078,27.8271580034727,21.1237743578968,30.7010547781525,20.0130788121259,20.2755551146432,30.1692340358904,24.7255457415941,23.1182541979768,22.7087165628644,24.6852173331997,27.838533642224,,,,,,,,,,,
Mauritius,,,,,,,2.40211837216796,2.87230260949303,3.82005697210081,5.08735827242091,7.64177399248282,15.4542619826948,17.2749913262541,23.1681783739709,25.2049963380634,23.665757445,14.4206937444352,10.4061573920898,14.149238594478,9.694967733279,8.50803393755911,8.99036835469502,9.00335795403514,6.34507849207831,7.2659539226489,8.73671260763183,6.38407225484934,7.84322949409046,8.13936955861643,6.10213264532172,16.9493663001283,5.79815191892469,7.44593099919719,5.84762876076443,5.82778493981859,5.80571617370737,5.82773640300108,2.88706092359368,2.7955307699831,2.71680859899143
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,65.9675238962221,45.7012465085254,47.744103742176,52.4539413397545,46.7294238164282,46.5324992454797,45.1816054598635,45.6770864946889,34.1120424463071,38.8530018832392,34.1759656558115,21.7229290679366,24.5921603514951,35.6185393065568,37.570026210684,26.9295986094718,28.0648723971033,36.493316057701,33.1228914239943,21.7338079750656,23.1592237841465,31.4816352940434,26.7945931050377,24.6541539328099,23.3049013460843,24.3089424494344,19.1457782176062,20.568476615956,13.4413442480445,13.0293904066573,15.9779417315072
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,2.08177259545674,7.8797397852337,8.19415266106442,11.1531157569239,21.5463154620821,28.668720054757,19.183440747242,19.12464539397,21.9855660966059,11.3619658272737,16.7438428798749,12.2295977560102,15.6736996618722,12.506350612908,14.7813434311535,14.9051585573154
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,17.303735926305,6.5236882322975,10.7406159769009,10.1820848816742,10.7218274111675,10.0398533397099,5.64637470470652,4.00260804769002,6.16711891460495,6.95959819175009,7.25647023931638,33.9450005888588,3.34656257130749,2.8689539748954,2.36104533937403,2.14088486453218,2.65752337460791,4.81331548274817
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.05673384717688,3.38700674567914,4.37461779599354
Morocco,,,,,,8.47152834924114,13.4682646822326,19.0927895008244,30.919500511014,35.8366513566769,44.209063725889,51.0464414853764,58.4390431721656,52.8711860550481,35.8838821728942,45.2239492037292,50.9952018101264,42.4211826625628,32.3613509460982,40.7298493267784,28.3886439041758,34.4388258101213,52.4430741016087,46.0726349914902,46.7447172158791,40.4367784409887,34.4448206635028,32.4275151872312,28.4820875490334,29.1884603506036,25.223863283098,23.1831533941217,29.53489900976,29.3783925676022,17.4819352362739,14.0083787089194,15.1320326590137,14.2133468110986,12.0780156646147,12.4778661997616
Mozambique,,,,,,,,,,,,,,,7.82686008423023,34.4632553075667,54.5994791666667,23.5213675213675,27.0832049306626,29.1462246777164,26.1914609739827,22.5275267050123,22.854103343465,32.9241119483315,31.1805766312595,34.5095663265306,26.0370164723302,19.1666957889219,18.147981285739,16.9905778894472,12.4753479901132,8.55319122028159,6.37066193251838,5.95186727617801,3.79531063515987,3.59577977875638,1.28951151162699,0.91754875512287,1.10450200552515,1.64794885941453
Myanmar,,,,,,,20.8484667714555,19.8515320046227,24.8341312127545,29.5233998388149,28.2684294478756,24.9151146138065,27.2664226209273,38.8871491804657,41.0290666890523,58.1530570965914,70.4644358311442,74.5915021543526,58.6518375707862,67.2919402880383,18.7816524670911,25.9433621333942,8.26013383291072,12.4883441125888,14.285687182926,18.8900834200596,11.371920522972,7.64231304887481,5.40320136749912,5.18983679668942,1.66076561620581,1.35577176931486,2.21369844572074,1.66556267775013,2.01760374392105,1.73495864054847,1.30732517668461,,,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,,,,,,,1.00077570401015,2.81343945591642,6.67238600875005,2.75599505562423,2.87572875115066,3.65653981174544,6.79934413634961,6.96265182572367,6.44236257230794,7.1088746055149,8.56019914415633,9.1016239443226,11.0357512444359,16.0225948850899,15.1500817978839,11.5592426915076,9.35298905201502,8.72260244524706,8.08831076591956,7.92852601929425,6.61827856512934,7.01589448972393,8.11138663379204,8.17636715339056,7.51022728537154,7.83435364664105,10.4229869709588,10.139675162907,9.02845841978795,8.2465736164611,9.94687132030944,8.871655110911,8.32018355517379,10.3685057206665
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,,,,,,,,14.5768863419293,14.6473561962017,8.2385831381733,22.3196498054475,38.4028541953232,44.2127332601537,21.2222001982161,18.4230769230769,18.4749927724776,13.7614583333333,13.4699386503067,7.40297965116279,3.24546762589928,3.90866336633663,152.266954022988,33.5984848484848,36.0920558239399,41.8407727158928,43.0770400212611,29.7957327698876,35.5845139436057,26.2558413622015,18.7499622554911,25.3101712873036,29.8062836466331,13.4557479766774,14.583913965465,7.80777550775147,8.64717704361492,6.8119212962963,14.7180631120783,14.0365589944587,17.1834695731154
Niger,,,,,2.8808703704075,4.71803264840748,4.51565417613742,3.94429170677327,13.3980217567569,14.0182351704238,21.9274530024526,31.8942627203381,55.6166769052569,37.1352547567071,27.0445957076437,33.9625112615293,30.5633824707542,29.5017435503013,34.9380068256358,27.7541147970009,17.8424759854534,25.3419720477125,12.5191558743941,25.1908437849557,24.249700682078,17.0607336312107,14.694785343492,20.1952739000109,16.2236411032501,9.38939907220586,7.7982963421005,8.19269891440536,7.54436176103917,8.63110392288681,7.64299587733336,6.69029513517882,26.6100780210477,3.26846864416128,2.53933689285485,4.46406877257333
Nigeria,,,,,,,,1.03960492310952,1.28252748926422,2.17389389252174,4.145606407643,9.18674517398322,16.1959438179774,23.57823835548,32.9180045602544,32.7565055752968,38.0263136816543,14.1306275912623,30.3650509488197,24.6928235534004,22.5962905019539,22.0563096946086,28.8394368471634,13.3957728117164,18.9467830014405,14.7307273169696,14.7900269332376,8.71141625239471,13.0732615759738,7.54430178170812,8.70952277609116,12.9036445180903,8.13229594050086,5.9646351754688,4.50818136071148,15.3110720555356,11.1727928383487,1.78550320023538,0.66967242768054,0.8141697201094
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,,,,,,,26.0559188122851,30.4736672277864,28.9781334444366,25.8068530229073,26.1837986540521,25.9260111171715,26.7148017519146,35.1225574326271,35.8363083025923,39.6361991379822,39.2569940704528,36.3677522220062,34.527969341013,30.0576395302665,27.4406728138374,24.4638720676354,27.1260043639671,28.2720015722425,38.237689518948,30.9176477272498,30.7147184412149,40.3387222644317,24.6093070579415,32.0331696672122,27.8855231024714,27.9940577408203,23.3143110824118,20.4829260171805,26.2616577683108,12.2665570619182,10.6987347681965,11.2368383800687,11.026208607663,15.0312469887434
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,,,,,,,,11.8721273564731,32.9996558513775,15.8326236583951,6.2095732833194,5.67252469246139,6.78145666744459,6.64775313732449,8.54097197767156,7.32106709983756,8.301219394174,7.6282858752942,0.62001584367573,0.28441323545058,6.17748413239144,5.16030522583629,12.90832161746,3.61544600334663,4.40054788820306,3.40846516251729,10.1022292633247,15.9555788488154,7.33163007694949,8.54514190433182,9.41918751727217,12.2042116722879,19.4700788691521,11.163496608176,14.3085983342191,17.7257681390583,22.0558850019815,5.63958281752909,9.31671747685827,5.49980669128318
Papua New Guinea,,,,,,,16.6403161769875,14.7848822047245,17.5426017442458,9.55475829318066,13.7601852492154,18.9643724632938,25.1865533464408,30.0509350476608,40.0356322681777,32.505843745665,26.9416344727327,25.41091591606,29.0270042317684,32.7774738735586,37.1813368336345,27.1816002104238,28.3639778544512,28.9566557875548,30.8453748349551,20.7771836746232,16.3426770771436,20.5164537643677,14.7585797377999,9.6589515955497,12.854429650162,12.690088509826,15.0979996239344,7.80258170779876,9.04977989948297,8.53029956087268,7.08918851410679,19.253154152011,15.6193644584108,11.7093401557196
Paraguay,,,,,,12.8913601368691,12.1524437548487,10.2430886558627,10.2617051727663,14.1480545730167,21.0180871075098,23.4424495476688,20.8570587369351,18.1232142857143,20.4501501501502,22.9481654047758,26.8782074448862,29.1965113442303,25.9400130761687,9.01370521760038,12.3577374843198,10.141948153967,24.8467309753483,8.1688549443634,6.33838183530812,5.79324137931034,5.28852360900327,6.85173449748862,5.84920277452482,8.32190433183886,11.0704350064997,13.331235212879,13.0014690810626,12.2848230263393,13.07766411397,11.3004527384945,7.65423483986728,6.09955527251964,4.95679437516074,6.06653037926811
Peru,,,,,,,,52.9966882783712,49.7365762782033,33.8543944770319,44.5074188274735,59.0404215013024,48.6484949832776,34.0136647579386,29.8010065425264,27.6859773013871,21.0680189531215,13.2749053842104,9.44113888504522,8.92031400283505,11.0282502896871,25.8790702896923,21.3117258991275,62.3477708760674,19.6470483338615,17.2583541088586,37.1453917051273,38.0776498925816,26.130692595504,30.3945571670537,27.7958460880955,24.0323688718162,35.9996934861081,23.2631374952108,18.3940606453181,28.3703012096103,13.6638522194325,26.5263001307723,13.3349295908656,11.8327855790747
Philippines,,,,,,,,15.6614730878187,28.1306517311609,25.3195523581135,27.2913717644117,34.609250844693,43.8937656171914,37.2339645843581,33.7190594985655,32.009435392194,34.3013089308468,36.8016132548507,31.9233827114195,26.1493914725558,27.5548817930611,23.4948558390375,24.8514808613821,26.0690334887664,19.3280447717721,16.3212738116974,13.5802447596652,9.47579010881551,10.9226130421763,15.9253994163328,16.0223763050386,24.679896146344,24.7982935070618,24.2521018593371,24.6506485975688,20.4454899948692,23.8829526831479,15.6832861408965,19.0790447443737,18.5296307409561
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,4.37525235673766,6.33165378633784,6.81739042990985,6.67605866714157,11.9584780843539,13.6605335196922,9.90817675406516,14.3727318088831,10.8184007699153,11.7266199563764,9.77062042977217,14.6451351645201,13.7988785205909,9.19575453288688,11.4710083688509,17.6854580540945
Rwanda,,,,,,,2.83895182346249,0.96888576563747,1.31327849635827,2.15108290969934,3.86695474964681,4.43541753165538,4.65776155870679,5.89386282708582,6.88317332437686,10.2995739242326,8.18508480617556,13.0456779210031,12.11877217014,17.6466908382277,13.4369248108324,15.4929732529921,19.3056236664449,20.4713379530954,8.29618934229207,20.4861834837837,19.8054382464338,14.5785532986012,17.130882593979,26.7063211044359,25.1757847710147,11.6150249548135,14.2256751180808,15.1395857658048,12.7436245515369,9.71120401925306,8.61034741620672,5.57812326547671,3.64777998443933,4.71888648240376
Saint Kitts and Nevis,,,,,,,,,,,,,,,1.63900080580177,1.8585789742716,1.73345656192237,2.03056366149593,1.90409557900609,2.23559951662713,3.4133638760427,3.43495586756546,3.07938906752412,4.04238009649038,5.32071409347805,5.29479068117313,5.16765805574438,4.67535465996255,7.07322439494695,11.1630957586357,12.6238776822501,13.565300778918,24.7224193349333,25.9787328587775,23.0382601298458,19.7760639683367,18.5649451433408,19.53381732735,18.6934383752986,20.818306728352
Saint Lucia,,,,,,,,,,,,1.44240196078431,1.41830822711472,1.29994574064026,1.11270125223614,1.20329218106996,1.11969895287958,1.42136683417086,1.43175655317867,2.06060475719386,2.20631771511022,3.52932183307641,3.52284817743188,3.37349531876951,3.16489718251995,3.08016950618352,3.58619829816414,3.73739895630821,4.15222264079864,4.90041613571202,7.90055474452554,7.61662229943677,6.29180835817911,7.61451410586382,5.0338793066966,5.95283807181611,7.54276111276259,10.2815956354716,11.1359880076424,8.22712061269278
Saint Vincent and the Grenadines,,,,,,,,,0.45578231292517,0.67664670658683,1.06565656565657,1.37724550898204,3.14408058901451,2.51945854483926,3.59559834938102,4.02905569007264,3.46617360840794,3.25375983791787,2.86467007408259,3.12716566989333,3.18572252905778,4.15507471980075,4.1710847123515,6.86910202475712,7.39957441402527,6.13785367398648,6.57382793620108,7.63152861556566,7.24607607792449,7.97085823424314,7.1730133290053,6.71727724767061,6.50516985007794,7.7956882920787,10.1915361348631,11.3103698127934,14.7698903246004,12.3287987410801,13.04352843942,14.7557520085508
Samoa,,,,,,,,17.5292949702819,27.2772849231542,18.5127470576808,20.6727138758178,25.6263778573466,18.3349277617446,19.3706256672115,21.0372945796583,27.9139102217402,32.3213130422736,25.1818280950206,18.9367652454919,13.8997672586978,10.6192673581186,10.7460564702202,9.86070912893633,8.72380190510033,10.0736766448156,6.57413929184214,5.76374550065445,5.41477607369448,4.63204717934534,5.70400923511604,,,,,5.46845257828603,4.39255108234838,4.64196113005486,4.32897398315642,,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,0,1.96128416928545,0.006371002008474,5.1924105346474,15.7379282078774,20.9044596009089,24.6208671687533,21.775267744209,29.8001623610374,9.84923208945154,39.2455240512657,21.3594389538793,62.793666793217,34.8157248157248,,,,,,,29.0476609052516,33.4948082118335,26.7170229114502,25.6415328797157,27.9969357423507,24.4589345181973,27.1122668692131,39.9431420493096,43.2341030551637,36.5187902241058,37.2526354376183,18.7519453314356,15.656223975934
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,,,,,6.5503345155416,6.05175389026534,6.33999015715595,6.78850548523746,16.5378563185464,17.6716776526707,31.235200522004,18.2425880900057,13.6590186095773,11.9697219928345,17.6313510548885,22.1522269680287,27.8277118279292,34.4275911325354,33.4392380842308,30.2754834969808,21.0906474420008,22.4763977811615,14.55648487437,10.2722641214178,18.0966076636816,17.7581458375811,20.2163374243842,18.6872638165398,22.0139680255159,15.7309339755172,16.2174345931472,14.5318735218969,13.9108954799178,12.7610400303472,14.9906442216632,8.2671097518216,7.31266070764294,6.24981696933702,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.649846310008,29.9965475460283,37.0533208336209
Seychelles,,,,,,,,,,,36.2008903842255,6.20347814899641,2.89730521833985,4.46306265920479,5.83830340213485,7.86026360540575,8.96223631156292,8.94653086720231,9.55013380286135,12.8158351813378,9.13546729568475,8.10216282486494,7.23794351424052,5.78878407489347,5.39912365936276,6.92904055552172,4.57873132285284,3.99928934146914,5.92972108204473,6.15529827425653,4.21188689175673,7.39923427988182,7.75255065591413,5.89609648750886,6.18374467323248,8.04862693209651,20.6418088875572,12.5907451073764,9.43066705507894,7.4345033995504
Sierra Leone,,,,,,,,10.511906761815,20.1423543612252,20.6788247220875,23.7606374749799,33.8324144848128,25.271712306195,20.6422188711921,24.7493947393637,14.6889807088546,39.3945484856312,8.91990655056181,11.7291540332136,4.16296348617893,10.0410201023139,6.83534383660695,16.6320666991814,17.1986082488844,72.6056255238039,63.5728275732198,58.9632185556302,30.5961055711174,44.4924038135339,85.1490864096511,74.752766366553,112.172941342274,13.0959037287378,10.3453947338633,9.82494049688946,6.58728212920874,7.45155620715444,2.62110922040785,1.64868226147263,2.17541879273943
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,,,,,,,,,0.037229758522727,1.89488615993368,0.35076385339191,0.59863399214156,0.60122390380687,0.82437867809981,2.32910565453618,4.48756881150885,5.56802876659041,10.0553083884706,6.69048026511766,9.2148349792531,11.84223201914,11.3443904272152,5.48577336943145,5.79123279285843,8.19766684842302,3.83654735306378,3.86820155704872,2.49292183763189,5.99795535293198,4.8328395936073,7.07852961175544,7.14426425683073,10.9312284933788,9.85292819103225,13.0903693476827,9.06032374987318,2.38091041065197,5.86705026626459,5.22252377083476,4.00029783625284
Somalia,,,,,,,,3.79237709863421,2.86561466788544,2.70671296733203,6.30037908701282,18.4872562159686,7.90308450863441,13.702953778995,20.0569625305882,15.6900006610501,65.7504253446759,39.4517782188733,9.20246211070926,47.5919018332882,,,,,,,,,,,,,,,,,,,,
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,9.36758865359366,9.54104028124681,11.5837678767534,17.2331918464159,12.1661560076607,12.0714349202443,9.77268009624094,11.3438639672534,12.2854661121392,5.73694651435384,3.97083275341696,4.47658248442002,6.50263112540381,5.44768569905869,4.34260879201627,9.26945428531874
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
