Male 25-54 unemployment (%),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
"Korea, Rep.",,,,,,,,,,,,2.29999995231628,2.59999990463257,2.40000009536743,1.89999997615814,2,2.40000009536743,7.19999980926514,6.59999990463257,4.5,4.09999990463257,3.40000009536743,3.40000009536743,3.5,3.70000004768372
Latvia,,,,,,,,,,,,,,,,18.5,13.6999998092651,13,14.1999998092651,15.3000001907349,13.6000003814697,12.3999996185303,10,10.1999998092651,8.39999961853027
Lithuania,,,,,,,,,,,,,,,,,,14.1000003814697,15.3000001907349,17.7000007629395,18.3999996185303,13.8000001907349,11.8000001907349,9.89999961853027,7.5
Netherlands,,,,,,,5.90000009536743,5.80000019073486,5.5,4.5,4.30000019073486,3.79999995231628,4.5,5.30000019073486,5,4.19999980926514,3.70000004768372,2.70000004768372,2.20000004768372,1.79999995231628,1.60000002384186,2.29999995231628,3.70000004768372,4.19999980926514,4
New Zealand,,,,,,2.20000004768372,2.59999990463257,4,5.40000009536743,6.40000009536743,8.60000038146973,8.60000038146973,8.19999980926514,7,5.09999990463257,4.80000019073486,5.30000019073486,6.09999990463257,5.5,4.40000009536743,4,3.79999995231628,3.20000004768372,2.5,2.40000009536743
Norway,1,1.5,2.40000009536743,2.59999990463257,1.60000002384186,1,1.10000002384186,2,3.90000009536743,4.5,4.90000009536743,5.40000009536743,5.69999980926514,5,4.40000009536743,3.79999995231628,3.09999990463257,2.29999995231628,2.5,2.90000009536743,2.79999995231628,3.20000004768372,4.30000019073486,4.30000019073486,4.19999980926514
Philippines,,,,,,8.19999980926514,7.19999980926514,5.80000019073486,5.19999980926514,5.40000009536743,6,4.69999980926514,4.5,4.80000019073486,4.69999980926514,4.19999980926514,5.5,5.5,5.5,6.19999980926514,6.19999980926514,6.59999990463257,6.5,6.69999980926514,6
Poland,,,,,,,,,,,,,11.1999998092651,11.3000001907349,10.3999996185303,9.30000019073486,8.19999980926514,7.59999990463257,10.3999996185303,12.1000003814697,14.1999998092651,16.5,16.5,16,14.5
Portugal,,,2.5,4,4.40000009536743,4.5,3.70000004768372,2.70000004768372,2.29999995231628,2.09999990463257,2,2.5,3.5,4.80000019073486,5.19999980926514,5.30000019073486,5.19999980926514,3.40000009536743,3.5,2.70000004768372,2.59999990463257,3.5,4.90000009536743,5.19999980926514,6.19999980926514
Romania,,,,,,,,,,,,,,6.09999990463257,6.09999990463257,4.80000019073486,4.5,5.5,6.5,6.90000009536743,6.5,7.80000019073486,6.69999980926514,7.59999990463257,6.69999980926514
Singapore,1.89999997615814,1.70000004768372,2.20000004768372,2.09999990463257,3.5,5.59999990463257,4.30000019073486,2.90000009536743,1.89999997615814,1.70000004768372,1.79999995231628,2.09999990463257,2,2.09999990463257,2.29999995231628,2.40000009536743,2.09999990463257,3.40000009536743,4.30000019073486,,4,5.19999980926514,5.19999980926514,4.59999990463257,
Slovak Republic,,,,,,,,,,,,,,,,,8.89999961853027,9.39999961853027,12.6999998092651,15.1999998092651,15.8999996185303,14.8999996185303,14.5,14.6000003814697,
Slovenia,,,,,,,,,,,,,7.30000019073486,8.19999980926514,6.5,6,5.80000019073486,6.40000009536743,6.09999990463257,6.09999990463257,4.30000019073486,5,5.5,5.40000009536743,5.19999980926514
Spain,9.5,10.3000001907349,11.5,13.8999996185303,15.3999996185303,14.3999996185303,12.6999998092651,11.3999996185303,10,9.19999980926514,9.69999980926514,11.6999998092651,15.5,16.3999996185303,15.3999996185303,14.8999996185303,13.6000003814697,11.5,9.10000038146973,7.90000009536743,6.40000009536743,6.90000009536743,7.09999990463257,6.90000009536743,5.90000009536743
Sweden,1.70000004768372,2,2.29999995231628,2.09999990463257,2,1.89999997615814,1.60000002384186,1.39999997615814,1.10000002384186,1.29999995231628,2.79999995231628,5.80000019073486,9.30000019073486,9.39999961853027,8.60000038146973,9,9.19999980926514,7.80000019073486,6.5,5.30000019073486,4.30000019073486,4.59999990463257,5.30000019073486,5.59999990463257,6.19999980926514
Switzerland,,,,,,,,,,,0.80000001192093,1.79999995231628,2.20000004768372,3,2.29999995231628,3.20000004768372,3.90000009536743,2.79999995231628,2.20000004768372,1.60000002384186,1,2.20000004768372,3.40000009536743,3.5,3.09999990463257
Turkey,,,,,,,,,5.5,5.19999980926514,5.80000019073486,6,5.90000009536743,6.19999980926514,5.09999990463257,4.80000019073486,4.5,5,5.90000009536743,5,7.09999990463257,9,8.89999961853027,9,8.89999961853027
United Kingdom,,,,,,,,,,,,,,,,,,,,,4.09999990463257,4.40000009536743,4.09999990463257,3.79999995231628,3.59999990463257
United States,5.30000019073486,7.80000019073486,8,5.80000019073486,5.40000009536743,5.5,4.90000009536743,4.30000019073486,4,4.5,5.80000019073486,6.5,5.90000009536743,4.80000019073486,4.40000009536743,4.19999980926514,3.70000004768372,3.29999995231628,3,2.90000009536743,3.70000004768372,4.80000019073486,5.19999980926514,4.59999990463257,3.90000009536743
