Row Labels,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8,11.6,,,,4.79999999999999,5.29999999999999,,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6999999999999,,,,,8.09999999999999,,,,,,,,,,,,9.9,,,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.1,,,,,,21.1999999999999,,,,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.1,,,29.6,,,,,,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5,,,,,,,,20.3,,,,,,,17.5,,
Nepal,,,,,,,,,,,,,,,,60.7999999999999,,,,,,,,,,,,,,,,,,,,,42.8999999999999,,38.2,,,43,,,,,38.7999999999999,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.59999999999999,,,,,10.3,,,7.79999999999999,,,,4.29999999999999,,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,45,,43.6,,,,,,39.8999999999999,,,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.1,,,,,,,,,,,,,27.1999999999999,,,,,,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,11.3,,,,,,,,,,
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,31.3,,,,,,,,
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.29999999999999,,,,,,,,,,,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,24.6,,,,,,,,,,,,,,,,,,,,,,18.1,,,,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79999999999999,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,,,,5.7,,,,5.2,,,,,5.4,,,,
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6999999999999,,,,,26.1999999999999,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.39999999999999,3.7,3.79999999999999,3.5,,,,,,,
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.3,,,,,,,,20.3,,,,,18,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,,,,,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.29999999999999,,,,
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3,,,,,,,21.8999999999999,,,,,,,20.3,,,,,14.5,,,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6999999999999,,,,,28.3,,,,
Singapore,,,,,,,,,,,,,,,,,,12.1999999999999,,,,,,,,,,,,,,,,,,,,,,,3.29999999999999,,,,,,,,,
Solomon Islands,,,,,,,,,,,17.6999999999999,,,,,,,,,,,,,,,,,,,16.3,,,,,,,,,,,,,,,,,,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.7999999999999,,,
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.3,,,,,,,,,,,,,22.8,,,,,,,21.1,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.3999999999999,,,,,,31.6999999999999,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4,,,,,,,,,
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.09999999999999,,,,,,,6.09999999999999,,
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,,,,,10,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9,,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.1,,,,26.8999999999999,,,25.3,,,,,,16.6999999999999,,,,
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3999999999999,,,,,,,,,,,,,,,,,,,7,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.6,,,,,,,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1999999999999,,,,,,,,,,23.1999999999999,,,,,,,,22.3,,,
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,,,,,,,,,,,,,4.4,,,,,,,,,
Tunisia,,,,,,,,,,,,,,,,17.1999999999999,,,,,,,,,,,,,8.5,,,,,,,8.09999999999999,,,,,,,,,,,3.29999999999999,,,
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.69999999999999,,,,,7,,,,,,3.5,,,,,
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.6999999999999,,,,,,21.5,,,,,,19,,,,,16.3999999999999,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.09999999999999,,,,,,,,,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,1.1,,1.3,,,,,
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,,6,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3,,,,,,7.09999999999999,,,,4.4,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.8999999999999,,,,,,,26.6999999999999,,,,,,20.1999999999999,,,
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,
"Yemen, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.6,,,,,,43.1,,,,,,
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1999999999999,,,,,19.6,,19.6,,,23.3,,,,,14.9,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,11.6999999999999,,,,,11.5,,,,,,,14,,,
