"Services, etc., value added (% of GDP)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bolivia,,,,,,,,,,,46.1952208799929,47.7344573234984,44.8695434019067,42.2644163150492,40.3227793519773,45.4739037851462,45.7460275473766,45.2054137070455,46.6463121123351,47.8659406641325,48.5526380452062,48.0459835810551,47.6540917361351,43.6136484000773,43.925907988711,44.5888255342024,46.5260655457869,48.9754971921475,48.8541299578193,48.9762395909142,48.493706232574,49.2591300489115,50.4146125231404,51.7568265006436,51.2993706031475,50.0034483428855,51.3462522988716,52.2089594466279,54.9645891263529,56.2456194228258,55.1999883498725,55.6057771348557,55.8058246386715,55.1904950484405,53.6511299639349,53.5938244428115,51.0423844931831,50.7333213244538,48.1740229146412,49.9261496086776,49.8564159439207,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.2913881242627,53.6,43.483556638246,47.9468094171305,47.1490991464359,54.1817833199907,66.3936910062224,66.1009075338464,68.2298374411086,67.6426054334409,64.3547123374798,64.3612531691073,64.8981844786839,62.61155472325,62.4455952427776,63.9029060181296,64.390900058908,
Botswana,43.2614701013479,45.8480847237247,48.2301383396581,50.098194413934,48.1253339477572,46.9512195121951,46.3414634146342,,,,,,,,,36.4856493908734,38.5611027063372,39.3395133256084,37.6056659812657,34.8226466575716,34.5741324921136,38.4437596302003,39.1323257583995,37.0274309829436,35.0263602219083,32.4087962374476,31.9801023659274,31.0530936047079,28.5106150142263,30.083473022302,34.1267608846046,36.2467180218881,39.0002771405041,41.9432308410958,43.6902349621728,44.7492237252975,42.804102963159,41.4735597613369,42.4317983103581,42.5730232936037,44.6511626482181,41.0156413981055,43.1384618654842,48.0294466692377,47.0163368115845,47.6139959118256,43.8818148492664,44.7831521029838,45.4219044888791,56.6483841587397,52.4393386746475,
Brazil,42.3405010311281,38.7581442140124,49.3204619308456,44.6045092431194,47.7610347702097,47.7106636364306,49.1827150708563,51.0405636525688,49.4899847961162,49.4225437315221,49.3541060228612,48.9370378570438,48.5680282903701,47.6384393541359,47.0170601537754,47.7273466232097,47.2833219764769,46.6804349256592,48.2547959220045,48.3467999483918,45.161109983878,45.5449095254764,45.4443929009451,45.1101793775607,42.8244494107103,43.146495871336,43.6824323906743,44.1101102713434,46.2383973285262,48.8101504739955,53.21,56.05,53.58,50.83,50.15,66.703020280106,68.5023017595408,68.474599277165,68.8169100283489,68.5812609528819,66.665328958702,67.1029506156726,66.330434700647,64.7680933053087,62.9729387483443,65.016802795273,65.7479773104865,66.6261192783818,66.1929273585516,68.5006164409302,67.4116385661127,
Brunei,,,,,,,,,,,,,,,8.14922406543842,9.14669361825007,8.42126219390802,14.214062647866,18.3049465482877,14.8939659838284,14.5410097028502,17.4589408640035,19.4674264423867,21.7001686382156,25.4632211687426,26.9765101969738,39.267076875146,38.5612577358686,45.5196867843688,39.2357593291699,37.4755240557906,39.405221735731,38.635713866471,41.6875322580645,44.9729184686849,44.5674625931446,42.5737636212394,42.7273100945963,47.0558657817109,43.5804282416314,35.3058138770448,38.8229859396776,38.2444119918975,34.6302570203238,31.0193773384194,27.4930676083314,26.1179207497065,28.0051358730984,25.2516190392148,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,30.8989202088128,29.7266541448357,24.9674562079236,25.1221306164285,24.1126745511542,25.2542025677121,21.7397977661703,29.0921232151244,30.9584315512405,31.7646562431508,33.776529127548,39.2970124328342,43.5678684051292,51.5150380105028,51.8847354433652,56.4340301836901,60.5871775829402,47.2961974867331,54.3152099552289,59.0237320026764,60.555583179929,59.9844746324374,61.215317594366,61.0510568570882,62.0013194415208,61.945080691341,62.262018271168,62.1693176035788,62.4309140566535,63.8204206800288,63.2572680961088,
Burkina Faso,39.6217564632396,39.8349864395441,40.328151256452,38.436944266103,38.4147857726525,43.1988806088415,42.409576443767,43.179965996245,44.3776567796701,44.2096039895644,45.778462710301,42.650727159357,42.5617413128898,41.7162498795226,43.6677322671825,42.4332017336475,41.1210978414192,46.8923865691931,45.3386927595176,48.4453506427353,50.1079693555584,49.9373670489014,52.1278986897005,50.9663267478409,50.4923728464034,45.3826563431442,48.0853729437583,48.3628123805394,48.1028126853752,48.6494010078331,50.2443302959417,49.1586118412654,49.2134687268182,48.5610344281916,43.0028124225586,43.2894069860715,41.1044225577911,42.4186856679145,41.652701253333,42.1955023065018,46.5983688972634,44.1290485517263,43.9773538288419,42.7578581440583,43.9821103892789,43.2220597748506,44.3571355549661,,,,,
Burundi,,,,,,,,,,,19.2010302718716,20.3039648854814,23.0728645592239,19.5642305946437,21.0528613728557,20.8503914618345,22.4176684655858,22.1626491560547,23.1892014807197,22.8064985528567,25.1310822284632,25.2700251523653,27.6960944064107,27.253489749542,26.0288217168285,25.4607984531753,27.9596013742355,27.7616979469626,29.087678514581,26.6565692372144,25.1580599272924,26.0931706828262,25.2938071695502,24.9333053274596,30.7438309541358,32.6071910680306,30.1480704805108,34.963086776527,36.8337006357019,38.4544525118055,40.8073560472663,41.44899020693,40.8734006349931,40.997408628491,40.997408628491,45.1391716541045,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.491072402195,37.9497606324717,35.5502457658621,37.7030764585597,36.5799646706134,36.2568160702811,37.5500870358569,39.132330499245,40.3471514307525,41.5169863436244,40.1431926836519,41.6521161028993,41.2297061983204,40.7717383918676,41.3391391722836,41.3364961704667,41.2911002159442,40.7284633441284,
Cameroon,,,,,,46.9673955945027,47.4892479508834,48.762485063739,48.9961384368248,49.8427113075028,50,49.7651216782942,49.1790256353654,50.5899057404065,52.5900237622797,52.6375947477982,53.4296042069392,47.9616300076302,52.6896043910241,48.5346658934137,43.1319954356603,40.7354776399964,39.2408755394566,40.9673306658646,38.7563668601555,42.4782133417631,44.0475173637537,45.1270464468157,46.1640701891722,44.2374601694146,45.973852340176,45.6854337170237,46.9655115953524,47.0166530198693,44.033844796522,45.0158663803751,45.5606888418747,44.6956175266408,45.4478912057482,43.5560266420396,41.8484405972382,45.2250601036554,45.8474047753915,47.5922702602177,48.8561024949693,50.1017887221061,48.7501113180565,49.8907768363549,,,,
Canada,,,,,,54.6631966461835,55.0819353824391,57.1795936338161,57.5565742976517,58.1195100635206,60.1970981951671,60.5184546012907,60.7895334721771,58.1816274427705,57.1976876477871,59.0881007783101,59.9739746509698,60.0621837321041,60.0017045945886,58.5950876092876,58.7986020533655,60.0228052865726,62.1294140038962,62.0293290416129,61.1078323720488,61.4312480505685,63.7776359746256,63.6980226531004,63.6055856730019,64.3627411453199,65.8305934077073,68.0167334284978,68.6514600170697,68.3263628175746,67.2643918941626,66.3652906477964,66.0873903302404,66.6361784138272,67.4140672436075,66.3158160876075,64.5175162261358,65.8788172958708,66.8548587810615,66.6543526503927,66.214185763292,65.7979466523186,66.452911463998,66.7681036754258,,,,
