Male 15+ unemployment (%),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
"Korea, Rep.",,,,,,,,,,,,2.79999995231628,3.20000004768372,2.79999995231628,2.29999995231628,2.40000009536743,2.79999995231628,7.80000019073486,7.09999990463257,4.90000009536743,4.5,3.59999990463257,3.70000004768372,3.90000009536743,4
Latvia,,,,,,,,,,,,,,,,21.1000003814697,15.3000001907349,14.5,15.1000003814697,15.3999996185303,14.3000001907349,12.8999996185303,10.6999998092651,10.6000003814697,9
Lithuania,,,,,,,,,,,,,,,,,,14.6000003814697,16.1000003814697,18.6000003814697,19.7999992370605,14.5,12.6000003814697,10.8999996185303,8.10000038146973
Netherlands,,,,,,,7.19999980926514,7.09999990463257,6.30000019073486,5.40000009536743,5.30000019073486,4.30000019073486,5.19999980926514,6,5.90000009536743,5.09999990463257,4.40000009536743,3.29999995231628,2.70000004768372,2.29999995231628,2.20000004768372,2.90000009536743,4.19999980926514,5.09999990463257,4.90000009536743
New Zealand,,,,,,3.5,3.90000009536743,5.5,7.19999980926514,8.10000038146973,10.6999998092651,10.6999998092651,10,8.5,6.19999980926514,6.09999990463257,6.59999990463257,7.5,7,6.09999990463257,5.30000019073486,5,4.30000019073486,3.5,3.40000009536743
Norway,1.60000002384186,2.40000009536743,3.29999995231628,3.20000004768372,2.09999990463257,1.5,1.70000004768372,2.90000009536743,5.09999990463257,5.5,5.90000009536743,6.5,6.5,5.90000009536743,5.19999980926514,4.80000019073486,3.90000009536743,3.29999995231628,3.40000009536743,3.59999990463257,3.59999990463257,4.09999990463257,4.90000009536743,4.90000009536743,4.90000009536743
Philippines,,,,,,11,10,8.60000038146973,8.10000038146973,7.40000009536743,9.30000019073486,6.59999990463257,6.19999980926514,6.59999990463257,6.59999990463257,5.90000009536743,8.19999980926514,7.5,7.30000019073486,8.5,8.19999980926514,8.69999980926514,8.5,8.89999961853027,7.80000019073486
Poland,,,,,,,,,,,,,12.5,12.8999996185303,12,10.8999996185303,9.39999961853027,8.89999961853027,12.1999998092651,14.1999998092651,16.7000007629395,19,18.7999992370605,18.1000003814697,16.5
Portugal,,,,,,,,,,,,3.40000009536743,4.5,5.80000019073486,6.30000019073486,6.30000019073486,5.90000009536743,3.90000009536743,3.79999995231628,3.09999990463257,3.09999990463257,4.09999990463257,5.40000009536743,5.80000019073486,6.69999980926514
Romania,,,,,,,,,,,,,,8.19999980926514,8.10000038146973,6.69999980926514,6.19999980926514,7.09999990463257,8,8.39999961853027,7.69999980926514,9.39999961853027,7.90000009536743,9.30000019073486,8.10000038146973
Singapore,2.59999990463257,2.40000009536743,2.90000009536743,2.59999990463257,4,6,4.5,3.20000004768372,2.09999990463257,1.89999997615814,2,2.40000009536743,2.40000009536743,2.40000009536743,2.59999990463257,2.59999990463257,2.29999995231628,3.5,4.30000019073486,,4.09999990463257,5.30000019073486,5.19999980926514,5,
Slovak Republic,,,,,,,,,,,,,,,,,11,11.8999996185303,16,18.7000007629395,19.5,18.3999996185303,17.2000007629395,17.2000007629395,
Slovenia,,,,,,,,,,,,,9.80000019073486,9.60000038146973,7.80000019073486,7.5,7.09999990463257,7.59999990463257,7.30000019073486,7.09999990463257,5.30000019073486,5.80000019073486,6,5.90000009536743,6.19999980926514
Spain,12.8999996185303,14.3999996185303,15.6000003814697,18.3999996185303,19.5,18.8999996185303,16.7000007629395,14.8000001907349,12.6999998092651,11.6999998092651,12,13.8999996185303,18.7000007629395,19.6000003814697,18,17.3999996185303,15.8000001907349,13.6000003814697,10.8999996185303,9.60000038146973,7.5,8.19999980926514,8.39999961853027,8.19999980926514,7
Sweden,2.40000009536743,3,3.40000009536743,3,2.79999995231628,2.70000004768372,2.29999995231628,1.89999997615814,1.60000002384186,1.89999997615814,3.59999990463257,6.90000009536743,11.1000003814697,11.1000003814697,10.1000003814697,10.5,10.6000003814697,8.89999961853027,7.5,6.30000019073486,5.5,5.69999980926514,6.40000009536743,7,8
Switzerland,,,,,,,,,,,1.20000004768372,2.29999995231628,3.09999990463257,3.5,2.90000009536743,3.40000009536743,4.30000019073486,3.20000004768372,2.70000004768372,2.29999995231628,1.70000004768372,2.79999995231628,3.79999995231628,3.90000009536743,3.90000009536743
Turkey,,,,,,,,,,,,8.80000019073486,8.80000019073486,8.80000019073486,7.80000019073486,6.90000009536743,6.5,6.90000009536743,7.69999980926514,6.59999990463257,8.69999980926514,10.6999998092651,10.6999998092651,10.5,10.3000001907349
United Kingdom,,,,,,,,,,,,,,,,,,,,,5.30000019073486,5.69999980926514,5.5,5,5
United States,7.19999980926514,9.60000038146973,9.60000038146973,7.19999980926514,6.80000019073486,6.69999980926514,6,5.30000019073486,5,5.5,7,7.69999980926514,7,6,5.59999990463257,5.40000009536743,4.90000009536743,4.40000009536743,4.09999990463257,3.90000009536743,4.80000019073486,5.90000009536743,6.30000019073486,5.59999990463257,5.09999990463257
