Total above 60 (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Belize,5.79710144927536,5.12820512820513,6.38297872340426,5.71428571428571,5.73770491803279,6.71641791044776,6.25,5.52147239263804,6.28272251308901,5.47945205479452,5.95238095238095,5.31914893617021,6.05095541401274,6.12244897959184,7.75401069518717,9.42928039702233,11.1627906976744,13.2450331125828,15.0423728813559,17.1079429735234,19.5652173913043
Benin,11.0785749145925,9.6045197740113,8.81445570736007,8.2794830371567,7.72298767222625,7.14285714285714,6.54494382022472,5.92089298713904,5.42118432026689,5.0314465408805,4.94068178405166,5.00762582613116,5.01465320742429,5.10894064613073,5.35523613963039,5.79004722121322,6.35714285714286,6.99091708174626,7.74362258512114,8.61417709099828,9.59421344736603
Bhutan,4.16666666666667,3.57142857142857,4.44444444444444,4.296875,4.05405405405405,4.73537604456825,4.72813238770686,4.98960498960499,5.30164533820841,6.11439842209073,6.77361853832442,6.62557781201849,7.06214689265537,7.79220779220779,8.76979293544458,9.59537572254335,11.0987791342952,12.7408993576017,15.2331606217617,18.6304128902316,21.6189536031589
Bolivia,5.60265388868411,5.55370801463252,5.49253731343284,5.54518794988003,5.53312752315364,5.56839672200042,5.52444942142591,5.63191418035535,5.99700149925037,6.22828120823309,6.46790093772542,6.69934640522876,7.17989629038692,7.78586565926472,8.584686774942,9.50687146321746,10.6389506788372,12.1100917431193,13.6601584606678,15.4078549848943,17.5062043061238
Bosnia and Herzegovina,6.08336462636125,5.60081466395112,6.0062893081761,6.56461583750368,7.74410774410774,8.1131571924206,7.99897776641963,8.70514064015519,10.4505341384115,13.2313231323132,16.5899864682003,17.6719576719577,19.1008246874169,21.7064663268044,24.5375408052231,27.4466315497643,29.8096050014209,31.8768328445748,33.9519318527533,36.4328784512853,39.1824526420738
Botswana,7.03883495145631,6.60980810234542,5.55555555555556,5.36912751677852,4.6242774566474,4.16156670746634,3.86571719226857,4.05172413793104,4.14507772020725,4.32537120723047,4.76190476190476,5.3804347826087,5.91506572295248,6.88836104513064,7.58868432869331,7.91274593669803,7.92933442892358,7.9825258141382,8.80769230769231,10.4399701715138,12.4002900652647
Brazil,4.86874038942513,5.03919729037798,5.32277576157484,5.42399411827485,5.69949266077028,6.01041348759352,6.19228903378584,6.31514003040786,6.8074693623764,7.343682355124,8.1280321515717,8.89606655523967,10.1527959718356,11.9064989352473,14.0223485065917,16.5459953976539,18.8836082635646,21.2071882281592,23.9135471034737,26.8794668024514,29.300450318518
Brunei,6.12244897959184,7.8125,6.09756097560976,5.8252427184466,5.38461538461538,4.96894409937888,4.63917525773196,4.44444444444444,4.28015564202335,4.06779661016949,4.49101796407186,4.8780487804878,5.88235294117647,7.93650793650794,10,11.1545988258317,13.5779816513761,15.3979238754325,17.1900826446281,19.1153238546603,20.7317073170732
Bulgaria,10.1641152944422,10.6414188558474,11.3907958301551,12.9480614484272,14.7148916116871,16.0894495412844,15.6510945610472,17.4868876241491,19.2765619684772,21.3499281953088,22.162567111999,22.8811369509044,24.5265404107762,25.9396943411813,27.3232611174458,28.64336492891,30.1793444650588,32.2392886014551,34.7252747252747,36.5806223479491,38.2047477744807
Burkina Faso,3.77358490566038,4.3338683788122,4.68220338983051,4.86613249951143,4.88674870697343,4.89148040168448,4.75218658892128,4.50532329265126,4.17422867513612,3.85071090047393,3.60599571734475,3.49818181818182,3.27929255711127,3.22953923837576,3.42919848200814,3.80078109272456,4.28806643281552,4.86287089013633,5.5225050059491,6.2684033212192,7.0776087968065
Burundi,5.17100977198697,4.95529061102832,5.10204081632653,5.19925280199253,5.34698521046644,5.4921152800435,5.40082344393316,5.07884497235306,4.68227424749164,4.45849546044098,4.38813349814586,4.36432637571158,4.43609904940735,4.96227818510254,5.50547639817776,6.01146747894642,6.47783457638482,7.1608832807571,8.34822758415252,10.215319449347,12.2996093223764
