Total reserves (% of total external debt),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Burundi,,,,,,,,,,,102.84510733346,130.078247198342,269.02406375736,277.521963316324,152.234716003814,159.172954833643,219.816846927965,203.095384460633,111.622151703923,71.0232125372353,63.1511439708665,38.1528277264714,16.4257561956259,10.8892493263609,7.19557014984922,7.71349190520064,13.2890377451436,8.97487489279867,9.54794021921038,11.9847566695505,12.3127030212683,15.3065211163814,17.525281077827,15.9256652116342,18.7424676686861,18.5986976937188,12.9065609227979,11.0424544573753,6.28263922606237,4.66825394237976,3.39767133792531,1.66983716831145,4.86987411180184,5.07238475265775,4.75944222351541,7.60881721808636,9.28875099611205,12.168421356346,18.5329106331197,63.0203783897397,61.8305737110474,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.32829674785583,6.20835067052386,8.40734181167274,11.2918747943897,12.5327299603498,17.8308653091941,20.2291533393987,23.2663330372263,25.8617347191698,31.4858749706446,30.7627109254405,32.5183129343703,32.944076577993,40.0206250869344,56.9084197624746,62.6175022643578,75.2970045240136,81.6297017176628,
Cameroon,,,,,,,,,,,55.3778880302126,40.8669383771394,19.6953137067469,19.2377906818306,24.2685252112618,6.53086791878834,7.17011080225398,4.03118571069406,3.64092533082687,6.48734164282454,8.02112512914032,3.66511604724508,2.88258106662817,5.88534681204911,2.17899775169352,4.50023682759335,1.70990316776514,1.70606832642451,3.90904152052533,1.71295365147918,0.564952446758403,0.792093982765454,0.403697018125845,0.184382282649937,0.14835471214122,0.140388638049926,0.125264200427601,0.089656607036124,0.089211069823225,0.124240492547874,2.13324853115163,3.57292326764004,6.49381683487351,5.98833698441872,8.18029676616332,13.2641532159305,53.5107190240734,97.60291198929,112.966723112864,124.778666380361,122.889874680562,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,96.0691857600277,72.4205086729411,64.0238154613464,53.7573501528768,58.3210246478366,49.7431647487207,62.3216700941325,65.4068049849212,59.2966052810408,57.542886609973,48.4945797035448,53.351497886406,39.0923999620529,23.9188220415182,17.2297221921639,13.6037786919405,9.35609948686192,3.37053919988712,13.0053785614077,8.86094195917311,13.1502317366561,20.616556734025,21.2509964701855,30.1221089229519,36.5028949734376,48.6303413615183,62.8815799657602,57.8175313541709,56.2913320722361,44.5787559012511,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Rep.,,,,,,,,,,,5.75126295504639,0.741175771271773,4.66827091296588,3.17512296021702,2.54198070134418,4.83715469320994,19.9083192359158,19.9082919736404,18.3019017560002,31.6466610350224,31.6950182935924,31.6099430380212,20.3487296248508,19.8293972304243,21.2797493341463,15.5019500973607,15.0896582387621,16.5254752759984,16.8992717502245,16.9444571736874,17.5960175023072,13.4618093197829,12.7524742897724,13.292540878421,24.1287083468752,25.1533612210744,25.3383755983921,20.5882072979593,16.2059524398889,15.3069861069271,15.8508172269307,14.7842462013219,11.8405010874076,13.0270796142445,14.2001574218626,14.2134126116569,13.1166779677382,9.57170403569105,13.7809601390816,53.4409677103733,47.0861962271684,
Chad,,,,,,,,,,,6.56007959185212,23.8864081289696,27.5769437249871,3.06680368904261,20.0802703450216,2.13845144346586,14.9307367564082,9.53628369022705,4.88019884539873,5.54528480048228,4.14193797578711,4.57106567632057,7.98683590523411,14.7408003395039,24.5320273533851,17.1326777820908,7.69397176409716,16.5196719351446,17.0921073502262,29.1427603255478,25.6844530593391,20.0669115370857,13.1202406854349,6.25210413443492,10.2390052404074,17.4394917342571,17.8099938613972,14.5312340720377,11.9701447003035,8.96173837610361,10.4516425361133,11.5542774032168,17.5809298837213,12.5530910870363,13.8206512556501,14.6003056391671,37.047721974038,53.6688557583301,77.4319705558004,35.3199833531552,36.4816855848843,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,13.1551988781836,7.50734223313112,5.21817941466076,7.16135160824862,5.89907740379514,4.30892572784295,10.4112801905983,11.0728618339145,19.0427835670005,29.0412818453858,34.1656797396747,24.8335067356872,14.9997647739134,14.6114573265318,14.057659050652,14.4715342092765,14.4384276962546,15.7328326593351,19.9612220794211,24.0182241144468,35.284451786676,42.90381998673,51.1648359212159,51.8595803925672,62.2954731125238,67.4262121787586,57.0258295445936,66.9733125520416,48.140230604191,43.0254342484829,40.4284740588581,37.3019191401466,37.2699072582345,37.0390907377467,36.5570003412397,37.2697072290467,38.6434881242609,29.9755020629571,35.2791136122115,34.5777817417114,32.226650674519,
China,,,,,,,,,,,,,,,,,,,,,,174.322325480244,205.208206683811,206.378149788683,176.142897981342,101.108527845601,69.2153960011676,63.5351617854825,55.9663082004185,51.30491942685,62.3413805553714,79.92976605704,34.3135922949528,31.8268786477264,57.5185629870163,67.9893117109274,86.7345399136509,99.8302950261852,106.154249767773,108.8876408888,118.180656201177,119.751418730304,161.049651747249,201.859294962091,253.702935184027,293.831141661408,334.846876694248,414.482553708521,517.650577566743,567.54124262235,531.165099028992,
Colombia,,,,,,,,,,,9.26564609224759,8.17461008896656,11.9116222492285,17.7715216116095,15.2720336355748,16.8341549182862,32.7403160215979,40.2322108842124,55.0728599370361,85.7045934991203,93.2748106563118,69.7363148790004,54.3874062602559,30.7733705506995,14.8314960291593,15.4218554667719,22.6600297289375,20.0670959186075,21.7430099999653,22.8732725153153,28.2689929371073,39.7569086323473,45.7694567468805,42.4906529137198,36.9346366265396,33.7481226025222,34.3929251476892,31.018608061209,26.4590410255198,23.537342291245,26.5373693376074,28.2637275209711,32.6595419064296,29.5159368394292,35.7072399271339,39.6206601944413,40.5732294094668,47.9471613553149,50.9830905749068,47.9422217757069,44.5200341931396,
Comoros,,,,,,,,,,,,,,,,,,,,,14.4908088312072,15.298415036534,15.7106951429847,12.8378006455509,3.51669350324017,8.89177555401058,10.6680651676958,15.2204454877423,11.8871528043086,17.5142083292966,15.9321414935227,16.103332937362,14.3059458045822,20.5125321873544,21.9139343217729,21.2483344262167,22.9035135132956,18.117068844127,17.1487824644779,16.311577251875,19.1857452584295,26.1282436079814,30.2632778169111,33.6170111119821,35.3863224648638,30.8821531930025,33.2537280717275,41.0335079814618,40.3307346050514,54.3648274479555,30.0948415996386,
"Congo, Dem. Rep.",,,,,,,,,,,55.3574719134547,38.0715814950866,32.4859180289352,32.4209714798147,13.8403258145315,4.15118661782152,2.92658286768479,4.83117302697232,4.35188109893696,7.4176351653492,7.95718326762427,5.77150214636136,4.45412532769902,5.04956030243305,5.31279455104482,5.42136575119356,6.27436029158782,4.75152585180146,4.33947969106803,3.04492594488584,2.54079826003328,1.7813380357372,1.51343578567815,0.486057263502111,1.066590377873,1.18909772567659,0.643028422245978,0.79681499107979,0.624872421880533,0.684756977673602,0.705583698604749,0.716206947172662,0.734214021942898,0.868614284416566,2.06615504522661,1.23769768802675,1.37413721057144,1.46114991578795,0.636613387270922,8.4342231269148,22.5097613121939,
"Congo, Rep.",,,,,,,,,,,7.47752256667279,7.72996639065868,6.5354241635214,4.155282141313,9.2522786082223,3.86759117916335,3.19087698107895,2.49729438217854,1.45383993833804,4.60196232719997,6.14290385222006,8.94641488282838,2.22550859416555,0.594877515094134,0.375092628382494,0.254691965285403,0.321279645704114,0.20634106873444,0.230000992703014,0.250549308866587,0.20789229471045,0.182217821425543,0.163822374695202,0.113881141292145,1.03042005781403,1.08041057993484,1.85877198084233,1.27608276138723,0.080896515705784,0.865492363396619,4.70631249405507,1.63049118240449,0.699889799734768,0.727031713866029,1.89609442336169,12.0036098072834,28.1707983494369,38.6640520940214,65.428378055184,77.6388400925102,117.621532386051,
Costa Rica,,,,,,,,,,,5.70829281217813,9.04044539895724,11.228298493726,11.7748167887372,8.97066279430552,7.15184250901438,10.5051024988483,15.3807607876962,12.5846355147768,7.71432699898151,7.17289915866861,4.32407308226388,6.85258277708716,8.24177040374568,10.3266795562341,11.9620506183146,12.0526752694736,11.0189456000768,14.9809616654568,16.3036772990579,14.0416386417042,23.2738121130822,26.3842210897295,27.0519681414797,23.385470915598,28.1439406979488,29.078947114056,36.886986621586,27.2831042051331,35.2398366471671,28.4387476518752,27.5487960961772,29.9508028741485,32.8252105298722,33.635978722938,35.6573508944316,44.5560547473021,48.9596101067466,41.329807635212,50.991947411414,52.325067610811,
Cote d'Ivoire,,,,,,,,,,,31.8151274415005,17.3873526836225,15.0346907961979,10.2379322275067,6.15886731333528,7.01645618587982,4.18008401480585,7.32662700590116,11.8753841185715,3.55844572617655,0.615576158114474,0.436511236628293,0.251383828605916,0.414273204632472,0.223339591746687,0.199645860511152,0.32272076262749,0.224233537808818,0.214910374524418,0.221520892002284,0.122431804271073,0.160070696767432,0.117377741023281,0.103002881241981,1.27246635560896,2.79924153005679,3.10277210498159,3.96170122014979,5.76009408753852,4.7864441579209,5.55200997584642,8.80485486087031,15.5873044607907,10.708498770892,12.7279049908749,11.472007024787,14.0837301351866,18.1675638416601,17.9243971075914,27.9176733731515,31.7100468471234,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,72.454136364601,53.0768480570581,44.9551414802878,41.1443378778309,40.6607079724914,45.0686778761407,60.3000201808961,48.8153588244246,37.9132261522999,32.3028104047076,28.6268330052861,26.485121062807,26.7608101422755,25.3438477836198,23.8185313699324,26.3737320694811,26.2742234765234,27.132177492965,22.4752994846288,25.6559637576804,22.3761395401222,21.9630282994917,25.6452398622327,19.56719152256,25.1241439217369,32.0197319003216,33.1403244759431,
Dominica,,,,,,,,,,,,,,,,,,,,,,21.179120282174,21.0984463565344,4.32695458684457,11.214650303341,6.02036405799529,16.7242255927476,25.7173441446974,19.2041621149224,15.074150797337,16.4439930417382,18.5836892086933,21.364121673959,20.6622563496016,15.7033017287573,21.4125458082366,19.9239220600649,22.9801289650861,24.434555799191,27.3302153002908,17.8186436541072,14.5530853226943,19.9791957005029,16.6841700003157,13.9017181529102,17.9629712640045,24.893433132182,20.9298702852309,18.3084794434018,29.4434023178828,28.5388544102584,
Dominican Rep.,,,,,,,,,,,8.98366294541924,14.0098548283209,13.8279397676697,19.9670614490768,17.861401759501,18.5248156583678,16.6067407399096,17.5447042264545,13.2793817471989,18.462200452158,13.9395088428176,12.2808872830071,6.76667684797933,6.84950312472889,8.32505393663292,9.87892014864684,10.3960964486567,4.86665526267292,6.58526811129102,4.23958884273373,1.56741317587689,9.98121915427018,10.9657778758691,13.5451818288633,6.06107155207245,8.37849947100235,8.24326300272992,9.36193609156464,11.5151113769861,14.923908448418,13.9202717475458,21.4777092469678,7.56522134209422,3.905959830014,11.3162976834974,26.1968034786248,24.8719039005066,25.2585584862792,22.6054506287793,26.3002956311561,26.8413778433703,
Ecuador,,,,,,,,,,,20.7536382114032,15.4427155955125,29.3909469425454,48.4572645142192,60.7490612146133,33.8367163464619,47.6074558438183,29.0236635107475,18.3024590344161,20.6396139511654,20.9615881870358,10.397305239096,6.40432550147203,10.5664019324488,8.89650341834848,9.80866354473577,8.6356015508723,6.60398315350909,5.2832934909028,6.24347021884576,8.33446697077452,8.67613063780051,8.32311129893948,10.9642654538762,13.3878329125325,12.8831300708255,14.0395124483641,14.5240498618892,11.2719601744762,11.8018291537492,8.89486900605152,7.66329505654951,6.23328939058646,7.03528917429259,8.25207431081412,12.4046275552413,11.7163343591987,19.7824862398711,25.737103975391,26.8366992330354,17.7017416415257,
Egypt,,,,,,,,,,,9.16058582947121,7.96635277058005,10.7221144204661,26.7418517998902,31.9266080678227,11.0642906330536,8.92350566675659,7.0898132942454,8.17063707092293,12.0430941356811,12.9616813327752,7.62274853407441,6.62189750439196,5.62319120725084,4.6172475325861,4.39549278326466,4.46389537979521,5.79219006166234,4.90258784708364,5.46525084355743,10.9721423987853,18.9586742962741,37.28133443986,45.1997145378447,44.3487713338674,51.1476964405073,58.060690631736,64.6757428808182,58.2964024935431,49.1829342059836,47.5182785687193,48.3600817560965,47.8206076694488,48.0687654596393,49.4186098350976,72.4109732892855,85.1114932766055,94.7539767069201,102.893855588913,104.770347291222,106.269729255481,
El Salvador,,,,,,,,,,,35.0005024764904,32.8252256648276,37.8566738616921,39.2082728291575,46.6622271302055,42.4793027601583,52.2084443210328,40.6264405041032,41.902108419159,45.4323513195728,41.8965420726929,24.5060763082524,23.8540084137766,19.4302939242903,16.9558485215789,17.9962154992087,18.9599490120549,20.8132513424946,17.7243954056082,21.8299832403363,27.7617501491925,20.6964822169593,25.5045087863246,37.4678224897896,39.5454921650527,37.4613370859655,39.4108129228767,45.7447293899263,53.4934995378934,53.0261691321276,42.5676300661254,32.6329265089354,28.6283508571483,24.7107533410534,22.7499008253606,20.4005165737693,19.306927724146,23.4976517811494,24.9581690662166,30.907642287504,26.1752430982633,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.36146284576,183.619420383825,304.255618636809,46.6381669794654,23.3080640164078,12.0460832972697,12.7480115835611,6.17831810071828,4.06667445225152,4.92373492466073,3.85680340222082,3.23017654306909,3.98938185484892,6.02204724197784,8.83419203175294,11.3039761134032,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,,,,,,,,,,,42.379805302657,34.0643458255788,43.7747056901727,76.0039145533888,111.200121144638,91.7309436039643,82.4034067134335,52.0224854961466,38.3513881534147,43.1256225103099,31.8436499587089,20.0918540761433,8.45645257683937,5.347277717894,2.57618717402044,4.15051854642583,5.40657620500448,3.03452051507866,1.94338889674323,1.56635444786655,0.638404364985726,1.16532975993363,2.88657236757087,5.1447316220471,5.8300852863797,7.8957603978797,8.35644042330638,5.83155780843697,5.77596546237916,9.83617710986638,6.598044868224,8.53793793620342,14.7593503007686,13.1077664973571,22.4652302793191,16.7940602305988,38.0964719379454,49.228370174145,30.2361123851807,35.4084185559644,,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,234.441968112464,267.466466363084,334.984136648586,156.675709223331,200.240991228132,250.571866908518,182.044824319483,122.767738169275,132.342332915641,100.346529637019,80.4597358043408,50.4614770270264,43.6492874119914,36.1165371539413,38.4167877999818,40.0578549174899,51.6436202357957,36.348917321809,63.0052155650038,67.8856839353673,84.6677938291421,99.6213875434936,126.602953328782,112.367773869217,143.165951697601,195.985299156764,265.85255759407,234.107848062787,281.89120393406,223.857354213832,238.714440812256,229.7998621941,212.081353959142,230.482832094152,196.424263560824,173.001460808644,88.4541703611646,143.05204668874,84.8104196479475,132.049231759481,159.33513428444,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,14.1978562331753,17.4437652880702,10.1145921616024,12.0782306967218,19.5627319065927,16.5489623135659,9.4107976802983,0.742402727585274,1.63409105396751,1.54338147703187,7.59112146228621,17.9519841626222,31.7441912712034,20.9537281335338,22.1153156994403,16.305175835682,6.7543109754232,0.691055322295618,2.55203123458266,1.1782922259785,6.99763043044233,7.86214311898167,1.96071521135239,0.149303945912916,4.31748520762032,3.50972748987827,5.87887467837867,6.68964243568158,0.431379501215338,0.543902487120475,4.9622215009739,0.391896903341836,4.10449402400372,5.38618665373369,11.0579639454482,17.4120873794799,26.7847712189018,43.5125288320306,89.0182040563827,93.5590237746698,74.4624697306421,
