"Internet users, total number",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bermuda,0,,,,,4198.9742754803,9997.08355611724,14994.9202560836,19992.6161353494,24989.2141510338,26987.1150419954,29984.321799034,32981.7889409205,35979.0868554921,38976.2135618666,41971.2032910524,44965.0501724192,47957.6201614027,53212.711,53947.665,54686.8161,
Bhutan,0,,,,,,,,,764.040548745256,2290.44326636076,5084.44827186689,10155.7658501598,15216.8364653073,20280.4664759848,25363.705471663,30484.2280605575,40763.9952,45939.2765,51169.7805,98727.84,
Bolivia,0,,,,,4991.14332067285,14975.9388791451,34950.8496658097,49938.529383794,79907.9940987998,119853.949042312,179745.438472777,269533.044496544,309314.736036975,398834.741788415,478149.069348475,577075.391395991,993595.670951583,1041679.8678,1397602.063,1985969.8,
Bosnia and Herzegovina,0,,,,,,500.001512556335,2000.03624959331,5000.16234829773,7000.26629265368,40001.2995528996,45000.1920843122,99995.4979445469,149986.122371081,584937.195975212,806362.778106268,950025.122385685,1055106.2928,1308125.2424,1421923.5642,1955277.48,
Botswana,0,0,,,,1023.06949819406,2556.59062467131,5110.25338644634,10214.2318424312,19396.9337446406,51026.702210787,61222.4249622174,61220.9635996418,61221.2285768446,61214.5798494292,61194.845164623,81547.5504214591,101774.112,122176.375,121866.924,120416.7,
Brazil,0,5002.84936432295,20012.6046104929,40028.6429528109,60049.7554774314,170164.192173918,740838.314604525,1311723.74581431,2503663.7259162,3505320.09202022,5007203.69733684,8009871.98295964,16403933.5109297,23989344.641039,35071405.3289292,39099569.357487,52963579.2747174,58609644.016,64799077.0771,75791320.442,79245740.055,
Brunei,0,,,,,2945.60655270848,9817.15958153163,14721.4895117733,19621.9727179313,24520.7900558759,29421.0890902058,43190.3025712928,52364.5701052124,68341.6886829869,105770.612861077,132417.856431804,156223.222622284,168672.8084,176959.7,192000.13,199460,
Bulgaria,0,,,199.999695924499,1649.99785206643,10000,60000.108787675,100000.378142071,150000.904032909,234601.977544737,430004.618994183,605007.231682861,716654.0728,943950.0868,1412178.334,1545501.2655,2083090.968,2570191.2012,3011477.4374,3394203.3,3464629.6836,
Burkina Faso,0,,,,,,105.58183267517,2111.85837837212,5278.73530482156,7383.79585884933,9476.24521942369,19950.7497812707,26160.0609377398,50024.5655255472,55199.6630898176,66720.6348035546,92515.7781448888,112958.4525,142740.3736,180624.6127,230561.996,
Burundi,0,0,0,0,0,0,49.3426295012811,493.248437426439,985.977558707388,2463.47633241877,4924.08408833391,6889.71312428676,7869.36706271707,13764.5989200255,24572.2298945712,39313.07788194,49150.8572640045,53954.467,64341.4185,155246.207,176039.829,
