"Hydro production, per person (toe)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Belgium,0.001615920018012,0.001764135468668,0.001511647835699,0.001327097007006,0.001053626466872,0.002478768985494,0.002711967686921,0.002149725975424,0.002195640074563,0.002062192471888,0.002197651406676,0.001192661025106,0.001596158598595,0.001510984137092,0.002113969127895,0.001607650893038,0.000955539141659,0.001960422456704,0.001949328920097,0.002043944211114,0.002427437431254,0.003327141833845,0.00290930989125,0.002937016778661,0.003068603086689,0.002507850566457,0.002993425753532,0.003736734002099,0.003119393996611,0.002643102382536,0.00229890837087,0.001973718349991,0.002930762469252,0.002177022120989,0.002958047139006,0.002883247507348,0.002035047555625,0.002593123993384,0.003302312692884,0.002889204806367,0.003886999682922,0.003713465301512,0.003018758799878,0.002061336941059,0.002631757472766,0.002377861109023,0.002946870101024,0.003173806568451,0.003325136676513,0.002645444844888,0.002504388145966,0.001591113160876
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000028718499457,0.00002794105676,0.000027169554884,0.000026384482759,0.000025585541325,0.000024786598064,0.000024001342862,0.000011622694935,0.000011263722802,,,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,,,0.017875438692826,0.018436306120232,0.018427286109116,0.019130523105102,0.019395233251799,0.019850956252605,0.020466882340074,0.021167132263044,0.021128016896641,0.017075946455934,0.018168096168542,0.017614593489792,0.017216229511216,0.01716500478197,0.016483049933518,0.01573304499394,0.014658832091701,0.015714696541352,0.015417564377197,0.015238013956881,0.01644270071593,0.015596186000131,0.018092611702386,0.015491794752663,0.014536145427586,0.016042682522113,0.017242444442072,0.016784335662691,0.018868668594667,0.02013180499951,0.021595768948914,0.02190717867992,0.019379874272277,0.020570237871161,0.018462880993271,0.01994706851811,0.021070235277773,0.020650304075039,0.020199688555589,0.018894368758158,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.061032647921922,0.106263396758846,0.074537655977186,0.055345224257337,0.085909218723693,0.094007324067008,0.134113789717823,0.118925615271724,0.112586029688759,0.132076792673258,0.118581746280115,0.118847875891052,0.119963056597918,0.102311734411887,0.135956833956713,0.136401753839743,0.133174568450347,0.091034924709961,0.110881952241336,0.142383910127583,0.183533094002292,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,,,,,,,,,,,,0.03773112354158,0.043219668859771,0.048213178550107,0.053426635200148,0.057432349608556,0.064340477202248,0.070854054130234,0.07606922119431,0.084309700957919,0.09106759616106,0.090247272091024,0.095166833622508,0.099835988263978,0.10739545955038,0.112571402077004,0.112803119969997,0.112550802590094,0.118494302780237,0.119656878612387,0.118768220980782,0.12307765103624,0.12423198432488,0.128750171225124,0.130922599706025,0.134891246141885,0.13905117239337,0.143748989571446,0.147936161865448,0.146527925898011,0.150058125079796,0.130221409881916,0.137205590328464,0.144677648633602,0.150013979218688,0.156011360354119,0.159566488052506,0.169440611911003,0.16589516184623,0.173968985893114,0.177877609335141,
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
