Aid received % of GNI,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.601040819314913,4.50103328945474,3.93362699336116,3.09386688098418,4.65667351768006,2.71252784365764,3.73475979939745,2.78941616303301,4.27736211836512,5.96976789872678,4.40018897097456,2.20250961455607,1.86663602790284,1.12770995713502,0.805327541682705,0.539387963327802,0.568449150447638,0.321841267555115
Bahamas,-0.026736867412095,,,0.00954619977098,0.025532202563105,0.026444443949947,0.01669394404135,0.200684341841828,0.012756377950557,0.015041078294682,0.016865137374303,0.049485352335709,0.234344986553976,0.081204529523693,0.09332376166547,0.125642490005711,0.104295568918964,0.074816937281121,0.166500632804867,0.121015348288076,0.164524846742077,0.150656212488156,0.127784616767948,0.055296674886925,0.56535980334829,0.03243593950139,0.242508241400076,0.026254948281859,0.160024154589372,0.132926415734147,0.104149446189453,0.09275564935676,0.088588490058403,0.034501239364909,0.022602107407761,0.109732768227436,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,7.0032525568065,5.75158346668864,4.40096023346053,7.14528704322176,5.62854101193197,2.20409647100219,3.63330342968035,0.290291709342812,-0.082170303952339,-0.052692090172723,3.8816725720855,1.96996946890096,1.67499073750867,2.2256403334708,1.79869350612973,1.72474354705776,2.1775349394447,2.45835439222034,3.31637691150914,0.974421507835221,0.78004240433406,0.930806283852364,0.773018977234665,1.42384764746196,0.546120250352654,,,,,,
Bangladesh,,,,,,,,,,,,,,5.21085824163617,4.26147110486461,5.52479752454624,4.93864458819912,8.17350292141761,7.49870345059894,7.47395195011839,7.25051848292217,5.46505013952253,7.2701989201169,5.90490636665701,5.87655987562283,5.1297049028936,6.61863484627462,7.36357168999192,6.1502421667813,6.54970828355082,6.80420838479782,5.94664238984438,5.5987292507719,4.06014417767869,5.00478612296089,3.27837862287665,2.93255305269843,2.31712082536222,2.55445311591286,2.57998882287245,2.40056128765321,2.14645009655559,1.82142157214425,2.54645340316909,2.37452712494936,2.0816732326408,1.85161196869792,2.06102908184879,2.39082933714387,1.25744548502124,1.28989775423736
Barbados,,,,,,,1.28351148177822,0.425863384804456,0.617732558139535,0.842241658568189,1.28318584070796,2.24453942629271,2.04402817217981,1.67446954861644,1.12544050341268,1.31463665289772,1.72347794037578,1.17987425514442,2.04123348493344,1.64157254740874,1.65616796610473,1.8068541075164,1.28290301799198,1.79632107785376,0.71879394601452,0.612898776822341,0.289259992587196,0.437223674064036,0.193960170664664,0.120447891212211,0.154710870617032,0.129990740429891,0.001928764384365,0.225805540373789,-0.061074265612746,-0.064115752601285,0.219058634010689,0.201405065357435,0.678287540490958,-0.088846085241755,0.009689726683042,-0.046725418977533,0.139420912367075,0.768196445355555,1.06192406929598,-0.06334873302534,-0.072600566740478,0.572593160234349,0.218063389970531,0.340036361569405,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.191296572863311,0.207702703854907,0.186695028161159,0.183708445088348,0.202865900502935,0.25517391120728
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,6.5159937780163,9.47706293619522,17.412087360994,12.0874775982832,4.302605041625,5.34368401452115,5.83765801372407,12.3801173661884,12.732596357883,14.990550795878,11.5540694705276,8.90235538273348,14.0514853578983,6.29099171713364,6.73177230207226,8.23242793817744,13.1382473261523,8.50513163766176,14.0694980694981,14.1433447098976,7.5207468879668,5.92146596858639,6.89991396616002,8.20708446866485,6.89484126984127,11.0035122930256,10.7651006711409,8.71404765049086,8.17320261437909,8.13346679063302,7.46338490932716,5.01704543531667,5.0993161803472,5.65042217746587,5.21861832241685,3.04527772447283,3.34104579197811,2.22856900815566,2.30230895720838,6.66616623847425,1.89164032834933,2.78197033870779,2.61083953159408,1.30446950808146,0.803857066303458,1.21642267633807,0.793341133914156,1.94757270972198,1.99107105603538,2.22132667042798,1.99669368170638
Benin,0.008869874173185,0.629941958840393,1.59095489036435,1.68262019819748,6.71631375220377,6.22967591656875,4.95042929202781,5.33845130761217,4.03235895085396,3.99920933548025,4.47250124104041,8.7859218669763,4.91252754635958,5.24559458871647,5.93259610018358,8.00979591807968,7.26742058521589,6.51038061102965,6.49369664941437,7.12541160286545,6.29218230216803,6.3078106484368,6.31674456009553,7.84908487390441,7.34489221984996,9.16714150861218,10.2791765941408,8.71694201403703,9.90136395481478,18.296592594867,14.7765246482622,14.383546743853,17.0422679335017,13.9012058521412,17.5054963446635,14.2526306964372,13.3110032867799,10.3745629600125,8.83819823911733,8.89131886018803,10.8556100687176,11.8225670630235,7.87557469033019,8.52855664083626,9.83089745823005,8.14633355852429,8.63695038520801,8.74002784008759,9.61479260969977,10.3062236602771,10.4786573435189
Bermuda,,,,,0.008728543634084,0.041009569852546,0.04187785064747,0.036313369413604,0.025,0.005681818181818,0.005040322580645,,0.003987240829346,,0.009006304413089,0.00544069640914,0.007288629737609,0.016796136888516,0.031558185404339,0.027849981433346,0.042813455657492,0.026431719126262,0.008449004550837,0.007449186164067,0.007608902415827,0.084654178674352,0.007238218162495,0.01711564139351,0.002758430513944,0.006620324536147,2.62147373693655,-0.286251445909422,-0.29728282923298,-0.264487840565518,-0.667651001086183,-0.102310343852788,,,,,,,,,,,,,,,
