Male 0-4 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Bahamas,16.6666666666667,17.0731707317073,19.2307692307692,18.8405797101449,16.6666666666667,15.2173913043478,12.5,12.9310344827586,11.2903225806452,11.5107913669065,10.5960264900662,8.75,8.38323353293413,7.90960451977401,7.56756756756757,7.17948717948718,6.93069306930693,6.73076923076923,6.07476635514019,6.01851851851852,5.96330275229358
Bahrain,16.1290322580645,16.9014084507042,16.8674698795181,21.0526315789474,15.9663865546218,13.6054421768707,10.9452736318408,10.6995884773663,10.4529616724739,10.1492537313433,8.53333333333333,8.37320574162679,7.75862068965517,7.17131474103586,6.49350649350649,6.05536332179931,5.91133004926108,5.65149136577708,5.41353383458647,5.29411764705882,5.18731988472622
Bangladesh,14.5701589471885,16.5723806571606,16.8272587627426,17.175691711948,17.4168351660527,17.6856961468965,17.7365627216264,16.9660300058798,15.3149332473833,13.7515560405108,12.6295709256168,11.4516920058852,9.96355237992133,9.29239528263522,8.72680291284942,8.10973004861973,7.46221970244961,6.87455570826027,6.49868970562362,6.29858190887081,6.10203070827142
Barbados,13.4020618556701,14.7058823529412,15.3846153846154,14.8148148148148,11.7117117117117,9.48275862068966,9.32203389830508,9.09090909090909,7.93650793650794,7.31707317073171,6.50406504065041,5.78512396694215,5.55555555555556,5.46875,5.51181102362205,5.46875,4.7244094488189,4.8780487804878,4.8780487804878,4.95867768595041,5.12820512820513
Belarus,9.75182481751825,11.9437266724088,13.3928571428571,11.901121304791,9.20481927710844,8.80517679685694,8.47457627118644,8.88030888030888,8.58985024958403,6.53255910410618,5.16252390057361,5.13436748962202,5.52312528064661,5.4851348236921,5.18711511132165,4.82809070958303,4.49381469325928,4.45492662473795,4.63341509948215,4.79568671963678,4.82534043812907
Belgium,8.30197554092192,8.14967860422406,8.53006681514476,8.60099159301574,7.80487804878049,7.00690232169002,6.41666666666667,6.36249476768522,6.22680412371134,6.22465531224655,5.83517144575897,5.67111459968603,5.8969465648855,5.80172737514082,5.78344419807834,5.67104303428155,5.54652213188799,5.47772988505747,5.49194991055456,5.53868143648383,5.56844547563805
Belize,15.1515151515152,20.5128205128205,19.5652173913043,18.1818181818182,18.3333333333333,18.1818181818182,16.6666666666667,18.5185185185185,17.2043010752688,16.3636363636364,14.2857142857143,12.6760563380282,11.3924050632911,10.9195402298851,10.1604278074866,8.82352941176471,8.33333333333333,7.45614035087719,6.72268907563025,6.53061224489796,6.37450199203187
Benin,13.717277486911,15.4618473895582,16.5266106442577,17.5572519083969,18.2991647684131,18.6202277294039,18.9895470383275,19.0547263681592,18.8695282617935,18.2871182871183,17.9108970499699,17.1385237613751,16.7275854654913,15.9947984395319,14.8953431770242,13.7772675086108,12.782340862423,11.929580727357,11.1486486486486,10.4031083050024,9.68352718420341
Bhutan,17.2413793103448,16.8316831683168,17.6991150442478,17.8294573643411,17.2185430463576,16.9398907103825,16.8181818181818,16.734693877551,16.4285714285714,15.9533073929961,12.9824561403509,10.8504398826979,9.35828877005348,9.04645476772616,8.6046511627907,7.79510022271715,7.08154506437768,6.62525879917184,6.47773279352227,6.32411067193676,6.22568093385214
Bolivia,17.0731707317073,17.2136637642331,17.4096385542169,17.2972972972973,17.3641173641174,17.5341296928328,16.5467625899281,16.1914460285132,15.9854677565849,15.8730158730159,14.6689221846303,13.8111888111888,12.669864108713,11.6506646971935,10.6866288074342,9.81058766391452,8.9987714987715,8.26968272620446,7.62255596486257,7.0878062207542,6.6621803499327
