Male long-term unemployment (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Canada,0.40000000596046,0.5,0.80000001192093,1.60000002384186,1.5,1.39999997615814,1.10000002384186,1.10000002384186,0.69999998807907,0.69999998807907,0.60000002384186,1,1.70000004768372,2.09999990463257,2.09999990463257,1.79999995231628,1.70000004768372,1.60000002384186,1.20000004768372,1,0.80000001192093,0.80000001192093,0.80000001192093,0.89999997615814,0.69999998807907,0.69999998807907,0.60000002384186,0.5
Chile,,,,,,,3.70000004768372,3.20000004768372,2,1.60000002384186,1.60000002384186,1.79999995231628,3.5,3.40000009536743,5,4.30000019073486,,,,,,,,,,,,
Costa Rica,0.30000001192093,0.80000001192093,1,1.20000004768372,0.80000001192093,0.89999997615814,1.20000004768372,0.5,0.5,0.20000000298023,0.30000001192093,0.30000001192093,0.30000001192093,0.20000000298023,0.20000000298023,0.20000000298023,0.60000002384186,0.69999998807907,0.30000001192093,0.5,0.5,0.5,,,,,,
Czech Rep.,,,,,,,,,,,,,,0.60000002384186,0.69999998807907,0.89999997615814,0.89999997615814,1.10000002384186,1.5,2.29999995231628,3.40000009536743,3.40000009536743,3,2.90000009536743,3.5,3.40000009536743,3.09999990463257,2.20000004768372
Denmark,,,,3.59999990463257,2.40000009536743,2.09999990463257,1.10000002384186,1,1.20000004768372,1.39999997615814,2.20000004768372,2.40000009536743,2.09999990463257,2.40000009536743,2.29999995231628,1.79999995231628,1.60000002384186,1.20000004768372,0.89999997615814,0.89999997615814,0.80000001192093,0.89999997615814,0.69999998807907,1.10000002384186,1.10000002384186,1.20000004768372,0.69999998807907,0.60000002384186
Dominica,,,,,,,,,,,,,,,,,,7.69999980926514,,,,,,,,,,
Dominican Rep.,,,,,,,,,,,,,,,,,0.30000001192093,0.20000000298023,,,0.20000000298023,,,,,,,
El Salvador,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,4.40000009536743,4.90000009536743,,,,,,,,,
Finland,0.89999997615814,,1,0.89999997615814,1.10000002384186,1,0.80000001192093,1,,0.10000000149012,,1,,7.09999990463257,,5.90000009536743,4.59999990463257,4.40000009536743,3.90000009536743,3,2.70000004768372,2.29999995231628,2.29999995231628,2.40000009536743,2.09999990463257,2.09999990463257,1.89999997615814,1.70000004768372
France,1.39999997615814,1.60000002384186,1.60000002384186,2,2.29999995231628,3,3.20000004768372,3.20000004768372,2.90000009536743,2.59999990463257,2.29999995231628,2.20000004768372,2.40000009536743,2.70000004768372,3.70000004768372,3.79999995231628,3.59999990463257,4,4.09999990463257,3.79999995231628,3.29999995231628,2.5,2.40000009536743,3,3.09999990463257,3.09999990463257,3.40000009536743,2.90000009536743
Germany,,,,,,,,,,,,1.60000002384186,1.79999995231628,2.29999995231628,3,3.20000004768372,3.59999990463257,4.19999980926514,4.40000009536743,4.19999980926514,3.70000004768372,3.70000004768372,3.90000009536743,4.90000009536743,5.59999990463257,6.09999990463257,5.90000009536743,4.80000019073486
West Germany,,,,2.40000009536743,2.5,2.79999995231628,2.70000004768372,2.79999995231628,2.5,2.29999995231628,1.89999997615814,,,,,,,,,,,,,,,,,
Greece,,,,1.29999995231628,1.60000002384186,1.89999997615814,1.5,1.70000004768372,1.70000004768372,1.79999995231628,1.70000004768372,1.79999995231628,1.89999997615814,2.5,2.5,2.59999990463257,2.79999995231628,2.79999995231628,3.09999990463257,3.70000004768372,3.59999990463257,3.20000004768372,3.09999990463257,2.90000009536743,3,2.5,2.70000004768372,2.09999990463257
Hungary,,,,,,,,,,,,,2.29999995231628,4.40000009536743,5.30000019073486,5.80000019073486,6,4.80000019073486,4.09999990463257,3.79999995231628,3.59999990463257,3,2.90000009536743,2.59999990463257,2.79999995231628,3.29999995231628,3.40000009536743,3.40000009536743
Iceland,,,,,,,,,,,,0,0.30000001192093,0.40000000596046,0.69999998807907,0.69999998807907,0.80000001192093,0.60000002384186,0.30000001192093,0.10000000149012,0.10000000149012,0.20000000298023,0.30000001192093,0.30000001192093,0.20000000298023,0.20000000298023,0.20000000298023,0.20000000298023
Ireland,,,,5.80000019073486,8,11.6000003814697,11.8999996185303,12.1000003814697,11.8000001907349,11.3000001907349,9.80000019073486,10.1999998092651,9.19999980926514,9.39999961853027,9.60000038146973,7.69999980926514,7.40000009536743,6.30000019073486,,3.20000004768372,,1.5,1.60000002384186,2,2,1.89999997615814,1.79999995231628,1.70000004768372
Italy,,,,3,3.90000009536743,4,4.5,4.80000019073486,5,4.90000009536743,4.30000019073486,4.5,3.90000009536743,4.19999980926514,5.09999990463257,5.5,5.90000009536743,6.19999980926514,5.59999990463257,5.30000019073486,5,4.59999990463257,4,3.90000009536743,2.90000009536743,3,2.59999990463257,2.09999990463257
Jamaica,,,,,,,,,,,,,2,2.90000009536743,2.20000004768372,2.20000004768372,1.79999995231628,1.79999995231628,1.79999995231628,1.89999997615814,2,2.5,,,,,,
Japan,0.30000001192093,0.40000000596046,0.30000001192093,0.40000000596046,0.5,0.5,0.60000002384186,0.80000001192093,0.69999998807907,0.5,0.60000002384186,0.5,0.40000000596046,0.5,0.60000002384186,0.69999998807907,0.80000001192093,0.89999997615814,1,1.29999995231628,1.5,1.5,1.89999997615814,2.09999990463257,1.89999997615814,1.79999995231628,1.70000004768372,1.5
"Korea, Rep.",,,,,,,,,,,0.10000000149012,0.10000000149012,0.10000000149012,0.10000000149012,0.20000000298023,0.10000000149012,0.10000000149012,0.10000000149012,0.10000000149012,0.30000001192093,0.20000000298023,0.10000000149012,0.10000000149012,0,0.10000000149012,0,0,0
Latvia,,,,,,,,,,,,,,,,10.8000001907349,10.3999996185303,9,7.80000019073486,7.30000019073486,,,,,,,,
Luxembourg,,,,0.80000001192093,0.5,0.89999997615814,0.40000000596046,0.69999998807907,0.30000001192093,0.5,0.60000002384186,0.30000001192093,0.10000000149012,0.5,1,0.5,0.69999998807907,0.60000002384186,0.69999998807907,0.69999998807907,0.5,0.5,0.60000002384186,0.89999997615814,0.80000001192093,1.20000004768372,1.20000004768372,1.60000002384186
Mexico,,,,,,,,,,,,,,,,0.10000000149012,0.10000000149012,0,0,0,0,0,0,0,0,0.10000000149012,0.10000000149012,0.10000000149012
Namibia,,,,,,,,,,,,,,,,,,10.5,,,,,,,,,,
Netherlands,,,,5,,5.59999990463257,,3.90000009536743,4.09999990463257,3.59999990463257,3.09999990463257,3,1.79999995231628,2.40000009536743,2.79999995231628,3,2.59999990463257,2,1.5,1.10000002384186,,,0.60000002384186,1,1.60000002384186,2.09999990463257,1.70000004768372,1.20000004768372
Netherlands Antilles,,,,,,,,,,,,,5.30000019073486,5.5,4.80000019073486,4.09999990463257,3.70000004768372,5.90000009536743,7,,,,,,,,,
New Zealand,,,,,,,0.20000000298023,0.40000000596046,0.69999998807907,1.29999995231628,1.39999997615814,2.79999995231628,3.70000004768372,3.59999990463257,2.90000009536743,1.70000004768372,1.29999995231628,1.29999995231628,1.60000002384186,1.5,1.29999995231628,0.89999997615814,0.80000001192093,0.60000002384186,0.40000000596046,0.40000000596046,0.30000001192093,0.20000000298023
Norway,,,,0.10000000149012,0.5,0.30000001192093,,0.10000000149012,0.20000000298023,0.60000002384186,0.89999997615814,1,1.39999997615814,1.60000002384186,1.5,1.29999995231628,0.80000001192093,0.5,0.30000001192093,0.30000001192093,0.20000000298023,0.20000000298023,0.30000001192093,0.30000001192093,0.5,0.5,0.5,0.20000000298023
Panama,,,,,,,,,,,,2.09999990463257,1.39999997615814,1.20000004768372,1.10000002384186,1.20000004768372,1.70000004768372,1.39999997615814,1.5,0.89999997615814,1.10000002384186,2.40000009536743,,,,,,
Poland,,,,,,,,,,,,,4.09999990463257,4.40000009536743,4.80000019073486,4.40000009536743,3.90000009536743,3.20000004768372,2.90000009536743,3.70000004768372,4.90000009536743,6.69999980926514,8.60000038146973,9.19999980926514,8.5,8.5,6.30000019073486,4.09999990463257
Portugal,,,,,,,3.29999995231628,2.79999995231628,1.89999997615814,1.5,1.29999995231628,0.89999997615814,0.80000001192093,1.39999997615814,2.29999995231628,2.90000009536743,3,2.90000009536743,1.60000002384186,1.60000002384186,1.39999997615814,1,1.29999995231628,1.60000002384186,2.5,3,3.20000004768372,3.09999990463257
Romania,,,,,,,,,,,,,,,2.5,3,2.70000004768372,2.90000009536743,3.09999990463257,3.5,,,,,,,,
Russia,,,,,,,,,,,,,0.40000000596046,0.60000002384186,1.29999995231628,2,2.29999995231628,,,,,,,,,,,
Slovak Republic,,,,,,,,,,,,,,,5.40000009536743,6.5,5.30000019073486,5.30000019073486,5.90000009536743,7.19999980926514,10.1000003814697,10.3000001907349,10.8999996185303,10.3999996185303,10.5,10.5,9,7.09999990463257
Slovenia,,,,,,,,,,,,,,4.40000009536743,4.5,,,,,,,,,,,,,
Spain,3.09999990463257,4.69999980926514,6.40000009536743,7.59999990463257,9.10000038146973,10.3000001907349,10,9.30000019073486,7.90000009536743,6.30000019073486,5.19999980926514,5,5.30000019073486,7.80000019073486,9.5,9,8.5,7.69999980926514,6.40000009536743,4.80000019073486,3.79999995231628,2.5,2.5,2.59999990463257,2.5,1.70000004768372,1.39999997615814,1.29999995231628
Sweden,0.10000000149012,0.20000000298023,0.30000001192093,0.40000000596046,0.40000000596046,0.30000001192093,0.20000000298023,0.40000000596046,0.30000001192093,0.20000000298023,0.20000000298023,0.40000000596046,0.89999997615814,1.89999997615814,3.20000004768372,3.09999990463257,3.5,3.79999995231628,3.09999990463257,2.5,1.79999995231628,1.29999995231628,1.29999995231628,1.20000004768372,1.39999997615814,,,0.80000001192093
Switzerland,,,,,,,,,,,,0.20000000298023,0.30000001192093,0.5,0.80000001192093,0.89999997615814,0.69999998807907,1.10000002384186,1.10000002384186,1.10000002384186,0.60000002384186,0.30000001192093,0.5,0.80000001192093,1.20000004768372,1.39999997615814,1.20000004768372,1.10000002384186
Trinidad and Tobago,,,,,,,,,,,,3.20000004768372,3,3.5,3,2.40000009536743,2.90000009536743,2.40000009536743,2.09999990463257,2.09999990463257,1.70000004768372,1.70000004768372,,,,,,
Turkey,,,,,,,,,3.59999990463257,3,3.40000009536743,3.09999990463257,3.59999990463257,3.79999995231628,3.70000004768372,2.40000009536743,2.70000004768372,2.40000009536743,2.5,1.89999997615814,1.10000002384186,1.5,2.79999995231628,2.29999995231628,3.79999995231628,3.79999995231628,3.20000004768372,2.70000004768372
United Kingdom,,,,,5.90000009536743,6.5,6.30000019073486,6.09999990463257,4.80000019073486,3.5,3,3.09999990463257,4.59999990463257,5.90000009536743,6,5.09999990463257,4.59999990463257,3.70000004768372,2.70000004768372,2.40000009536743,2.09999990463257,1.79999995231628,1.5,1.39999997615814,1.20000004768372,1.29999995231628,1.60000002384186,1.60000002384186
United States,0.40000000596046,0.60000002384186,0.89999997615814,1.60000002384186,1.10000002384186,0.80000001192093,0.69999998807907,0.60000002384186,0.5,0.40000000596046,0.40000000596046,0.5,1,1,0.89999997615814,0.60000002384186,0.60000002384186,0.5,0.40000000596046,0.30000001192093,0.30000001192093,0.30000001192093,0.5,0.80000001192093,0.80000001192093,0.60000002384186,0.5,0.5
