Total 15+ unemployment (%),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
Norway,2,2.59999990463257,3.5,3.09999990463257,2.59999990463257,1.89999997615814,2.09999990463257,3.20000004768372,4.90000009536743,5.19999980926514,5.5,5.90000009536743,5.90000009536743,5.40000009536743,4.90000009536743,4.80000019073486,4.09999990463257,3.20000004768372,3.09999990463257,3.40000009536743,3.59999990463257,3.90000009536743,4.5,4.5,4.59999990463257
Philippines,,,,,,10.8999996185303,10.6999998092651,9.5,9.19999980926514,8.39999961853027,10.6000003814697,7.30000019073486,6.69999980926514,7,7.19999980926514,6.40000009536743,8.80000019073486,7.80000019073486,7.5,8.89999961853027,8.60000038146973,9.10000038146973,8.89999961853027,9.30000019073486,7.80000019073486
Poland,,,,,,,,,,,,,13.8999996185303,14.3000001907349,13.1999998092651,12.3000001907349,11.1999998092651,10.5,13.8999996185303,16,18.2000007629395,19.8999996185303,19.6000003814697,18.8999996185303,17.7000007629395
Portugal,,,,,,,,,,,,4.09999990463257,5.40000009536743,6.69999980926514,7.09999990463257,7.09999990463257,6.59999990463257,4.90000009536743,4.40000009536743,3.90000009536743,4,5,6.30000019073486,6.59999990463257,7.59999990463257
Romania,,,,,,,,,,,,,,8.80000019073486,8.69999980926514,7.30000019073486,6.5,6.90000009536743,7.5,7.80000019073486,7.19999980926514,8.89999961853027,7.40000009536743,8.39999961853027,7.5
Singapore,2.70000004768372,2.40000009536743,2.79999995231628,2.59999990463257,3.90000009536743,5.5,4.09999990463257,2.79999995231628,1.89999997615814,1.70000004768372,1.89999997615814,2.29999995231628,2.29999995231628,2.29999995231628,2.40000009536743,2.5,2.20000004768372,3.40000009536743,4.09999990463257,,3.79999995231628,5,5.09999990463257,4.80000019073486,
Slovak Republic,,,,,,,,,,,,,,,,,11.8000001907349,12.5,16.2000007629395,18.6000003814697,19.2000007629395,18.5,17.3999996185303,18.1000003814697,
Slovenia,,,,,,,,,,,,,9,9.10000038146973,7.40000009536743,7.19999980926514,7.09999990463257,7.69999980926514,7.40000009536743,7.19999980926514,5.80000019073486,5.90000009536743,6.5,6,6.5
Spain,13.8000001907349,15.6000003814697,17,19.7000007629395,21.1000003814697,20.7999992370605,20.1000003814697,19.1000003814697,16.8999996185303,15.8999996185303,16,18.1000003814697,22.6000003814697,24.1000003814697,22.8999996185303,22.1000003814697,20.6000003814697,18.6000003814697,15.6000003814697,13.8999996185303,10.6000003814697,11.5,11.5,11,9.19999980926514
Sweden,2.5,3.20000004768372,3.5,3.09999990463257,2.79999995231628,2.70000004768372,2.29999995231628,1.89999997615814,1.60000002384186,1.79999995231628,3.29999995231628,5.80000019073486,9.5,9.80000019073486,9.19999980926514,10,10.1999998092651,8.39999961853027,7.09999990463257,5.90000009536743,5.09999990463257,5.30000019073486,5.59999990463257,6.59999990463257,7.80000019073486
Switzerland,,,,,,,,,,,1.79999995231628,2.79999995231628,3.70000004768372,3.90000009536743,3.29999995231628,3.70000004768372,4.09999990463257,3.59999990463257,3.09999990463257,2.70000004768372,2.5,2.90000009536743,4.09999990463257,4.30000019073486,4.40000009536743
Turkey,,,,,,,,,,,8,8.5,8.89999961853027,8.60000038146973,7.59999990463257,6.59999990463257,6.80000019073486,6.90000009536743,7.69999980926514,6.5,8.39999961853027,10.3000001907349,10.5,10.3000001907349,10.3000001907349
United Kingdom,,,,,,,,,,,,,,,,,,,,,4.80000019073486,5.09999990463257,4.80000019073486,4.59999990463257,4.59999990463257
United States,7.5,9.5,9.39999961853027,7.40000009536743,7.09999990463257,6.90000009536743,6.09999990463257,5.40000009536743,5.19999980926514,5.5,6.69999980926514,7.40000009536743,6.80000019073486,6,5.59999990463257,5.40000009536743,4.90000009536743,4.5,4.19999980926514,4,4.69999980926514,5.80000019073486,6,5.5,5.09999990463257
