Merchandise trade (% of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bangladesh,,,,,,,,,,,,,14.9968372757915,16.6618505515094,11.4479063542968,8.49913985536365,13.4176143591159,17.013362700281,15.4974767523162,16.4702191446108,18.537487044879,17.6593107685392,17.8747166473158,16.8397870714921,19.0949123939998,16.383483051692,16.1907469354052,15.9031815435961,16.8962999597531,18.4714095226314,17.5546458962899,16.4774581310664,18.3860262217126,19.7156590941605,22.316549373253,26.8715508263443,27.7406080290067,28.5806790786391,28.6130598424379,30.2621309065982,32.4074783147852,32.1317155360912,30.9872815253238,33.5634195344269,35.9631054280361,38.4653918053881,44.9688817709853,45.3833351852757,49.3116965518454,41.3114548714759,46.8422526448611,
Barbados,82.9172787798635,77.2935609743128,83.8603448603038,90.1535038984152,91.049559917559,91.8285696990737,94.8895528546986,86.5528604601092,90.4067734887108,87.0615284974093,86.5426997245179,80.4514658127565,79.3625465849913,77.656131613366,85.1671494131143,80.5255073611225,74.16996329541,74.5394086241004,80.4760594962313,86.1304021093252,87.1648631120327,80.8913060407692,81.6648477525568,89.1986076058154,91.4465567185393,80.03804132109,65.5230760054044,46.1804480163748,48.9975337398748,50.4130846228056,53.7874575443598,53.6994708679136,45.0110175891423,46.5505391166714,46.1509224328486,54.3260245418091,56.1804406209755,58.3388755618313,53.371896959598,55.5824849517163,55.8063181981346,52.6977832707999,51.7142679335338,53.6109270707696,59.8866855524079,65.3544093178037,69.1683850951142,66.5845946263053,65.6087666518884,50.8439711741112,48.6287356977734,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.3436216961481,74.1950109521067,85.3230205296936,113.176197918328,102.607967316902,103.662027504576,125.399858424063,127.375387231267,117.254453443414,120.634356199405,130.779704353514,108.198942845155,113.860430679589,116.99076097331,118.413389546871,101.221670927852,109.834882017211,
Belgium,66.5767620716746,65.7572944049052,67.0988350576246,69.9017380515455,72.2426248814626,74.2367180178798,75.1345032831477,71.8686008698729,77.5062046928671,84.8223357103552,87.344973245126,86.9897909388192,86.0855687935476,94.4180445452903,105.172515641289,91.84067749191,97.4174670875034,95.2494326230842,93.5428975837444,102.361631417475,108.871455371741,114.1693425294,121.553438257396,124.53365138108,130.384596515695,128.987881973397,115.910604993785,112.708889703603,115.124205495778,122.353994052579,117.045052213309,114.634712555555,107.008968582843,110.637979585873,115.84558493748,120.624143654112,125.183172083431,134.710333126731,137.287282721146,135.150134095862,157.252283729995,158.724696163494,163.942762713203,157.388127498023,163.810939417558,173.119749412402,179.684739568186,183.417957059209,185.031565230847,152.63757328722,171.007704995253,
Belize,74.8686660200609,82.0236308032492,95.7597101827216,95.6601876277818,97.6335957690055,91.6325498675593,91.4283415283181,83.6723899422775,92.7101589508851,98.208469628156,97.9963113174798,92.7650537737489,104.102783008206,97.7318383985137,105.350244276517,130.990466612324,118.485752054609,129.330641733957,136.668011738811,143.986166007905,134.017971758665,145.671332296527,122.175732217573,100.529100529101,117.117117117117,116.18455653837,102.260258942287,88.9531678783197,94.3156557637345,93.9005879046967,83.282898759294,84.9971628272733,80.0936144222934,74.3176106995272,70.5971228828218,67.5771821731988,65.962717806453,70.6208081458688,67.7919380568057,75.8932477844797,89.1749254447011,78.6840940565812,74.4095162730601,76.5699957581132,69.3631003692925,71.7982089121482,77.0561855069492,74.4854330575597,84.4277618311622,69.2100074128984,73.8125750725655,
Benin,21.7597450389861,16.9315499739633,15.9857037034401,18.1867871188194,16.4099947610342,16.6933432871241,14.5653786097592,20.8676730525972,21.9589525879231,24.7292870720615,28.9777331557979,35.6504601568448,31.242200722606,30.781695792852,32.6593085819347,32.5052005085183,34.9375051216711,39.8331851433617,36.4179578001392,30.8605041276074,28.0403924054009,44.6896379724727,38.4941330313148,35.1490067272556,43.286912890002,50.6827994766898,43.03490047502,38.9786365705319,49.0051956876557,42.5351662045192,29.9722256548378,30.4077561590103,56.21572977962,45.3564387362613,55.3898133006794,58.0158654505172,53.543662926003,51.2344244142031,48.9598854177626,49.0499160266466,44.5708159480554,42.0358331406511,41.7754084504523,40.269860921708,36.1300897617809,37.2302611325227,41.4797625010098,55.6033200915315,53.4455384110807,49.0366258295049,51.2584256666261,
Bermuda,,,,,,,,,,,,,,,,,,,,,56.9052695597075,47.6254883993835,46.8491387661713,45.0865752192489,46.1600907752084,40.9812397196732,43.0336588179999,34.631701587516,36.6758524672269,38.9610381307005,41.1328811856318,34.558689281227,38.5141965399998,31.2575545499151,31.2238897586019,29.8411923832954,23.6329436556491,23.0494331919339,21.5284015193813,22.951282218652,22.1537782536099,20.5407822831949,20.3950596714237,21.1392503329133,23.6581998852544,21.2401625591397,20.7047023685182,20.2548647610673,19.3782970928626,18.8757948586882,17.2258744082834,
Bhutan,,,,,,,,,,,,,,,,,,,,,,64.1205020881743,58.8872122576348,56.5004967376776,56.4168260500483,63.4883157068589,67.2918267151582,62.1165768488546,77.1553651244669,61.2115092577855,53.6818185471377,59.9434950251658,80.1457502096426,68.2016206617871,62.3929388381037,75.0493310170245,75.7557552652153,74.3734291842874,68.0324059255041,75.1207337695311,65.0290477300563,65.1780867946889,60.9621352567256,62.4971655247532,86.0478823717436,78.7051907809294,92.9015637415916,100.366545347932,84.6683101425806,81.0678026248091,86.4071520435163,
Bolivia,22.1058032192801,22.1527855573938,23.4171601719268,23.6125164274908,24.4528575043325,26.8298857936617,26.7422621268062,27.7521586002452,33.5524858428425,34.9683297819262,34.3481827209533,32.016846473029,30.740711722488,38.8513710283702,45.0660662447057,41.6684400847916,41.0968336717335,38.718037812979,38.2255338953751,37.4117043897572,35.4160728506154,31.0441633336685,24.7045182283158,24.5636074954592,19.6775043459062,24.4361579367407,33.1452176529574,30.9000071670326,25.9047319302542,30.3860574730185,33.1375978121666,34.0428909329688,31.8930405876162,33.7244984776415,37.4672790565488,37.5865701997433,37.474894974621,38.0784931262268,36.3283349584979,33.8681851585182,36.4378621905909,36.7622076694664,38.8211468587054,39.7623404177598,45.4809590584952,53.7478740392845,58.410673723999,60.327346343544,69.612347954098,53.933069270534,59.2932277892774,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.4359027082602,66.1104604458431,79.611050359756,79.1978567037706,85.3839328072909,86.5606900638908,75.8447473545036,76.2916543033527,73.3356808010391,73.3689985932675,76.896664736484,87.9819797690943,87.0543548038023,91.0219877149746,92.9637117742226,74.6488064435094,84.6071787307938,
Botswana,55.3170921711242,51.3494691736447,56.7527270924911,59.9929159709892,59.5415864184531,81.800413809535,80.2102736578724,75.1248665385474,64.6791861963272,82.485895433692,86.1089973897499,98.4899077310239,101.530567002179,102.787605686672,99.6358654057072,100.839757629288,101.923391594179,104.493474188108,102.188528370414,120.584384561941,112.514463884084,111.227380612458,112.653936873691,116.879107510176,109.331552107934,117.358919175737,113.088957120639,128.437522368497,100.64454671097,108.864583887847,98.3757194886536,96.2959857274602,86.9046242187299,85.3544834076301,81.0689464302815,84.9021572699724,86.8727134502764,98.4616711076577,83.0163504156988,82.5299012351017,84.4401585440569,71.5789519505111,70.0999177047894,65.0202830634088,67.1190927910524,73.9738048124021,67.656243599461,74.6678960421978,75.4227956203736,71.3261746926883,69.6565804510541,
Brazil,18.0013017364171,18.7899670004455,13.4947322453654,12.5665263061942,12.6957084591623,12.3542710571665,11.9611052303011,10.8558381791473,11.8461860598312,12.2160560291973,13.2017879225089,13.4235807920936,14.9882961472942,16.6475237936506,21.0384629553113,17.9954023032068,15.6237288964101,14.4047312251093,13.8012335212492,15.5790014818528,19.1865022618536,17.973821622957,14.6420273445844,19.0354847291974,20.1962538426128,17.9288147968153,14.1367913530873,14.5553595710221,14.9967895327411,12.7487307132214,11.6761103867763,13.3967423577551,15.0706709973978,15.1255019304222,14.5619075791722,13.0883991829028,12.4498613498985,13.3476585939049,13.3054365802864,17.0260976419437,17.7041221994062,21.1103977986938,21.8313497478045,22.4343692277646,24.5738218633241,22.235328773369,21.4566711739771,21.0320496878645,23.0129785244325,17.9789687252561,18.8422849896398,
Brunei,,,,,,88.5652248639358,94.1560039370079,90.6276315789474,100.112370505789,99.8689361702128,99.9552717986136,258.703814894676,104.12875851231,110.60005634861,108.515728919807,113.155450476465,111.941765023748,110.750652976247,109.497282116325,109.209709534041,104.548245148575,106.064433844653,106.443044216755,106.457600413594,101.255165148417,101.798933219819,104.00269101955,92.3228809322691,91.1281081480387,91.8448970013047,91.2925090111268,105.087787333855,92.8159501100514,97.1574645764245,99.4290181002723,94.9087660208644,97.2514903646194,89.8537773746274,89.1105604719764,85.2391304347826,83.4839527443039,85.6797426808141,89.9829516400342,87.6575879390448,82.3008863783783,81.2052552826891,81.1832369673759,79.7598937854852,89.4223678908123,89.979580306699,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,100.10165653643,107.19857225433,116.036606156723,144.050032054867,146.917261792557,153.398305956033,144.808708817776,112.596186944298,147.766807079372,144.388970543065,48.8750996923637,68.990417921815,74.9139465848761,78.28656183785,88.5121924150177,84.2828533441812,112.08827547607,98.1750688693838,70.8150322289113,71.4943826633312,88.3117405948263,89.3884266545472,85.6530940091953,89.0959869332983,96.4508025435219,103.484732822497,115.431305224316,115.115903749818,114.366543681755,82.0630370654544,96.550217609416,
Burkina Faso,4.53226808338712,9.12103304630923,11.2212492017618,11.7733989235354,12.6360826327677,12.3976957256105,12.4562189714778,12.0836006387277,14.1162427602222,15.5624695238666,14.8037763321628,15.0930927716668,15.3801138499398,18.240539604261,24.0075372944475,20.7212250360236,20.1886750079161,23.3839064823426,18.308613748978,21.592488927895,23.2819424880031,23.2001347093938,22.9711209278161,21.8089297685666,22.7417662148572,25.9580751669045,23.9645856941517,24.8539226762826,22.782427689922,18.5808335620088,22.1841761563285,20.3824121743552,23.6579188806908,24.7854003430306,24.0594315289408,30.7206040782062,34.0219767141023,33.4604402434052,37.4699979530931,30.9487507491061,31.4062466912976,31.2495575960227,29.9649901884198,29.1670144009884,34.2394311546946,31.8382260156141,33.0434190918438,34.0049896794524,33.6932592006661,34.0353929309573,37.8257565632398,
Burundi,14.28571503207,12.3152714018782,13.1147537052252,11.7379163159476,9.97123649871261,16.9816700459181,18.1329612334558,19.0692904301006,20.5477074235808,17.5413236796251,19.2409282879218,19.1423676871409,23.3429225668429,20.0894828918789,21.4531225289174,22.2054301007158,26.408481704227,29.932101821901,27.4761845802008,32.7740693251089,25.3336136098406,24.3538322887787,29.7072047373616,24.1937054183473,29.2763791454756,26.1743845062,29.6240697954097,26.779405453349,31.1344232844621,23.7897710234634,27.0293844582676,29.5528910136009,27.0535372819649,28.126020405449,37.187959362052,33.8854836638279,19.1016723679209,21.2766773628938,24.950468115942,21.2850944224857,27.9241996086106,26.8520092727273,25.3792350356121,32.652256959583,33.5790883455358,41.1170921343577,53.2231793576944,38.5738707235849,39.3641827878788,35.0240792398445,37.8531509210792,
Cambodia,25.8968606892558,24.8888891720691,23.6363633744195,26.9019605142391,21.7153288729288,23.9473684210526,19.46875,18.5905045922602,19.2359255930827,16.9582728779791,12.9454136641699,7.01094938787155,17.2089986960452,23.474206001916,33.8180074802127,,,,,,,,,,,,,,,,,,,29.7979941638273,44.2066501034998,59.3396682126348,48.9349557445197,52.2737129307289,63.0042280573914,77.3333091933794,91.0774798471448,90.2948618390058,98.995614945585,100.422757611107,112.241984953853,111.527864553949,116.347622803659,110.280913624082,108.352156212391,97.8435212260432,111.454395651432,
Cameroon,29.2529525538241,29.5013369095061,29.3119429883758,36.2975633715928,30.7796268469253,34.1672190073537,30.7090814709468,31.9819858254482,35.7881715066458,37.2732686900188,40.3609534488126,37.0838988155695,36.6317114734554,39.0270774018859,40.5473913631565,38.0120303792724,36.5411067941288,42.7547926266993,42.1329357306782,41.4134617732412,44.297692107121,33.1572191903165,31.0668693401163,29.8028116015132,25.609283036659,22.9866054613048,23.4061108772743,20.556841965113,17.6174615112781,26.4181771053778,30.5068913616809,24.1829733477317,26.3506311291211,22.058575403369,27.8619284711739,32.6339848215264,30.7736945575583,32.7115850410137,32.8776480245792,27.8359050878979,32.9725727236713,37.5173565715118,33.7139229941945,32.6385461098632,30.9537521301135,33.7369823596147,37.4438627014732,37.7310785582982,40.8666006109653,34.5777052710524,39.3677172706638,
Canada,28.9374072369078,29.7965539191178,29.6169366130498,29.6070715267732,31.5840257885068,31.7102137737279,33.2454519319012,33.6874999514495,35.9692598069047,36.4229128803358,36.0035654087981,35.7486989403529,37.1262259332381,39.6688134092249,43.6537529700464,41.1170354047034,39.8559565786974,41.2109438483435,44.1179328275012,48.1569643139457,48.4497081968256,47.4729424558425,42.0139839782656,42.4009157336419,48.412926029067,48.2395288173699,47.6656615763422,45.2544124777037,46.1323306377162,43.4956115597937,43.0518569657357,42.1166158423151,45.5017365092508,50.4223403292702,56.767300035155,61.068993985879,61.3904443852287,65.140586904534,68.1608108108108,69.3563384773233,71.9281878676583,68.0923905101584,65.3216080162719,59.7962813279205,60.13679747867,60.2319941388206,58.4366521651732,56.9413047608671,58.2614018491697,48.3316655247824,50.1127779535329,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,51.9809297931008,41.5757936994899,37.3429102090062,40.3116270583406,41.9261232675786,43.5508359044271,46.9728450843869,43.496524033969,52.0928920490351,52.9953215505718,49.1859055418259,49.1673303984936,44.1134559462215,44.048874353136,44.6936033359107,43.3373868171364,46.1436466197216,44.687729361391,48.2962309013136,46.896245240805,50.798327078334,57.7743477293161,55.2886681419349,46.9109954373307,47.7484576241121,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Rep.,30.2680271447909,29.2438429485647,31.6281438530378,37.4010024613466,41.3897885102597,36.0041079717455,41.7966054616082,44.8571339779534,39.2619833385934,38.8931770343628,34.2940905160593,32.5474791178796,31.8889932546068,32.7872695949893,33.4834647849449,30.6486836991402,25.7672889205851,28.5421494943197,21.0166723097162,21.3009777792301,24.7161325170471,25.0429144197563,30.7357105873857,23.8355093866536,27.1235071464823,23.7034326004107,20.8004927042648,27.5630621657426,25.8010411217581,22.3856809354782,18.4200321321264,15.5234913687235,17.5713657544286,18.0929617531028,33.9976991543311,30.8403389086042,26.9139622391076,30.3010685529159,28.361221301392,26.3477367526649,28.9760494533118,25.735731324697,25.6244093083472,21.5938806884672,22.4534025609059,22.4436583346838,24.3835937474899,25.1537515375154,22.6930743243243,21.2104941176471,23.8448304914744,
Chad,12.2778938679432,14.0021941740004,12.7610015932198,13.9330077491985,15.5721440794422,14.1202612790948,12.9880598286853,19.9064340329315,18.6325189109005,17.9242264460538,19.5996245969575,18.1487728437127,16.7719434728901,18.5787017688777,19.1245489251453,20.8809856946266,20.6740686370846,31.6109333551705,28.3903116557984,17.2757567346206,14.0367165204647,21.7802256135857,20.0150282641741,31.4745690532132,33.9459844004491,22.0700502321635,29.1244579255175,28.7940972202398,25.090999290622,27.551242430838,27.2056320597397,23.5996808376196,22.5841188294173,22.6198552964539,27.5459225103949,42.0494883238317,35.4620300063571,36.9653956961175,35.4225386838386,36.3714924278777,36.0997546674806,50.7797055441348,92.1084612687819,50.8282347870053,71.2122726532152,76.0277661998112,77.0936362069675,77.9075284812388,74.5470085470086,72.3791821561338,79.7345888770623,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,26.439382425332,25.87851878084,21.9879894244886,21.6118758338276,22.688981474286,22.3939696478076,24.3674545046982,24.1004021040889,24.1643314621127,25.7113547795391,25.7419135471262,19.6946683609178,16.8373465610661,15.3791427023468,29.7905132912284,42.5805002549646,40.0392679865876,35.3993450863936,38.2179048151354,41.9795254456036,38.088941093359,33.7480253234664,31.6112688493828,34.9765268964328,37.5609565044769,41.7080849924563,43.0356000466775,46.0240913415214,50.0955471595605,53.6338890482813,51.0600367873975,47.078631778748,45.4034909225148,42.6301068125453,42.4699998097063,44.7433173280665,47.2831845938999,46.7630408013954,45.6108848934551,45.4138910461267,50.1485751227242,52.0663391242415,52.4355734615297,55.3948058581101,59.9186215770508,62.5811681934357,66.1473579858686,70.0698491896089,75.1329364639005,60.0370518055978,61.0997864341958,
China,8.50426194236402,7.36181870899166,7.07257171629342,6.92352949985338,6.75700585499646,6.89935232375719,6.80403076292523,6.32503205539894,6.29675618131813,5.52142416232126,5.01174709046019,4.98267985181866,5.8338451695933,8.1038748507519,10.4734928300432,9.68871804938799,8.97169966263893,8.51057406241732,14.2299381115873,16.5509300955006,20.0844780948119,22.6782482542248,20.4770851783768,19.0916456344441,20.8012093958997,22.6963047895584,24.7945250234791,30.5700813654124,33.207265517267,32.4676004066772,32.3407301450502,35.7607928260453,39.1625988841409,44.4273781188646,42.312329358727,38.57983822475,33.8612511208884,34.132271116457,31.7765728459054,33.2906255996737,39.5750454570069,38.4698324319088,42.6987367234291,51.8591956642852,59.7705789511022,63.0025418810841,64.8901905534493,62.293564682176,56.686375586039,44.2280424027354,50.1622680058923,
Colombia,24.3012264857288,21.7596900046061,20.2169705211748,19.7195962778705,18.9280360860929,17.1253470531732,21.6587445304657,17.5827378423346,20.3076217974447,20.1719157408234,21.8063150884752,20.65631722327,19.2172589225128,21.6183475215222,25.1074260302414,22.5962495186469,23.0467829297161,21.9988946676741,25.7089299792081,24.2469777798713,25.9365727753045,22.3065658970207,21.8230233903469,20.5629652500854,20.8087597728975,22.0465051566191,25.6535857038554,24.6444425507071,25.601500299312,27.1142572588009,30.6796872196045,29.4329098992144,27.258752084064,30.3677932390439,24.8471618031189,25.8455340693915,24.9793867122938,25.2204426155785,25.8899135423867,25.7988067703547,24.4899077065892,25.44319937776,25.0659931363425,28.4126304714975,28.1335487889993,28.9242734768753,31.0507788514084,30.320740027014,31.5945572270782,27.8797570927336,27.8664777399069,
Comoros,,,,,,,,,,,,,,,,,,,,,30.7680001556563,42.0052174830119,49.4915151362921,47.5253953313253,46.5162445959735,45.4187190854961,35.0796658167727,32.5810785617438,35.6668361889234,30.6945553502196,27.9962981461351,33.2223064770932,34.1861548724062,30.7325061635759,34.4530671872374,31.9111574436714,27.3934152343043,28.5848684919113,27.8559961386315,28.7536105543772,28.2316832234188,30.8928975746808,28.666631122756,29.8023360223987,28.7605150764645,28.6053173578818,31.0424304742148,32.7184111389012,34.7079142024297,34.7445143050046,38.4403910545038,
"Congo, Dem. Rep.",20.8617473477755,15.9634536743477,11.4638406952075,9.61745134946586,14.0771028556402,9.97796997863611,11.6525612568672,15.4855197518334,17.2248799038565,16.1368801525551,19.6794178623794,15.9140044014529,15.3266442614048,16.0666775877753,18.033720767403,11.382338000553,12.1056425934293,9.6539451747018,7.33450043308812,11.3686354980064,26.3148251483124,24.717213542579,21.2281761732082,26.3384726429294,39.5025066888529,43.0852208321121,38.62703117776,46.8177413901177,45.9300555303053,48.127533173187,43.4770305184195,32.4935220208442,26.5773779397528,16.4179500701399,33.0390611588661,43.1297279355083,45.6730590996242,36.431753387908,40.5930948708465,29.2277710613289,34.590574967675,35.5917569768909,39.906447580193,50.6566935890514,60.9459076036794,71.6994666430887,65.5049441453756,65.2440063887699,74.5608155139963,66.0466787905507,74.5545170613593,
