Agricultural land (% of land area),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Australia,,60.0842195696601,60.3579657133931,60.720227015347,61.0505968264712,61.5669786392096,61.7203181338922,62.0553740416282,61.8071410905588,62.3436991525975,62.7139007849212,62.9047290524973,63.0614529502883,63.3946864871197,63.4871067258503,63.3712560040613,63.4930945159653,62.3004829282897,62.0296005102638,62.5433789359957,62.8621636749411,62.838082345131,62.2314931726176,61.3260351717584,61.5751793082801,61.5648959296044,61.2947945276805,61.3123673899744,61.4767712794345,60.7991096416438,60.4611900082007,60.2650247972612,60.6820873957018,59.9151295835882,61.0624422373508,60.3137081342827,60.557515327441,60.1642737201099,60.370722309725,59.0616091535087,59.2921390729339,59.3181729429988,58.1856995951733,57.2094294677375,57.2888327714356,57.9447561277222,56.6139046900017,55.3804199263241,54.3181078583237,53.2430391939914,,
Austria,,49.1206791995149,49.011522134627,48.3929654335961,48.3201940570042,48.3201940570042,47.7258944815039,47.6288659793814,47.5682231655549,47.2650090964221,47.2528805336568,47.2286234081261,47.2286234081261,46.0036385688296,46.0036385688296,45.9672528805337,44.7422680412371,44.8514251061249,45.0697392359006,44.4147968465737,44.5724681625227,44.7422680412371,44.5724681625227,42.4742268041237,42.5469981807156,42.5833838690115,42.4378411158278,42.4378411158278,42.8380836870831,43.0321406913281,42.4499696785931,42.680412371134,42.3529411764706,41.8677986658581,41.8435415403275,41.6252274105518,41.55245603396,41.516070345664,41.4675560946028,41.1158277744087,41.1158277744087,40.9460278956944,40.9217707701637,40.9460278956944,39.5633717404488,39.5755003032141,39.3086719223772,39.2965433596119,38.4596725288053,38.4326094868373,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.4310779954332,53.5512558586708,53.9117894483836,53.9478428073549,54.392500901334,55.137603653407,56.3485377301721,56.7351874244256,57.3849878934625,57.4455205811138,57.426461687447,57.5196612220206,57.505745736059,57.5610936365836,57.5577877284279,57.5647542967804,57.5647542967804,57.5768579036553,,
Bahamas,,0.999000999000999,0.999000999000999,0.999000999000999,0.999000999000999,0.999000999000999,0.999000999000999,0.999000999000999,0.999000999000999,0.999000999000999,0.999000999000999,0.999000999000999,0.999000999000999,0.999000999000999,0.999000999000999,0.999000999000999,1.0989010989011,1.0989010989011,1.0989010989011,1.0989010989011,1.0989010989011,1.0989010989011,1.0989010989011,1.0989010989011,1.0989010989011,1.1988011988012,1.1988011988012,1.1988011988012,1.1988011988012,1.1988011988012,1.1988011988012,1.1988011988012,1.1988011988012,1.1988011988012,1.1988011988012,1.1988011988012,1.1988011988012,1.1988011988012,1.1988011988012,1.1988011988012,1.2987012987013,1.2987012987013,1.2987012987013,1.2987012987013,1.2987012987013,1.2987012987013,1.2987012987013,1.2987012987013,1.2987012987013,1.3986013986014,,
Bahrain,,10.1449275362319,10.1449275362319,10.1449275362319,10.1449275362319,10.1449275362319,10.1449275362319,10.1449275362319,10.1449275362319,10.1449275362319,10.1449275362319,10.1449275362319,10.1449275362319,10.1449275362319,10.1449275362319,11.5942028985507,14.4927536231884,14.4927536231884,14.4927536231884,14.4927536231884,14.4927536231884,13.0434782608696,11.5942028985507,11.5942028985507,11.5942028985507,11.5942028985507,11.5942028985507,11.5942028985507,11.5942028985507,11.5942028985507,11.5942028985507,11.5942028985507,12.6760563380282,12.6760563380282,12.6760563380282,12.6760563380282,12.6760563380282,12.6760563380282,12.6760563380282,14.0845070422535,12.6760563380282,12.6760563380282,12.6760563380282,11.1111111111111,10.958904109589,10.8108108108108,10.8108108108108,10.6666666666667,9.21052631578947,9.21052631578947,,
Bangladesh,,72.827840516248,72.8047937312745,72.827840516248,73.1351309825613,74.0339555965276,74.1338249980794,74.4795267726819,74.2797879695782,74.3258815395252,74.4948912959976,74.4795267726819,76.7534762234002,76.7381117000845,76.7381117000845,76.853345624952,76.807252055005,76.7534762234002,76.7227471767688,76.6920181301375,76.7227471767688,76.6766536068218,76.6536068218484,76.5460551586387,77.2835522777906,77.0300376430821,77.1375893062918,77.7060766689714,80.102942306215,80.2258584927403,79.7879695782438,79.2809403088269,73.3579165706384,72.5666436198817,71.8906045939925,72.0135207805178,71.6524544825997,71.9443804255973,72.4744564799877,72.873934086195,72.2132595836214,72.2363063685949,71.8521932857033,71.6601367442575,71.6217254359684,71.5295382960744,71.2913881846816,71.1992010447876,69.0020742106476,70.2850119075056,,
Barbados,,44.1860465116279,44.1860465116279,44.1860465116279,44.1860465116279,44.1860465116279,44.1860465116279,44.1860465116279,44.1860465116279,44.1860465116279,44.1860465116279,44.1860465116279,44.1860465116279,44.1860465116279,44.1860465116279,44.1860465116279,44.1860465116279,44.1860465116279,44.1860465116279,44.1860465116279,44.1860465116279,44.1860465116279,44.1860465116279,44.1860465116279,44.1860465116279,44.1860465116279,44.1860465116279,44.1860465116279,44.1860465116279,44.1860465116279,44.1860465116279,44.1860465116279,44.1860465116279,44.1860465116279,44.1860465116279,44.1860465116279,44.1860465116279,44.1860465116279,44.1860465116279,44.1860465116279,44.1860465116279,44.1860465116279,44.1860465116279,44.1860465116279,44.1860465116279,44.1860465116279,44.1860465116279,44.1860465116279,44.1860465116279,44.1860465116279,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.2975744429107,46.1151646618024,46.0757247091304,46.0412147505423,46.0116347860383,45.8785249457701,45.8834549398541,45.7552750936699,45.6123052652337,45.0009859988168,44.49539022827,44.3031109796381,44.1644889305261,44.1206922052951,44.1498275012321,43.942828979793,43.9477575160177,44.014397002268,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.9048877146632,45.8718626155878,45.9379128137384,46.0369881109643,46.003963011889,45.7397622192867,45.6406869220608,45.2443857331572,45.3434610303831,45.0462351387054,,
Belize,,3.46339324857519,3.46339324857519,3.50723366944323,3.50723366944323,3.50723366944323,3.55107409031127,3.55107409031127,3.55107409031127,3.59491451117931,3.59491451117931,3.63875493204735,3.63875493204735,3.68259535291539,3.68259535291539,3.72643577378343,3.72643577378343,3.77027619465147,4.07715914072775,4.12099956159579,4.20868040333187,4.25252082419991,4.25252082419991,4.25252082419991,4.25252082419991,4.42788250767207,4.51556334940815,4.91012713722052,5.04164839982464,5.26085050416484,5.52389302937308,5.69925471284524,5.96229723805348,6.26918018412977,6.26918018412977,6.40070144673389,6.44454186760193,6.48838228846997,6.48838228846997,6.57606313020605,6.53222270933801,6.53222270933801,6.66374397194213,6.66374397194213,6.66374397194213,6.66374397194213,6.66374397194213,6.66374397194213,6.66374397194213,6.66374397194213,,
Benin,,13.0356174290363,13.2164165612005,13.3972156933647,13.5780148255288,13.758813957693,14.0300126559392,14.3916109202676,14.6628096185138,15.4312059302115,15.6120050623757,16.0640028927861,16.3352015910324,16.5160007231965,16.7871994214428,17.1487976857711,17.4199963840174,17.6911950822636,17.8719942144278,18.0527933465919,18.3239920448382,18.5951907430844,18.8935093111553,18.9839088772374,19.0743084433195,19.2551075754836,19.7975049719761,19.8879045380582,19.9783041041403,20.0687036702224,20.5207015006328,20.6111010667149,20.746700415838,20.9726993310432,21.6958958596999,22.7806906526849,24.4982824082444,26.1254745977219,27.5718676550353,28.1142650515278,28.8826613632255,29.5154583258,30.4194539866209,31.3415295606581,32.2455252214789,31.8206472608931,30.1482552883746,30.1934550714157,30.6906526848671,29.8318568070873,,
Bermuda,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,,
Bhutan,,7.68085106382979,7.72340425531915,7.72340425531915,7.76595744680851,7.78723404255319,7.82978723404255,7.82978723404255,7.87234042553192,7.87234042553192,8.12765957446808,8.12765957446808,8.19148936170213,8.19148936170213,8.34042553191489,8.34042553191489,8.46808510638298,8.51063829787234,8.51063829787234,8.61702127659574,8.78723404255319,8.78723404255319,8.8936170212766,9.14893617021276,9.4468085106383,9.4468085106383,9.4468085106383,9.8936170212766,9.78723404255319,9.61702127659574,9.65957446808511,10.7234042553192,10.7234042553192,10.7234042553192,12.5779885200898,13.9505864736711,13.9505864736711,13.9505864736711,13.9505864736711,13.9505864736711,13.9505864736711,13.9505864736711,13.8258048415273,13.8757174943848,14.5871320656421,14.6392289658765,14.6392289658765,14.6392289658765,13.0763219588434,13.2065642094295,,
Bolivia,,27.7319302132373,27.6396196806056,27.5150004615527,27.5805409397212,27.614695836795,27.6479276285424,27.6820825256162,27.7153143173636,27.9340902797009,27.9673220714484,28.3707190990492,28.8655035539555,28.9005815563556,29.3944429059356,29.8901504661682,29.9233822579156,30.4190898181482,30.4523216098957,30.947106064802,30.9812609618758,31.4769685221084,31.5111234191821,31.5452783162559,32.0474476137727,32.0197544539832,32.4960768023632,32.5182313301948,32.5394627527001,32.74254592449,32.7286993445952,33.0434782608696,33.0757869472907,33.4284131819441,33.5558017169759,33.6933444105972,33.7708852580079,34.026585433398,34.1253577033139,34.1539739684298,34.1539739684298,34.160435705714,34.2573617649774,33.829040893566,33.8013477337764,34.119819071356,33.8761192652082,33.9961229576295,33.9878150096926,34.1124342287455,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.1372549019608,42.9411764705882,42.7450980392157,42.6470588235294,42.5490196078431,42.4509803921569,42.3529411764706,41.2745098039216,41.7647058823529,41.6862745098039,41.6274509803922,42.5294117647059,42.5294117647059,42.2941176470588,42.3333333333333,42.1372549019608,41.7647058823529,41.7254901960784,,
Botswana,,45.8772254865633,45.8772254865633,45.8772254865633,45.8772254865633,45.8789899952358,45.8789899952358,45.8789899952358,45.8789899952358,45.8789899952358,45.8789899952358,45.8789899952358,45.8807545039084,45.8807545039084,45.8807545039084,45.8807545039084,45.8807545039084,45.8807545039084,45.8807545039084,45.8842835212535,45.8842835212535,45.8842835212535,45.8878125385986,45.8878125385986,45.8878125385986,45.8913415559437,45.8913415559437,45.8948705732889,45.8948705732889,45.9036931166517,45.914280168687,45.7025391279798,45.6143136943518,45.7907645616078,45.870167451873,45.781942018245,45.781942018245,45.7025391279798,45.5790235209006,45.5966686076262,45.7907645616078,45.5260882607238,45.605491150989,45.517265717361,45.5702009775378,45.5966686076262,45.5984331162988,45.6160782030244,45.6160782030244,45.6160782030244,,
Brazil,,17.7944823640391,18.4306961943017,19.0924436899929,19.6279413955094,20.1426338921581,20.6981093266441,21.2294696326699,21.8954727392658,22.906771386218,23.0981556655184,23.5987810038986,23.9776485858369,24.3351199018372,24.8294800352743,25.2282071347681,25.5344929084973,25.8351045343534,26.0111213298311,26.3035763681198,26.5122195138674,26.6949743599443,26.9682791491615,27.0492539677661,27.1796411574316,27.3116833068934,27.6679725087536,27.8731875234945,28.0973163644789,28.303595281946,28.5608233188564,28.9548219617893,29.163819741779,29.4893739759936,29.7204772904052,30.5543406049114,30.6190022483811,30.6836638918507,30.7482073239064,30.8246901087781,30.9011728936499,31.1445701951198,31.1605287360126,31.1841710188169,31.2669190086318,31.2669190086318,31.2669190086318,31.2669190086318,31.290561291436,31.2669190086318,,
Brunei,,3.98481973434535,3.98481973434535,3.98481973434535,4.55407969639469,4.55407969639469,4.36432637571158,4.36432637571158,4.55407969639469,4.55407969639469,4.55407969639469,3.60531309297913,3.41555977229602,3.41555977229602,3.41555977229602,3.41555977229602,3.2258064516129,2.84629981024668,2.84629981024668,2.84629981024668,2.65654648956357,2.65654648956357,2.46679316888046,2.46679316888046,2.27703984819734,2.27703984819734,2.27703984819734,2.27703984819734,2.27703984819734,2.27703984819734,2.08728652751423,2.08728652751423,2.08728652751423,2.08728652751423,2.08728652751423,1.89753320683112,1.89753320683112,1.89753320683112,1.89753320683112,1.89753320683112,1.89753320683112,2.08728652751423,2.08728652751423,2.08728652751423,2.08728652751423,2.08728652751423,1.89753320683112,2.08728652751423,2.08728652751423,2.08728652751423,,
Bulgaria,,51.27903823556,51.387507909247,51.4598210250384,52.1739130434783,52.3637349724306,52.4450872276959,52.9964747356052,53.1591792461358,54.4336979119588,54.3252282382717,54.3161890987978,54.4336979119588,54.0721323330019,54.5783241435415,53.828075567206,56.0245864593691,56.0968995751604,56.1420952725301,56.0968995751604,55.8709210883124,55.8528428093645,55.8799602277863,55.8347645304167,55.7895688330471,55.7624514146253,55.7353339962036,55.7353339962036,55.6991774383079,55.7534122751514,55.6720600198861,55.6901382988339,55.6268643225165,55.3285727198771,55.6720600198861,55.7172557172557,55.7172557172557,56.0697821567387,51.0259423302902,51.3332730724035,50.4564765434331,49.6971888276236,48.9430147058824,48.9657074561,49.006987863185,48.4628129602356,47.5006904170119,47.1043182027438,46.9662093729859,46.3338246131172,,
Burkina Faso,,29.7478070175439,29.7843567251462,29.8209064327485,29.8574561403509,29.8940058479532,29.9342105263158,29.9707602339181,30.0073099415205,30.0511695906433,30.1023391812865,30.0438596491228,30.343567251462,30.6030701754386,30.8954678362573,31.1988304093567,31.3779239766082,31.5606725146199,31.7434210526316,31.9261695906433,32.108918128655,32.2916666666667,32.4744152046784,32.6571637426901,32.8399122807018,33.0226608187134,33.2054093567252,33.406432748538,34.9561403508772,35.0877192982456,34.9963450292398,34.9049707602339,34.8135964912281,34.7222222222222,34.4700292397661,34.5394736842105,34.9049707602339,35.8187134502924,36.3669590643275,36.5497076023392,36.9152046783626,38.7426900584795,39.1081871345029,39.8391812865497,39.8391812865497,39.875730994152,40.4239766081871,41.1549707602339,45.1754385964912,43.7317251461988,,
Burundi,,61.3317757009346,61.9158878504673,62.4610591900312,62.5,63.2398753894081,63.1230529595016,64.8753894080997,65.2647975077882,73.8707165109034,73.208722741433,73.9485981308411,74.221183800623,77.8816199376947,79.0498442367601,80.2180685358256,81.5809968847352,83.4501557632399,83.5280373831776,83.7227414330218,83.7227414330218,83.7227414330218,83.7227414330218,83.7227414330218,83.7227414330218,83.7227414330218,84.1121495327103,83.7227414330218,83.5280373831776,82.9439252336449,82.7492211838006,82.7492211838006,83.1386292834891,83.1386292834891,83.1386292834891,83.5280373831776,83.7227414330218,84.1121495327103,87.8504672897196,87.8894080996885,88.3956386292835,89.8364485981308,91.1604361370716,90.7320872274143,91.316199376947,89.018691588785,86.4485981308411,85.2803738317757,85.2803738317757,83.7227414330218,,
Cambodia,,19.9297530024926,20.0147292091548,20.065714933152,20.3659641966916,20.5472467709041,20.5472467709041,20.5585769317924,20.263992748697,19.6974847042828,19.3689100385225,13.8794470881487,13.8794470881487,13.8794470881487,14.1627011103558,14.1627011103558,14.4459551325629,14.4459551325629,14.72920915477,14.72920915477,15.0124631769771,15.0124631769771,15.1824155903014,15.2390663947428,15.244731475187,16.9385905279855,18.6381146612282,20.9607976433265,23.5100838431906,25.1246317697711,25.237933378654,25.5495128030818,25.5778382053025,25.6684794924088,25.8894176297303,25.8894176297303,25.9460684341718,25.9460684341718,26.2293224563789,26.2859732608203,27.0224337185588,27.7022433718559,28.3254022207115,28.8919102651258,29.6283707228643,30.3421708588262,30.9030138227963,30.9030138227963,31.4695218672105,31.4695218672105,,
Cameroon,,15.8871189524233,16.0140466670898,16.1198197626452,16.2467474773117,16.3736751919782,16.5006029066447,16.6486852404222,16.7544583359777,16.8602314315331,16.8771551268219,16.9829282223774,17.1246641704216,17.2621691946436,17.5160246239766,17.7593027437541,18.0025808635316,18.2860527596201,18.34317023122,18.8529965517971,18.891074866197,18.9545387235303,19.0603118190857,19.1660849146411,19.2718580101965,19.3776311057519,19.5257134395295,19.4834042013074,19.4834042013074,19.4410949630852,19.398785724863,19.3564764866409,19.3776311057519,19.3776311057519,19.3776311057519,19.3776311057519,19.3776311057519,19.3776311057519,19.3776311057519,19.3776311057519,19.3776311057519,19.3776311057519,19.3776311057519,19.3776311057519,19.3776311057519,19.3839774914853,19.3839774914853,19.3839774914853,19.4897505870407,19.8070698737069,,
Canada,,7.67855316593922,7.69262913880339,7.70670511166755,7.72067111599372,7.73485705739588,7.74882306172204,7.70923438804158,7.66953574582312,7.62983710360466,7.5901384613862,7.55054978770574,7.54527129788168,7.54010277659562,7.53493425530956,7.5297657340235,7.52459721273744,7.46884316397079,7.41308911520414,7.35722509789949,7.30147104913284,7.2457170003662,7.28827482457269,7.33094261731718,7.37350044152368,7.41616823426818,7.45861608993667,7.45718649894265,7.45564693941064,7.45388744280262,7.4523478832706,7.45069835520058,7.45740643601866,7.46400454829873,7.47060266057881,7.47720077285889,7.48390885367696,7.47170234595882,7.45960580677868,7.44739929906054,7.4353027598804,7.42309625216226,7.42485574877028,7.4267252139163,7.42859467906232,7.43046414420834,7.43244357789236,7.43387316888638,7.43387316888638,7.43387316888638,,
Cape Verde,,16.1290322580645,16.1290322580645,16.1290322580645,16.1290322580645,16.1290322580645,16.1290322580645,16.1290322580645,16.1290322580645,16.1290322580645,16.1290322580645,16.1290322580645,16.1290322580645,16.1290322580645,16.1290322580645,16.1290322580645,16.1290322580645,16.1290322580645,16.1290322580645,16.1290322580645,16.1290322580645,16.1290322580645,16.1290322580645,16.1290322580645,16.1290322580645,16.1290322580645,16.1290322580645,16.1290322580645,16.6253101736973,16.6253101736973,16.8734491315136,16.8734491315136,17.12158808933,17.12158808933,17.12158808933,17.3697270471464,17.3697270471464,17.8660049627792,17.8660049627792,17.6178660049628,17.6178660049628,19.106699751861,19.106699751861,19.106699751861,19.106699751861,19.106699751861,20.5955334987593,20.5955334987593,23.0769230769231,21.8362282878412,,
Cayman Islands,,8.33333333333333,8.33333333333333,8.33333333333333,8.33333333333333,8.33333333333333,8.33333333333333,8.33333333333333,8.33333333333333,8.33333333333333,8.33333333333333,8.33333333333333,8.33333333333333,8.33333333333333,8.33333333333333,8.33333333333333,8.33333333333333,8.33333333333333,8.33333333333333,8.33333333333333,8.33333333333333,8.33333333333333,8.33333333333333,8.33333333333333,8.33333333333333,8.33333333333333,8.33333333333333,8.33333333333333,8.33333333333333,8.33333333333333,8.33333333333333,8.33333333333333,8.33333333333333,8.33333333333333,8.33333333333333,8.33333333333333,8.33333333333333,8.33333333333333,8.33333333333333,8.33333333333333,8.33333333333333,8.33333333333333,8.33333333333333,8.33333333333333,8.33333333333333,8.33333333333333,8.33333333333333,8.33333333333333,8.33333333333333,8.33333333333333,,
Central African Rep.,,7.6053805900671,7.62143246974221,7.63427397348229,7.65674660502745,7.67279848470256,7.68885036437767,7.70490224405278,7.72095412372789,7.737006003403,7.75305788307811,7.76910976275322,7.78516164242833,7.80121352210344,7.81726540177855,7.84936916112877,7.86542104080388,7.88147292047899,7.8975248001541,7.91357667982921,7.93765449934187,7.93765449934187,7.96173231885454,7.97778419852965,7.99704645413978,7.99865164210729,8.03236058942502,8.03396577739253,8.03557096536004,8.03557096536004,8.03557096536004,8.03878134129507,8.0580435969052,8.0580435969052,8.0580435969052,8.04199171723009,8.06125397284022,8.22337795755883,8.26511284471412,8.26511284471412,8.26511284471412,8.26511284471412,8.26511284471412,8.33895149121962,8.37105525056984,8.37105525056984,8.36302931073229,8.36302931073229,8.36302931073229,8.40315900992006,,
Chad,,38.015873015873,38.015873015873,38.015873015873,38.015873015873,38.015873015873,38.015873015873,38.015873015873,38.015873015873,38.015873015873,38.015873015873,38.015873015873,38.015873015873,38.0238095238095,38.0438234360114,38.1194409148666,38.1988564167726,38.1988564167726,38.2385641677255,38.2385641677255,38.2385641677255,38.2385641677255,38.2385641677255,38.2385641677255,38.2385641677255,38.2425349428208,38.2822426937738,38.2822426937738,38.3020965692503,38.3179796696315,38.3576874205845,38.3973951715375,38.4132782719187,38.4371029224905,38.4529860228717,38.4768106734435,38.5165184243964,38.5403430749682,38.5562261753494,38.5562261753494,38.5562261753494,38.6197585768742,38.6197585768742,38.7785895806862,38.7785895806862,39.09625158831,39.175667090216,39.0168360864041,39.09625158831,39.1772554002541,,
