Female 5-9 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Bulgaria,8.24372759856631,9.17553191489362,8.55329949238579,7.79537149817296,7.25388601036269,7.02838827838828,7.21834944906679,7.1682201509099,6.35204652203086,5.95684803001876,4.84656600097418,3.96685915139342,4.15698424993545,4.59739569492426,4.64158198297171,4.42099258414147,4.13936867182847,3.95515415758331,4.04172099087353,4.33743169398907,4.55360344209394
Burkina Faso,13.3436373003606,12.7376425855513,12.6736111111111,13.3967499009116,13.8202649480845,14.2072973845657,14.4175317185698,14.7058823529412,14.8612354521038,14.8010920436817,14.765214443126,14.4824586836764,14.2576687116564,15.6203918264167,14.7309560913008,13.717886572952,12.810748670786,12.113601236476,11.5279314964758,10.8709540034072,10.1291938890799
Burundi,12.8705148205928,12.8663330950679,14.2763588736084,14.0887290167866,13.9330773450357,14.2782699322564,13.76574895007,13.4791252485089,14.4181256436663,15.4235145385588,14.9114911491149,13.2185430463576,11.9124423963134,11.979928914907,11.9893088965254,11.4053672316384,10.4046242774566,9.46239900559354,8.88432781117138,8.61111111111111,8.35208471211118
Cambodia,13.5172413793103,13.595041322314,13.5811556864188,13.7874837027379,13.935372186959,14.2131979695431,12.7553837658752,10.7609710550887,15.7210401891253,14.5399084900864,14.0468227424749,11.7250105440742,9.83072916666667,9.70382855766916,9.79341150195422,9.5860338699561,8.8563803499061,7.9996231037407,7.42377773768717,7.15276573608462,6.94363011977552
Cameroon,12.5164690382082,12.5551544324108,12.9548762736536,12.9853181076672,13.4643166714822,13.8558786346397,14.263870685889,14.5691609977324,14.8846278843029,14.570943075616,14.1655155092302,13.2377645872998,13.3680729532017,13.3989880737261,12.7449366046435,11.8391152855628,11.0347728547392,10.4521432765708,9.9871802698248,9.50273066973268,8.95961632786528
Canada,9.53014184397163,10.9449529457264,11.2645760217367,11.2962584338581,10.6247107820454,8.17403338811521,7.16607084822879,6.79320679320679,6.70867043745973,6.56214097452186,6.43474893507164,5.5368201606475,5.12715580239696,5.07961426328773,5.13593539703903,5.26779696168404,5.2890158921141,5.18677251254079,5.07532195979661,5.0655874965113,5.11311804415253
Cape Verde,10.126582278481,11.8279569892473,14.4230769230769,15.702479338843,15.9420289855072,14.7651006711409,12.987012987013,14.6198830409357,14.8148148148148,14.9038461538462,13.8528138528139,12.4,11.2359550561798,10.1754385964912,9.60264900662252,9.11949685534591,8.73493975903614,7.84883720930232,7.08215297450425,6.68523676880223,6.31868131868132
Central African Rep.,11.4413075780089,11.4245416078984,12.0576671035387,12.6340882002384,12.9032258064516,13.3528265107212,13.5181975736568,13.503375843961,13.9503688799463,13.8398115429918,13.3647798742138,13.5820181731229,13.2577409507196,12.589928057554,12.0842572062084,11.5120274914089,10.9646302250804,10.4418886198547,9.85955861278303,9.32642487046632,8.83733055265902
Chad,11.7694805194805,11.6997792494481,13.2050431320504,13.3254015466984,13.3547008547009,13.5135135135135,13.974358974359,14.5502645502646,14.7344559585492,14.7540983606557,14.7037998583904,14.7443519619501,14.846180435534,14.5371775417299,14.2054574638844,13.8020526129527,13.2710868652958,12.593081346027,11.8205128205128,11.078125,10.4249047379395
Channel Islands,5.76923076923077,5.35714285714286,6.77966101694915,6.45161290322581,7.8125,6.06060606060606,6.06060606060606,5.63380281690141,5.4054054054054,5.47945205479452,5.4054054054054,5.1948051948052,5.26315789473684,3.84615384615385,3.84615384615385,3.8961038961039,3.94736842105263,3.94736842105263,4.05405405405405,4,4
Chile,12.0521172638436,12.1522693997072,12.4418003103983,13.436928702011,13.5904310167045,11.9106229880704,10.8895164136957,9.40505297473513,9.69433623014684,9.85722130697419,9.38141683778234,7.91742562234366,7.00681057370426,6.76078085364509,6.55998304366257,6.27816468660385,6.03225164244475,5.74936659520561,5.49956809674633,5.35069378445162,5.26963103122044
China,10.1005549041998,11.2259193789976,14.2294828835499,12.1196500422412,13.1323405380229,14.0326371937438,12.4578069498394,9.14627693971852,8.98481940829515,10.0803549909492,8.09944167180909,6.84747834043314,6.00533698549372,5.88663808385945,6.05658818250074,5.8917315747667,5.36579627322502,4.97995309888436,4.87658687210429,4.96325215556779,5.0182675652465
Colombia,13.2072341131575,14.4626908671852,15.2563464410154,15.0708458565908,15.1260504201681,14.692927781933,12.8296296296296,12.5571835841676,11.8969331021701,11.2455245741564,10.7256303355172,9.90062737555525,9.20302798332908,8.73357228195938,8.14102082237089,7.6554681915654,7.19813711389631,6.7775866631384,6.40579710144928,6.0617541200985,5.81938134063609
Comoros,12.6582278481013,11.4942528735632,14.4329896907216,14.9532710280374,15.1260504201681,14.8148148148148,14.6341463414634,15.5440414507772,16.3636363636364,13.9344262295082,12.6353790613718,12.4590163934426,12.5,12.6315789473684,11.6666666666667,10.6194690265487,9.65092402464066,9.23076923076923,9.00900900900901,8.53242320819113,7.96747967479675
"Congo, Dem. Rep.",13.526868437307,13.5912836988406,13.4203980099502,13.6158503026968,13.8408635017671,14.066007149389,14.2846852038611,14.5091659888632,14.927597955707,15.3037896773059,15.4684095860566,15.3178221805015,15.2182174281622,14.4735493131023,14.0265446638884,13.4869419213885,12.7202280868485,11.8401949168099,10.9834325534173,10.228166797797,9.53192746016618
"Congo, Rep.",12.6520681265207,12.8318584070796,13.1115459882583,13.527397260274,13.9673105497771,14.3405889884763,14.5673603504929,14.7556390977444,14.413680781759,13.9885222381636,13.9763779527559,13.142523364486,13.3510638297872,12.6893939393939,11.7922520221371,11.2681586179819,10.562865497076,9.92131371878207,9.35182199290551,8.86579027820238,8.40140023337223
Costa Rica,12.262156448203,13.1768953068592,15.1145038167939,15.4440154440154,15.7953281423804,13.7487636003956,11.6984402079723,11.8580060422961,11.9788219722038,11.8852459016393,10.5072463768116,9.30014091122593,8.44638949671772,7.44985673352436,7.37451737451738,6.84981684981685,6.48213034337772,6.10661268556005,5.82842174197773,5.62300319488818,5.49450549450549
Cote d'Ivoire,13.6842105263158,13.006993006993,13.7196924896511,14.1468157510938,14.6351084812623,14.9576669802446,15.3369672943508,15.8198844391313,15.4163231657049,14.5784300152291,14.0658554044381,13.8162093171666,13.7127217818045,13.1144795243279,12.4990627577416,11.7340021691974,10.9998764058831,10.3538365422843,9.76020193521245,9.19483832981699,8.63992623328723
