Male agriculture workers (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Slovak Republic,,,,,,,,,,,,,,,12.5,11.3999996185303,10.8999996185303,11.3999996185303,10.3999996185303,9.60000038146973,8.89999961853027,8.19999980926514,8,7.69999980926514,7,6.40000009536743,5.90000009536743,5.80000019073486
Slovenia,,,,,,,,,,,,,,11.1000003814697,11.8999996185303,10.3999996185303,10.6999998092651,11.8000001907349,11.6999998092651,10.6000003814697,9.39999961853027,10.1000003814697,9.60000038146973,8.39999961853027,9.60000038146973,8.60000038146973,9.80000019073486,10
South Africa,,,,,,,,,,,,,,,,,,,,,15.3000001907349,12.8999996185303,14.1999998092651,12.8000001907349,10.3999996185303,8.60000038146973,9,10.6000003814697
Spain,19.6000003814697,19.2000007629395,19.2000007629395,19.2999992370605,19.2000007629395,19.1000003814697,17.1000003814697,16.1000003814697,14.8999996185303,13.6000003814697,12.3000001907349,11.1999998092651,10.6999998092651,10.8000001907349,10.5,9.89999961853027,9.60000038146973,9.30000019073486,9.10000038146973,8.39999961853027,7.80000019073486,7.69999980926514,7.19999980926514,6.90000009536743,6.69999980926514,6.5,5.80000019073486,5.59999990463257
Sri Lanka,,44.2000007629394,,,,47.2000007629394,,,,,,,,36.9000015258789,40.7999992370606,35.5,32.7999992370606,,37.7000007629394,,,21.7000007629395,,,,27.8999996185303,29.1000003814697,28.3999996185303
Saint Helena,,,,,,,,,,,,,,,,,,,15,,,,,,,,,
Suriname,,,,,,,,,,,,,4.80000019073486,5.69999980926514,8.10000038146973,8.80000019073486,7.90000009536743,6.30000019073486,6.69999980926514,8.39999961853027,,,,,9.89999961853027,,,
Sweden,7.59999990463257,7.69999980926514,7.69999980926514,7.59999990463257,7.09999990463257,6.80000019073486,5.19999980926514,5.5,5.5,5.19999980926514,4.90000009536743,4.69999980926514,4.69999980926514,4.90000009536743,5,4.5,4.30000019073486,4,3.70000004768372,3.70000004768372,3.5,3.40000009536743,3.20000004768372,3.20000004768372,3.20000004768372,3,3,3.40000009536743
Switzerland,7.90000009536743,7.30000019073486,7.19999980926514,7.19999980926514,6.90000009536743,6.80000019073486,6.40000009536743,5.90000009536743,5.5,5.09999990463257,4.80000019073486,4.69999980926514,4.59999990463257,4.80000019073486,4.80000019073486,5,5.40000009536743,5.40000009536743,5.5,5.59999990463257,5.19999980926514,4.90000009536743,4.90000009536743,4.80000019073486,4.59999990463257,4.59999990463257,4.5,5
Syria,,,,27.2000007629395,22.1000003814697,,,,,22.7000007629395,,,,26,22.6000003814697,20.7000007629395,,17,,23.3999996185303,26.2000007629395,25.5,24.7000007629395,22.6000003814697,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,41.7999992370606,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,80.1999969482422,,,,,72.6999969482422,
Thailand,67.8000030517578,61.7000007629394,59.7000007629394,62.0999984741211,62.9000015258789,67.1999969482422,65.5,64,65.5,65.8000030517578,62.4000015258789,59.0999984741211,59.2000007629394,55.4000015258789,54.5999984741211,50.2999992370606,48.5,49.0999984741211,51.9000015258789,49.4000015258789,49.5,48,47.7999992370606,46.7999992370606,43.9000015258789,44.2000007629394,43.0999984741211,43.2999992370606
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,23.3999996185303,21.8999996185303,18,19.7999992370605,20,18.8999996185303
Tonga,,,,,57.7999992370606,,,,,,,,,,,,,,,,,,,50.5999984741211,,,,
Trinidad and Tobago,10.8999996185303,9.89999961853027,9.80000019073486,9.60000038146973,10.1999998092651,12.3999996185303,12.8000001907349,13.6999998092651,15.1000003814697,16.7999992370605,,14.3999996185303,14.8000001907349,14.3999996185303,15.8000001907349,13.8000001907349,12.5,12.6000003814697,10.8000001907349,11.1999998092651,9.80000019073486,10.6000003814697,9.80000019073486,8.30000019073486,6.30000019073486,6.09999990463257,,
Tunisia,34.5,,,,,,,,,26.5,,,,,,,,,,,,,,,,,,
Turkey,,,3.70000004768372,4.5,3.79999995231628,30.2999992370606,,,33.9000015258789,34.5,33.5999984741211,35,33.2999992370606,33.0999984741211,32.5,32.2999992370606,31.5,31,30.5,30.8999996185303,27,27.7000007629395,24.7999992370605,24.3999996185303,25.6000003814697,21.7000007629395,19.7999992370605,19.1000003814697
Uganda,,,,,,,,,,,,,,,,,,,,,,,,61.7999992370606,,,,
United Arab Emirates,,,,,,,,,,,,,,,,9,,,,,9,,,,,5.59999990463257,,
United Kingdom,3.40000009536743,3.59999990463257,3.59999990463257,3.59999990463257,3.5,3.5,3.40000009536743,3.29999995231628,3.20000004768372,3.09999990463257,2.90000009536743,3.09999990463257,3.09999990463257,2.90000009536743,2.90000009536743,2.79999995231628,2.59999990463257,2.5,2.40000009536743,2.20000004768372,2.20000004768372,2,2,1.79999995231628,1.89999997615814,1.89999997615814,1.89999997615814,1.89999997615814
United States,5,4.90000009536743,5.09999990463257,5,4.69999980926514,4.5,4.40000009536743,4.30000019073486,4.09999990463257,4.09999990463257,4.09999990463257,4.19999980926514,4.19999980926514,4,4,4,3.90000009536743,3.79999995231628,3.79999995231628,3.59999990463257,3.5,3.29999995231628,3.5,2.29999995231628,2.29999995231628,2.20000004768372,2.09999990463257,2
Uruguay,,,,,,,,,,,,,7,6,6.19999980926514,7.09999990463257,,,5.69999980926514,5.80000019073486,6.19999980926514,6.09999990463257,6.40000009536743,6.69999980926514,7.40000009536743,7.09999990463257,15.3999996185303,15.6000003814697
Venezuela,19.8999996185303,19.2999992370605,19,19.7000007629395,21.3999996185303,21.5,20.5,19.2000007629395,18.3999996185303,18.5,18.5,17.6000003814697,16.5,15.6000003814697,,,,,,,,,,16,,,13.5,13.1000003814697
Vietnam,,,,,,,,,,,,,,,,,69.5,64.5,63.9000015258789,64.5,64.1999969482422,63,61,57.7000007629394,55.9000015258789,,,
West Bank and Gaza,,,,,,,,,,,,,,,,,11.8000001907349,10.3000001907349,9.5,9.30000019073486,9.80000019073486,9.10000038146973,11.8999996185303,11.8999996185303,12,11,12,10.8000001907349
"Yemen, Rep.",,,,,,,,,,,,43.5,,,45,,,,46.5999984741211,43.0999984741211,,,,,,,,
Zambia,,,,,,,,,,,46.5999984741211,,,,,,,,64,,65.1999969482422,,,,,,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,50.9000015258789,,,,,,,,
