Male agriculture workers (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,12.3000001907349,11.6999998092651,10.6999998092651,9.80000019073486,9.19999980926514
Cambodia,,,,,,,,,,,,,,,,,,,71.5999984741211,,72.4000015258789,70.8000030517578,,,,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,53.0999984741211,,,,,,
Canada,7,7,6.80000019073486,7.09999990463257,7,6.59999990463257,6.40000009536743,6.09999990463257,5.80000019073486,5.59999990463257,5.59999990463257,5.80000019073486,5.69999980926514,5.80000019073486,5.69999980926514,5.5,5.40000009536743,5.19999980926514,5.09999990463257,4.80000019073486,4.5,3.90000009536743,3.79999995231628,3.90000009536743,3.70000004768372,3.70000004768372,3.59999990463257,3.40000009536743
Cayman Islands,,,,,,,,,,,,2.09999990463257,,,,,,,,,,,,,,2.59999990463257,3.5,3.20000004768372
Chad,,,,,,,,,,,,,,80.3000030517578,,,,,,,,,,,,,,
Chile,21.8999996185303,21,22.2000007629395,21.7999992370605,21.6000003814697,27,27.3999996185303,27.2999992370605,26.2999992370605,25.2999992370605,,24.7999992370605,,21.6000003814697,,20.6000003814697,,19.2000007629395,,19.2999992370605,,18.1000003814697,14.6000003814697,18.1000003814697,17.6000003814697,17.1000003814697,16.7000007629395,16.1000003814697
Colombia,1.89999997615814,,,,,1.70000004768372,1.79999995231628,1.89999997615814,1.79999995231628,1.70000004768372,1.89999997615814,1.79999995231628,1.89999997615814,,1.70000004768372,1.39999997615814,1.60000002384186,1.39999997615814,1.39999997615814,1.60000002384186,1.60000002384186,32.5,30.2999992370606,30.6000003814697,29.3999996185303,31.7999992370606,28.2000007629394,26.7000007629395
Costa Rica,34.4000015258789,35.2000007629394,38.2000007629394,36,36.7999992370606,35.2999992370606,34.4000015258789,36.0999984741211,36.0999984741211,34.0999984741211,33.5999984741211,33.2999992370606,31.8999996185303,29.5,28.2999992370606,28.2000007629394,28.2999992370606,27.2000007629395,26.8999996185303,26.8999996185303,27.2999992370605,21.8999996185303,22.1000003814697,21,20.3999996185303,20.7999992370605,19.3999996185303,17.8999996185303
Croatia,,,,,,,,,,,,,,,,,18.7999992370605,16.7000007629395,16.1000003814697,16.1000003814697,13.8999996185303,15.8000001907349,15.3999996185303,16.2000007629395,15.5,16,13.6999998092651,12
Cuba,,,,,,,,,,,,,,,,31.6000003814697,31.5,31.6000003814697,26.8999996185303,34.2000007629394,34.2999992370606,28.5,28.6000003814697,28.7000007629394,27.5,26.5,26.2999992370605,25
Cyprus,14.8999996185303,14.6999998092651,14.3000001907349,14.3000001907349,14.3000001907349,13.8999996185303,13.3999996185303,13.1999998092651,12.8000001907349,12.5,12,11.5,11.3000001907349,11.3000001907349,11.1000003814697,10.8999996185303,,,,4.80000019073486,5.59999990463257,5.5,6,6.19999980926514,5.69999980926514,5.69999980926514,5.30000019073486,6
Czech Rep.,,,,,,,,,,,,,,9,7.90000009536743,7.59999990463257,7.30000019073486,7,6.59999990463257,6.40000009536743,6.30000019073486,6,5.80000019073486,5.5,5.30000019073486,4.90000009536743,4.5,4.40000009536743
Denmark,,10.5,,10.3000001907349,9.39999961853027,9.19999980926514,8.19999980926514,7.69999980926514,7.90000009536743,7.90000009536743,7.80000019073486,7.90000009536743,7.19999980926514,7.30000019073486,7,6.19999980926514,5.59999990463257,5.40000009536743,5.40000009536743,4.90000009536743,4.69999980926514,4.69999980926514,4.59999990463257,4.5,4.59999990463257,4.40000009536743,4.40000009536743,4.09999990463257
Dominica,,,,,,,,,,38.7000007629394,,40.2000007629394,,,,,,31.3999996185303,,34.2999992370606,,29.3999996185303,,,,,,
Dominican Rep.,,,,,,,,,,,,,,,,,26.6000003814697,26.7999992370605,,,22.7000007629395,,,19.7000007629395,21.2000007629395,20.6000003814697,,
